Model,Nodes,Edges,Total Components,Size of Largest
AAA023D18,557,2163,153,398
AAA023J06,539,2124,218,314
AAA024D14,551,2170,162,385
AAA027E14,476,1701,135,330
AAA027J17,601,2588,144,455
AAA027L06,660,2973,145,513
AAA027L17,577,2303,169,401
AAA027M14,548,2340,119,427
AAA028A23,594,2519,124,465
AAA028E20,582,2317,172,408
AAA028G02,741,3344,188,550
AAA028I14,596,2320,179,416
AAA028K15,418,1525,128,280
AAA028P02,689,2986,177,510
AAA041L13,711,3230,186,523
AAA044D11,714,3099,195,517
AAA044N04,749,3411,182,566
AAA044O16,714,3001,193,517
AAA278I18,640,2704,164,472
AAA278O22,743,3272,190,550
AB141P03,471,1758,153,289
acIB-AMD-6,398,1415,133,262
acIB-AMD-7,543,2257,130,409
acMicro-1,591,2527,136,450
acMicro-4,667,2941,167,501
BIN_10,660,2915,150,506
BIN_15,777,3426,217,553
bin_29_2_acIII,970,4547,222,746
bin_7_acI-B2,723,3077,217,504
MEint10152,864,4022,191,668
MEint1091,753,3441,190,555
MEint11576,683,2739,198,484
MEint1363,622,2647,165,457
MEint14260,693,2984,147,539
MEint1719,778,3538,209,565
MEint1953,805,3696,206,600
MEint2297,748,3416,175,572
MEint2538,703,3064,181,522
MEint2729,744,3340,185,555
MEint283,512,2092,112,399
MEint3119,686,2961,185,501
MEint3163,741,3340,194,544
MEint3864,573,2333,173,398
MEint4252,722,3222,149,572
MEint885,609,2419,179,429
Rhodoluna,832,3952,152,681
TBepi149,602,2495,165,438
TBepi2057,681,3048,180,500
TBepi2754,723,3397,193,528
TBepi2973,671,3094,148,523
TBepi3207,755,3289,205,550
TBepi3256,736,3255,213,520
TBepi3475,714,3086,193,516
TBepi4163,682,3019,199,457
TBepi4208,694,3025,181,510
TBhypo2152,623,2716,171,448
TBhypo3180,713,3302,157,555
TBhypo3219,678,3090,157,522
TBhypo3463,741,3297,184,557
TBhypo3765,702,3167,190,512
TBhypo3838,454,1728,183,269
TBhypo680,681,3137,190,490
TBhypo9906,593,2402,189,399
