Model,Nodes,Edges,Total Components,Size of Largest
AAA023D18,557,1398,5,549
AAA023J06,539,1554,5,531
AAA024D14,551,1474,5,543
AAA027E14,476,1132,7,459
AAA027J17,601,1674,3,597
AAA027L06,660,1948,3,656
AAA027L17,577,1558,5,567
AAA027M14,548,1531,4,542
AAA028A23,594,1604,3,590
AAA028E20,582,1546,3,578
AAA028G02,741,2306,4,735
AAA028I14,596,1613,2,594
AAA028K15,418,1061,6,405
AAA028P02,689,1940,3,685
AAA041L13,711,2243,2,709
AAA044D11,714,2092,3,710
AAA044N04,749,2319,2,747
AAA044O16,714,2007,5,706
AAA278I18,640,1788,4,634
AAA278O22,743,2246,5,735
AB141P03,471,1178,3,444
acIB-AMD-6,398,936,3,394
acIB-AMD-7,543,1454,2,541
acMicro-1,591,1675,3,587
acMicro-4,667,1950,1,667
BIN_10,660,1932,5,652
BIN_15,777,2347,6,765
bin_29_2_acIII,970,3031,5,962
bin_7_acI-B2,723,2132,4,717
MEint10152,864,2650,5,856
MEint1091,753,2368,4,745
MEint11576,683,1852,1,683
MEint1363,622,1756,1,622
MEint14260,693,1981,5,681
MEint1719,778,2444,3,772
MEint1953,805,2452,1,805
MEint2297,748,2322,2,746
MEint2538,703,2108,1,703
MEint2729,744,2299,3,738
MEint283,512,1352,2,510
MEint3119,686,2022,2,684
MEint3163,741,2303,3,735
MEint3864,573,1576,3,569
MEint4252,722,2117,2,720
MEint885,609,1627,2,607
Rhodoluna,832,2593,1,832
TBepi149,602,1629,1,602
TBepi2057,681,2117,2,679
TBepi2754,723,2332,3,719
TBepi2973,671,2085,1,671
TBepi3207,755,2260,1,755
TBepi3256,736,2198,4,730
TBepi3475,714,2131,5,706
TBepi4163,682,2081,2,680
TBepi4208,694,2054,4,688
TBhypo2152,623,1887,2,621
TBhypo3180,713,2236,1,713
TBhypo3219,678,2036,1,678
TBhypo3463,741,2251,1,741
TBhypo3765,702,2189,2,700
TBhypo3838,454,1239,1,454
TBhypo680,681,2131,2,679
TBhypo9906,593,1633,4,586
