Model	Genes	Metabs	Reactions	Balanced
AAA023D18	214	531	371	1
AAA023J06	169	508	338	1
AAA024D14	205	537	390	1
AAA027D23	238	504	368	1
AAA027J17	246	594	433	1
AAA027L06	334	644	522	1
AAA027M14	249	515	376	1
AAA028A23	248	560	429	1
AAA028I14	162	561	364	1
AAA028N15	256	570	417	1
AAA041L13	320	702	600	1
AAA044D11	311	686	538	1
AAA044N04	362	739	634	1
AAA278I18	266	627	470	1
AAA278O22	359	717	587	1
AB141P03	178	464	316	1
MEintmetabat10152	404	818	708	1
MEintmetabat1091	401	714	595	1
MEintmetabat11576	265	600	408	1
MEintmetabat1363	302	559	433	1
MEintmetabat14260	301	648	502	1
MEintmetabat1719	402	723	596	1
MEintmetabat1953	446	699	577	1
MEintmetabat2297	402	737	619	1
MEintmetabat2538	250	688	541	1
MEintmetabat2729	383	714	565	1
MEintmetabat283	222	493	361	1
MEintmetabat3119	295	646	490	1
MEintmetabat3163	376	682	556	1
MEintmetabat3864	211	561	403	1
MEintmetabat4252	347	692	551	1
MEintmetabat6647	253	610	436	1
MEintmetabat885	234	517	363	1
TBepimetabat149	189	519	362	1
TBepimetabat2057	264	632	520	1
TBepimetabat2754	365	693	594	1
TBepimetabat2973	259	634	501	1
TBepimetabat3207	325	723	584	1
TBepimetabat3256	346	676	520	1
TBepimetabat3475	277	678	535	1
TBepimetabat4163	286	559	429	1
TBepimetabat4208	288	668	524	1
TBhypometabat2152	231	533	393	1
TBhypometabat3180	306	680	566	1
TBhypometabat3219	285	658	522	1
TBhypometabat3463	321	716	588	1
TBhypometabat3765	319	663	529	1
TBhypometabat3815	371	822	652	1
TBhypometabat3838	105	379	257	1
TBhypometabat680	333	657	539	1
TBhypometabat9906	174	524	338	1
