Model,Nodes,Edges,Total Components,Size of Largest
acI,876,4304,175,699
acI-A,808,3973,154,653
acI-A1,697,3272,128,569
acI-A5,707,3256,147,558
acI-A6,666,2871,172,493
acI-A7,732,3442,150,580
acI-B,852,4116,175,675
acI-B1,702,3239,138,563
acI-B2,648,2778,167,481
acI-B4,719,3355,143,574
acI-C,642,2837,126,514
acIII,851,4051,165,684
acIV,908,4532,177,729
acIV-A,439,1520,106,323
acIV-B,771,3615,167,598
acMicro,704,3371,128,577
acTH2,771,3600,148,620
acTH2-A,771,3600,148,620
acV,779,3900,151,628
Iluma-A2,439,1520,106,323
Iluma-B1,741,3411,167,571
Iluma-B2,707,3228,145,559
Luna1,796,3970,135,662
Luna1-A,796,3970,135,662
Luna1-A2,796,3970,135,662
Myco,771,3600,148,620
