Model,Nodes,Edges,Total Components,Size of Largest
acI,972,3174,5,964
acI-A,903,2962,3,899
acI-A1,770,2437,5,762
acI-A5,779,2440,5,771
acI-A6,719,2148,2,717
acI-A7,815,2597,4,809
acI-B,945,3032,5,937
acI-B1,773,2322,3,769
acI-B2,723,2132,4,717
acI-B4,777,2430,3,773
acI-C,697,2058,5,689
acIII,970,3031,5,962
acIV,983,3290,5,973
acIV-A,476,1132,7,459
acIV-B,835,2671,5,825
acMicro,754,2368,1,754
acTH2,864,2650,5,856
acTH2-A,864,2650,5,856
acV,852,2900,3,848
Iluma-A2,476,1132,7,459
Iluma-B1,800,2524,5,790
Iluma-B2,759,2385,3,753
Luna1,890,2944,1,890
Luna1-A,890,2944,1,890
Luna1-A2,890,2944,1,890
Myco,864,2650,5,856
