,acI-A1,acI-A5,acI-A6,acI-A7,acI-B1,acI-B2,acI-B4,Iluma-A2,Iluma-B1,Iluma-B2,Luna1-A2,Myco
acI-A1,1.0,0.925,0.8625,0.95,0.5875,0.8625,0.8875,0.2125,0.625,0.6375,0.75,0.6125
acI-A5,0.798913043478,1.0,0.913043478261,0.967391304348,0.641304347826,0.853260869565,0.902173913043,0.282608695652,0.673913043478,0.684782608696,0.70652173913,0.619565217391
acI-A6,0.665048543689,0.815533980583,1.0,0.834951456311,0.553398058252,0.76213592233,0.766990291262,0.271844660194,0.621359223301,0.640776699029,0.601941747573,0.572815533981
acI-A7,0.794736842105,0.936842105263,0.905263157895,1.0,0.621052631579,0.857894736842,0.863157894737,0.294736842105,0.673684210526,0.684210526316,0.684210526316,0.589473684211
acI-B1,0.596153846154,0.75641025641,0.730769230769,0.75641025641,1.0,0.724358974359,0.794871794872,0.384615384615,0.5,0.538461538462,0.5,0.371794871795
acI-B2,0.638888888889,0.731481481481,0.731481481481,0.759259259259,0.527777777778,1.0,0.740740740741,0.25,0.555555555556,0.574074074074,0.592592592593,0.518518518519
acI-B4,0.758064516129,0.89247311828,0.849462365591,0.881720430108,0.666666666667,0.854838709677,1.0,0.290322580645,0.655913978495,0.698924731183,0.677419354839,0.602150537634
Iluma-A2,0.36170212766,0.553191489362,0.595744680851,0.595744680851,0.63829787234,0.574468085106,0.574468085106,1.0,0.63829787234,0.63829787234,0.425531914894,0.404255319149
Iluma-B1,0.485294117647,0.607843137255,0.627450980392,0.627450980392,0.382352941176,0.583333333333,0.598039215686,0.294117647059,1.0,0.862745098039,0.558823529412,0.539215686275
Iluma-B2,0.537234042553,0.670212765957,0.702127659574,0.691489361702,0.446808510638,0.654255319149,0.691489361702,0.31914893617,0.936170212766,1.0,0.585106382979,0.595744680851
Luna1-A2,0.740740740741,0.802469135802,0.765432098765,0.802469135802,0.481481481481,0.79012345679,0.777777777778,0.246913580247,0.703703703704,0.679012345679,1.0,0.753086419753
Myco,0.527173913043,0.619565217391,0.641304347826,0.608695652174,0.315217391304,0.603260869565,0.608695652174,0.20652173913,0.597826086957,0.608695652174,0.663043478261,1.0
