,acI-A1,acI-A5,acI-A6,acI-A7,acI-B1,acI-B2,acI-B4,Iluma-A2,Iluma-B1,Iluma-B2,Luna1-A2,Myco
acI-A1,1.0,0.888888888889,0.820512820513,0.91452991453,0.675213675214,0.82905982906,0.837606837607,0.34188034188,0.649572649573,0.65811965812,0.794871794872,0.666666666667
acI-A5,0.814960629921,1.0,0.866141732283,0.92125984252,0.700787401575,0.846456692913,0.858267716535,0.377952755906,0.716535433071,0.724409448819,0.740157480315,0.653543307087
acI-A6,0.740310077519,0.852713178295,1.0,0.868217054264,0.651162790698,0.779069767442,0.77519379845,0.364341085271,0.666666666667,0.682170542636,0.674418604651,0.651162790698
acI-A7,0.812977099237,0.893129770992,0.854961832061,1.0,0.671755725191,0.835877862595,0.809160305344,0.389312977099,0.687022900763,0.687022900763,0.725190839695,0.641221374046
acI-B1,0.713636363636,0.809090909091,0.763636363636,0.8,1.0,0.759090909091,0.781818181818,0.481818181818,0.581818181818,0.609090909091,0.618181818182,0.509090909091
acI-B2,0.687943262411,0.765957446809,0.716312056738,0.780141843972,0.595744680851,1.0,0.765957446809,0.333333333333,0.609929078014,0.624113475177,0.63829787234,0.567375886525
acI-B4,0.786290322581,0.879032258065,0.806451612903,0.854838709677,0.693548387097,0.866935483871,1.0,0.362903225806,0.693548387097,0.717741935484,0.709677419355,0.620967741935
Iluma-A2,0.571428571429,0.685714285714,0.671428571429,0.728571428571,0.757142857143,0.671428571429,0.642857142857,1.0,0.742857142857,0.742857142857,0.614285714286,0.571428571429
Iluma-B1,0.563432835821,0.679104477612,0.641791044776,0.671641791045,0.477611940299,0.638059701493,0.641791044776,0.388059701493,1.0,0.880597014925,0.626865671642,0.589552238806
Iluma-B2,0.612,0.736,0.704,0.72,0.536,0.7,0.712,0.416,0.944,1.0,0.648,0.632
Luna1-A2,0.808695652174,0.817391304348,0.75652173913,0.826086956522,0.591304347826,0.782608695652,0.765217391304,0.373913043478,0.730434782609,0.704347826087,1.0,0.782608695652
Myco,0.62,0.664,0.672,0.672,0.448,0.636,0.616,0.32,0.632,0.632,0.72,1.0
