,acI-A1,acI-A5,acI-A6,acI-A7,acI-B1,acI-B2,acI-B4,Iluma-A2,Iluma-B1,Iluma-B2,Luna1-A2,Myco
acI-A1,0.0,0.368932038835,0.388349514563,0.21359223301,0.320388349515,0.300970873786,0.174757281553,0.194174757282,0.446601941748,0.485436893204,0.388349514563,0.456310679612
acI-A5,0.242105263158,0.0,0.2,0.221052631579,0.0842105263158,0.0526315789474,0.2,0.178947368421,0.252631578947,0.221052631579,0.242105263158,0.305263157895
acI-A6,0.411764705882,0.223529411765,0.0,0.223529411765,0.129411764706,0.211764705882,0.247058823529,0.117647058824,0.317647058824,0.305882352941,0.129411764706,0.352941176471
acI-A7,0.796812749004,0.796812749004,0.758964143426,0.0,0.727091633466,0.717131474104,0.0796812749004,0.501992031873,0.774900398406,0.752988047809,0.155378486056,0.735059760956
acI-B1,0.324675324675,0.194805194805,0.298701298701,0.25974025974,0.0,0.207792207792,0.25974025974,0.233766233766,0.376623376623,0.38961038961,0.220779220779,0.454545454545
acI-B2,0.47,0.23,0.3,0.24,0.21,0.0,0.24,0.26,0.34,0.33,0.2,0.36
acI-B4,0.750996015936,0.798804780876,0.782868525896,0.0796812749004,0.778884462151,0.673306772908,0.0,0.47609561753,0.784860557769,0.766932270916,0.179282868526,0.760956175299
Iluma-A2,0.452380952381,0.452380952381,0.47619047619,0.190476190476,0.428571428571,0.452380952381,0.238095238095,0.0,0.47619047619,0.333333333333,0.119047619048,0.380952380952
Iluma-B1,0.280898876404,0.179775280899,0.224719101124,0.202247191011,0.168539325843,0.14606741573,0.213483146067,0.0674157303371,0.0,0.0561797752809,0.224719101124,0.179775280899
Iluma-B2,0.283950617284,0.123456790123,0.20987654321,0.197530864198,0.135802469136,0.0864197530864,0.222222222222,0.037037037037,0.0246913580247,0.0,0.185185185185,0.148148148148
Luna1-A2,0.741482965932,0.713426853707,0.663326653307,0.0561122244489,0.659318637275,0.65130260521,0.0661322645291,0.436873747495,0.695390781563,0.671342685371,0.0,0.717434869739
Myco,0.345679012346,0.246913580247,0.283950617284,0.20987654321,0.259259259259,0.172839506173,0.172839506173,0.0493827160494,0.197530864198,0.197530864198,0.246913580247,0.0
