,acI-A1,acI-A5,acI-A6,acI-A7,acI-B1,acI-B2,acI-B4,Iluma-A2,Iluma-B1,Iluma-B2,Luna1-A2,Myco
acI-A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119658119658,0.0,0.0,0.0,0.0
acI-A5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109375,0.0,0.0,0.0,0.0
acI-A6,0.0,0.0,0.0,0.00769230769231,0.00769230769231,0.0153846153846,0.00769230769231,0.1,0.0,0.0153846153846,0.0,0.00769230769231
acI-A7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106060606061,0.0,0.0,0.0,0.0
acI-B1,0.0,0.0,0.018018018018,0.00900900900901,0.0,0.00900900900901,0.00900900900901,0.126126126126,0.0,0.00900900900901,0.0,0.0
acI-B2,0.00709219858156,0.0212765957447,0.00709219858156,0.0141843971631,0.00709219858156,0.0,0.00709219858156,0.0921985815603,0.0141843971631,0.00709219858156,0.00709219858156,0.0212765957447
acI-B4,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0
Iluma-A2,0.0,0.0,0.0142857142857,0.0,0.0,0.0,0.0142857142857,0.0,0.0,0.0,0.0,0.0
Iluma-B1,0.00740740740741,0.0148148148148,0.0148148148148,0.00740740740741,0.00740740740741,0.0148148148148,0.0148148148148,0.0,0.0,0.0,0.00740740740741,0.0148148148148
Iluma-B2,0.0,0.0,0.0,0.0,0.0,0.0,0.00793650793651,0.0,0.0,0.0,0.0,0.0
Luna1-A2,0.00869565217391,0.0173913043478,0.00869565217391,0.0,0.00869565217391,0.00869565217391,0.00869565217391,0.0608695652174,0.0,0.0,0.0,0.0
Myco,0.0,0.0,0.015873015873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
