Model,Nodes,Edges,Total Components,Size of Largest
acI,807,2093,232,532
acI-A,748,1854,222,481
acI-A1,602,1306,195,345
acI-A5,593,1269,202,327
acI-A6,564,1253,209,308
acI-A7,672,1596,221,403
acI-B,781,1967,228,508
acI-B1,576,1424,160,398
acI-B2,512,1088,188,257
acI-B4,645,1487,200,404
acI-C,483,1082,150,300
acIII,721,1640,215,438
acIV,785,1892,199,506
acIV-A,229,477,96,42
acIV-B,612,1370,184,362
acMicro,590,1350,190,342
acTH2,583,1357,174,342
acTH2-A,583,1357,174,342
acV,698,1781,160,521
Iluma-A2,229,477,96,42
Iluma-B1,598,1309,201,322
Iluma-B2,574,1256,181,338
Luna1,696,1619,207,419
Luna1-A,696,1619,207,419
Luna1-A2,696,1619,207,419
Myco,583,1357,174,342
