Model,Nodes,Edges,Total Components,Size of Largest
acI,872,2804,1,872
acI-A,808,2603,1,808
acI-A1,695,2153,1,695
acI-A5,703,2169,1,703
acI-A6,664,1925,1,664
acI-A7,730,2293,1,730
acI-B,848,2675,1,848
acI-B1,702,2052,1,702
acI-B2,646,1869,1,646
acI-B4,715,2191,1,715
acI-C,638,1827,1,638
acIII,851,2641,1,851
acIV,904,2975,1,904
acIV-A,422,944,1,422
acIV-B,767,2415,1,767
acMicro,704,2209,1,704
acTH2,767,2313,1,767
acTH2-A,767,2313,1,767
acV,777,2615,1,777
Iluma-A2,422,944,1,422
Iluma-B1,737,2289,1,737
Iluma-B2,703,2160,1,703
Luna1,796,2607,1,796
Luna1-A,796,2607,1,796
Luna1-A2,796,2607,1,796
Myco,767,2313,1,767
