,CommonName,Metabolite,acI-A1,acI-A5,acI-A6,acI-A7,acI-B1,acI-B4,acSTL-A1,acTH1-A1,Iluma-A2,Iluma-B1,Luna1-A2,Luna1-A4
0,3-Hydroxy-L-kynurenine,cpd02065_c,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1,12-methyl-trans-tetra-dec-2-enoyl-ACP,cpd11514_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
2,13-methyl-trans-tetra-dec-2-enoyl-ACP,cpd11539_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
3,5-methyl-trans-hex-2-enoyl-ACP,cpd11523_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
4,Gly-Tyr,cpd15606_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
5,met-L-ala-L,cpd11590_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
6,Gly-Leu,cpd15604_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
7,Pyridoxamine_phosphate,cpd00493_c,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,gly-glu-L,cpd11592_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
9,Octanoyl-ACP,cpd11470_c,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
10,Stachyose,cpd01133_c,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,Hexanoyl-ACP,cpd11472_c,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
12,Maltose,cpd00179_e,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Decanoyl-ACP,cpd11474_c,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
14,Deoxycytidine,cpd00654_c,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
15,Hexadecenoyl-ACP,cpd15239_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
16,Gly-Phe,cpd15605_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
17,Hg2,cpd00531_c,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
18,N-5-phosphoribosyl-anthranilate,cpd02642_c,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,trans-Octodec-2-enoyl-ACP,cpd11572_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
20,Citrate,cpd00137_c,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,10-methyl-trans-dodec-2-enoyl-ACP,cpd11510_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
22,Xylose,cpd00154_e,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,L-Valine,cpd00156_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
24,5-Aminolevulinate,cpd00338_c,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0
25,L-Glutamate1-semialdehyde,cpd02345_c,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0
26,Geranylgeranyl_diphosphate,cpd00289_c,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,CELB,cpd00158_c,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,Pb,cpd04097_c,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
29,Phosphoribosyl-ATP,cpd01775_c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
30,Putrescine,cpd00118_e,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
31,Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine,cpd03487_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
32,Butyryl-CoA,cpd00120_c,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,Pyridoxine_phosphate,cpd00478_c,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,9-methyl-trans-dec-2-enoyl-ACP,cpd11531_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
35,L-Leucine,cpd00107_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
36,1-octadecanoyl-sn-glycerol_3-phosphate,cpd15329_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
37,Tetradecenoyl-ACP,cpd15294_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
38,1-tetradecanoyl-sn-glycerol_3-phosphate,cpd15331_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
39,11-methyl-trans-dodec-2-enoyl-ACP,cpd11535_c,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
40,Palmitoyl-ACP,cpd15277_c,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
41,5-Formyltetrahydrofolate,cpd02197_c,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
42,H2S,cpd00239_c,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
43,Gly-Gln,cpd11580_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
44,Ala-Leu,cpd11583_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
45,5-Phosphoribosylamine,cpd01982_c,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
46,R-S-Lactoylglutathione,cpd02182_c,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
47,Mg,cpd00254_c,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
48,Mg,cpd00254_e,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
49,Ala-Gln,cpd11587_e,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
