,AAA023D18,AAA023J06,AAA024D14,AAA027E14,AAA027J17,AAA027L06,AAA027L17,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA028K15,AAA028P02,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,acIB-AMD-6,acIB-AMD-7,acMicro-1,acMicro-4,BIN_10,BIN_15,bin_29_2_acIII,bin_7_acI-B2,MEint10152,MEint1091,MEint11576,MEint1363,MEint14260,MEint1719,MEint1953,MEint2297,MEint2538,MEint2729,MEint283,MEint3119,MEint3163,MEint3864,MEint4252,MEint885,Rhodoluna,TBepi149,TBepi2057,TBepi2754,TBepi2973,TBepi3207,TBepi3256,TBepi3475,TBepi4163,TBepi4208,TBhypo2152,TBhypo3180,TBhypo3219,TBhypo3463,TBhypo3765,TBhypo3838,TBhypo680,TBhypo9906
AAA023D18,1.0,0.327272739174,0.545454565289,0.236363644959,0.527272728264,0.56363636595,0.0893939305234,0.181818170248,0.472727289917,0.127272731901,0.49090910876,0.266666664242,0.18181818843,0.354545467438,0.49090910876,0.690909079669,0.509090927603,0.509090909421,0.533333346667,0.333333339394,0.145454532562,0.113636367769,0.509090927603,0.321212120771,0.509090927603,0.56363636595,0.272727282645,0.363636358678,0.509090909421,0.675757570028,0.236363626777,0.369696958898,0.540909110579,0.675757588209,0.333333321212,0.345454539835,0.727272717355,0.372727286281,0.763636373223,0.548484838127,0.436363652231,0.751515154601,0.216666662424,0.545454547107,0.487878781377,0.272727264463,0.124242404518,0.513636382314,0.736363626777,0.309090883967,0.331818157521,0.539393946887,0.389393941433,0.178787861047,0.627272731901,0.509090927603,0.236363626777,0.209090898512,0.545454565289,0.472727271736,0.503030309201,0.545454565289,0.259090900331
AAA023J06,0.310344827586,1.0,0.362068965517,0.293103448276,0.258620689655,0.51724137931,0.0172413793103,0.0344827586207,0.396551724138,0.051724137931,0.896551724138,0.551724137931,0.293103448276,0.362068965517,0.896551724138,0.741379310345,0.896551724138,0.396551724138,0.51724137931,0.568965517241,0.0689655172414,0.0,0.362068965517,0.706896551724,0.620689655172,0.362068965517,0.431034482759,0.51724137931,0.844827586207,0.775862068966,0.448275862069,0.310344827586,0.51724137931,0.810344827586,0.672413793103,0.362068965517,0.810344827586,0.775862068966,0.775862068966,0.293103448276,0.844827586207,0.758620689655,0.0344827586207,0.896551724138,0.413793103448,0.465517241379,0.0,0.896551724138,0.706896551724,0.672413793103,0.051724137931,0.379310344828,0.620689655172,0.051724137931,0.637931034483,0.913793103448,0.448275862069,0.465517241379,0.844827586207,0.896551724138,0.465517241379,0.51724137931,0.672413793103
AAA024D14,0.38961038961,0.272727272727,1.0,0.207792207792,0.545454545455,0.480519480519,0.107142857143,0.136363636364,0.402597402597,0.220779220779,0.519480519481,0.324675324675,0.116883116883,0.272727272727,0.519480519481,0.649350649351,0.545454545455,0.519480519481,0.623376623377,0.396103896104,0.188311688312,0.237012987013,0.564935064935,0.272727272727,0.467532467532,0.506493506494,0.233766233766,0.285714285714,0.448051948052,0.571428571429,0.220779220779,0.285714285714,0.470779220779,0.616883116883,0.285714285714,0.376623376623,0.61038961039,0.298701298701,0.649350649351,0.474025974026,0.422077922078,0.590909090909,0.262987012987,0.467532467532,0.428571428571,0.220779220779,0.12987012987,0.50974025974,0.616883116883,0.272727272727,0.275974025974,0.480519480519,0.399350649351,0.155844155844,0.564935064935,0.441558441558,0.272727272727,0.25974025974,0.396103896104,0.441558441558,0.428571428571,0.519480519481,0.334415584416
AAA027E14,0.382352952422,0.500000014706,0.470588249135,1.0,0.408496717897,0.705882373702,0.176470593426,0.0882352967128,0.500000014706,0.336601304018,0.738562109958,0.385620923106,0.529411780277,0.500000014706,0.647058842561,0.558823516436,0.647058842561,0.500000014706,0.705882373702,0.480392161188,0.267973860823,0.117647062284,0.441176483564,0.50326798539,0.676470608131,0.441176483564,0.382352952422,0.352941186851,0.558823545848,0.71895425644,0.333333333333,0.647058842561,0.676470608131,0.630718959727,0.647058842561,0.53921569233,0.67647057872,0.509803926759,0.601307194156,0.297385626394,0.571895428585,0.545751633699,0.261437890042,0.61764707699,0.470588249135,0.352941186851,0.0882352967128,0.705882373702,0.614379076894,0.647058842561,0.264705860727,0.571895428585,0.470588249135,0.241830065936,0.349673186755,0.630718959727,0.526143780181,0.294117655709,0.558823545848,0.686274520185,0.588235311419,0.676470608131,0.764705904844
AAA027J17,0.444286742237,0.264231760007,0.61095329884,0.170621006972,1.0,0.566118364492,0.0637028471284,0.123046338481,0.59466315804,0.208032908206,0.490808656666,0.246173658043,0.0754716511214,0.320997460511,0.453234812137,0.585216277129,0.415418005494,0.471697819509,0.604016133348,0.538383325158,0.151267207702,0.208275851451,0.620225274199,0.302372490976,0.482022567797,0.613450108607,0.264474703252,0.358895248235,0.425418810588,0.581666713302,0.208113908155,0.283342616032,0.52878744434,0.62770276011,0.226657896609,0.302939358547,0.687788684962,0.283909483604,0.760830903634,0.585836899385,0.387683003895,0.673185543111,0.295732702657,0.510000512641,0.538302381812,0.283018691705,0.132804219197,0.484519358695,0.683071706767,0.226900839854,0.254541916983,0.58061395924,0.406307954563,0.138850573923,0.587436445558,0.40356822042,0.134261878667,0.245849733716,0.453234812137,0.431546165264,0.428320525763,0.509757569396,0.21142050987
AAA027L06,0.530172422934,0.517241388228,0.637931045482,0.413793110583,0.510057474311,1.0,0.086206898038,0.137931036861,0.63793102824,0.241379314507,0.741379323127,0.344827592152,0.310344832937,0.500000008621,0.758620702735,0.701149425882,0.758620702735,0.689655184304,0.849137945675,0.495689663719,0.241379314507,0.206896555291,0.586206906659,0.43103449019,0.750000012931,0.655172425089,0.344827592152,0.426724145288,0.732758633323,0.63362070058,0.310344832937,0.491379318817,0.758620702735,0.594827596463,0.482758629013,0.517241388228,0.637931045482,0.500000008621,0.681034494501,0.495689663719,0.681034494501,0.635057476467,0.224137934899,0.741379323127,0.63793102824,0.396551730975,0.155172416468,0.79310346195,0.655172425089,0.534482767836,0.275862073722,0.528735629806,0.577586216855,0.241379297265,0.556034492345,0.672413804697,0.387931041171,0.321839074514,0.741379323127,0.698275874108,0.620689665874,0.827586221165,0.508620698424
AAA027L17,0.230769230769,0.0384615384615,0.317307692308,0.230769230769,0.384615384615,0.163461538462,1.0,0.192307692308,0.115384615385,0.269230769231,0.192307692308,0.240384615385,0.0,0.153846153846,0.192307692308,0.461538461538,0.192307692308,0.153846153846,0.230769230769,0.307692307692,0.269230769231,0.153846153846,0.192307692308,0.269230769231,0.192307692308,0.153846153846,0.423076923077,0.230769230769,0.259615384615,0.461538461538,0.307692307692,0.230769230769,0.192307692308,0.326923076923,0.653846153846,0.548076923077,0.423076923077,0.278846153846,0.596153846154,0.298076923077,0.192307692308,0.471153846154,0.384615384615,0.230769230769,0.182692307692,0.115384615385,0.115384615385,0.346153846154,0.538461538462,0.163461538462,0.375,0.576923076923,0.25,0.576923076923,0.384615384615,0.336538461538,0.230769230769,0.192307692308,0.192307692308,0.586538461538,0.278846153846,0.230769230769,0.278846153846
AAA027M14,0.344827563615,0.0689655196195,0.379310357907,0.103448279429,0.367816081649,0.310344838288,0.16091952279,1.0,0.172413799049,0.310344838288,0.275862078478,0.1954022826,0.0689655196195,0.189655178954,0.310344838288,0.482758602854,0.241379318668,0.241379318668,0.379310357907,0.344827598098,0.310344803805,0.206896558859,0.206896558859,0.1954022826,0.310344838288,0.379310357907,0.344827598098,0.172413799049,0.310344803805,0.436781601268,0.241379318668,0.390804599683,0.327586218193,0.540229880698,0.356321839873,0.172413799049,0.482758602854,0.189655178954,0.563218398732,0.436781601268,0.206896558859,0.597701158541,0.488505740983,0.379310323424,0.218390800634,0.172413799049,0.13218390111,0.344827598098,0.620689642093,0.241379284185,0.620689642093,0.540229880698,0.298850562029,0.235632180539,0.379310357907,0.137931039239,0.344827563615,0.189655178954,0.206896558859,0.275862043995,0.1954022826,0.413793117717,0.344827563615
AAA028A23,0.464285730867,0.410714300383,0.553571448342,0.303571439413,0.577380949192,0.660714291454,0.0401785728635,0.080357145727,1.0,0.125000004464,0.589285735332,0.321428582908,0.214285721939,0.339285726403,0.589285735332,0.654761916241,0.589285735332,0.571428591837,0.619047629252,0.446428569515,0.160714291454,0.212797614743,0.607142860969,0.339285726403,0.571428591837,0.535714304847,0.232142865434,0.339285726403,0.57142857398,0.678571452806,0.160714291454,0.348214298151,0.593750021205,0.642857165816,0.303571439413,0.339285726403,0.642857165816,0.321428582908,0.678571452806,0.446428587372,0.535714304847,0.630952397534,0.165178577328,0.571428591837,0.517857143495,0.285714295918,0.0892857174745,0.558035734216,0.669642881059,0.339285726403,0.196428578444,0.529761911777,0.450892873246,0.142857130102,0.526785733099,0.482142874362,0.321428582908,0.208333328869,0.553571448342,0.535714304847,0.49107144611,0.589285735332,0.308035725287
AAA028E20,0.259259268861,0.111111115226,0.58641976246,0.481481462277,0.62654320839,0.518518537723,0.234567897577,0.29629630727,0.259259268861,1.0,0.574074058299,0.222222230453,0.111111115226,0.351851864883,0.481481499314,0.487654314358,0.481481499314,0.481481499314,0.530864204847,0.611111096708,0.462962943073,0.271604935985,0.453703720508,0.370370384088,0.537037056927,0.407407422497,0.444444460905,0.259259268861,0.388888903292,0.561728391175,0.370370384088,0.46296298011,0.500000018519,0.617283948788,0.481481499314,0.518518537723,0.731481471536,0.500000018519,0.654320987197,0.444444423868,0.425925941701,0.432098756744,0.691358025606,0.555555576132,0.29629630727,0.222222230453,0.203703711248,0.543209871971,0.691358025606,0.407407422497,0.654320987197,0.635802467993,0.351851864883,0.475308647234,0.589506169982,0.456790128029,0.388888903292,0.351851864883,0.314814826475,0.58641976246,0.283950603109,0.555555576132,0.410493830018
