,AAA023D18,AAA023J06,AAA024D14,AAA027D23,AAA027J17,AAA027L06,AAA027M14,AAA028A23,AAA028I14,AAA028N15,AAA041L13,AAA044D11,AAA044N04,AAA278I18,AAA278O22,AB141P03,MEintmetabat10152,MEintmetabat1091,MEintmetabat11576,MEintmetabat1363,MEintmetabat14260,MEintmetabat1719,MEintmetabat1953,MEintmetabat2297,MEintmetabat2538,MEintmetabat2729,MEintmetabat283,MEintmetabat3119,MEintmetabat3163,MEintmetabat3864,MEintmetabat4252,MEintmetabat6647,MEintmetabat885,TBepimetabat149,TBepimetabat2057,TBepimetabat2754,TBepimetabat2973,TBepimetabat3207,TBepimetabat3256,TBepimetabat3475,TBepimetabat4163,TBepimetabat4208,TBhypometabat2152,TBhypometabat3180,TBhypometabat3219,TBhypometabat3463,TBhypometabat3765,TBhypometabat3815,TBhypometabat3838,TBhypometabat680,TBhypometabat9906
AAA023D18,1.0,0.5697674418604651,0.5930232558139535,0.19767441860465115,0.6046511627906976,0.6046511627906976,0.38372093023255816,0.5813953488372093,0.43023255813953487,0.45348837209302323,0.5348837209302325,0.47674418604651164,0.47674418604651164,0.6627906976744186,0.4883720930232558,0.6395348837209303,0.3488372093023256,0.3023255813953488,0.4796511627906977,0.6162790697674418,0.3023255813953488,0.313953488372093,0.4186046511627907,0.5348837209302325,0.3488372093023256,0.45348837209302323,0.6046511627906976,0.47674418604651164,0.2558139534883721,0.5697674418604651,0.5348837209302325,0.5,0.5581395348837209,0.46511627906976744,0.46511627906976744,0.5348837209302325,0.3488372093023256,0.5116279069767442,0.2703488372093023,0.5,0.2441860465116279,0.46511627906976744,0.5232558139534884,0.32558139534883723,0.2558139534883721,0.46511627906976744,0.45348837209302323,0.19767441860465115,0.44476744186046513,0.5581395348837209,0.3866279069767442
AAA023J06,0.3684210554016621,1.0,0.5789473727740404,0.30827067900955396,0.48955722924479117,0.5037594022839053,0.169172933602804,0.338345867205608,0.692564749568156,0.39933166465662906,0.7142857196562836,0.5939849668720674,0.6842105314602296,0.5187969963819323,0.6654135388376957,0.3558897244803738,0.5112781993329187,0.5037594022839053,0.45196324399972365,0.5263157934309458,0.3270676716320878,0.5187969963819323,0.4172932362202499,0.601503763921081,0.5338345904799593,0.5714285757250269,0.37593985245067557,0.5676691772005201,0.492481206710385,0.5488721845779864,0.45112782294081066,0.6558061853820014,0.5413533875289728,0.6278195535926282,0.5714285757250269,0.6541353432641756,0.4699248155633445,0.6503759447396688,0.5187969963819323,0.6203007565436147,0.3120300775340607,0.5939849668720674,0.6691729373622025,0.46616541703883774,0.4557226425242304,0.6353383506416417,0.5827067712985471,0.46616541703883774,0.3776106945685015,0.5112781993329187,0.6031746060389068
AAA024D14,0.5,0.7549019607843137,1.0,0.3627450980392157,0.6568627450980392,0.7450980392156863,0.2696078431372549,0.47058823529411764,0.6764705882352942,0.46078431372549017,0.6666666666666666,0.6176470588235294,0.7254901960784313,0.7549019607843137,0.6421568627450981,0.4803921568627451,0.5098039215686274,0.47058823529411764,0.6274509803921569,0.7058823529411765,0.22058823529411764,0.5098039215686274,0.6127450980392157,0.6372549019607843,0.5196078431372549,0.5392156862745098,0.5882352941176471,0.5931372549019608,0.45588235294117646,0.7254901960784313,0.4411764705882353,0.6764705882352942,0.803921568627451,0.6225490196078431,0.6078431372549019,0.6470588235294118,0.44607843137254904,0.6323529411764706,0.47058823529411764,0.7009803921568627,0.19117647058823528,0.6470588235294118,0.6568627450980392,0.43137254901960786,0.4362745098039216,0.5931372549019608,0.5931372549019608,0.39215686274509803,0.5686274509803921,0.6666666666666666,0.5882352941176471
AAA027D23,0.20481927710843373,0.4939759036144578,0.4457831325301205,1.0,0.5060240963855421,0.5180722891566265,0.27710843373493976,0.20481927710843373,0.40963855421686746,0.43373493975903615,0.5301204819277109,0.5060240963855421,0.5421686746987951,0.5180722891566265,0.5903614457831325,0.1686746987951807,0.5421686746987951,0.5662650602409639,0.5301204819277109,0.5421686746987951,0.2891566265060241,0.5662650602409639,0.4939759036144578,0.5903614457831325,0.5180722891566265,0.5301204819277109,0.26506024096385544,0.5421686746987951,0.5783132530120482,0.46987951807228917,0.2891566265060241,0.5542168674698795,0.5180722891566265,0.4819277108433735,0.4939759036144578,0.5301204819277109,0.4939759036144578,0.5180722891566265,0.5060240963855421,0.5180722891566265,0.3373493975903614,0.5180722891566265,0.4939759036144578,0.5301204819277109,0.4819277108433735,0.5060240963855421,0.5421686746987951,0.42168674698795183,0.39759036144578314,0.6506024096385542,0.5060240963855421
AAA027J17,0.5360824742268041,0.6752577319587629,0.6855670103092784,0.4329896907216495,1.0,0.8041237113402062,0.28350515463917525,0.5670103092783505,0.6288659793814433,0.4020618556701031,0.6701030927835051,0.6237113402061856,0.6701030927835051,0.8195876288659794,0.6752577319587629,0.4742268041237113,0.4845360824742268,0.4948453608247423,0.6494845360824743,0.8041237113402062,0.25257731958762886,0.4742268041237113,0.634020618556701,0.7319587628865979,0.5154639175257731,0.5670103092783505,0.5360824742268041,0.6752577319587629,0.4587628865979381,0.711340206185567,0.44329896907216493,0.7319587628865979,0.7216494845360825,0.6752577319587629,0.6288659793814433,0.6597938144329897,0.4690721649484536,0.6237113402061856,0.4381443298969072,0.6649484536082474,0.211340206185567,0.6443298969072165,0.711340206185567,0.4742268041237113,0.4587628865979381,0.6134020618556701,0.5927835051546392,0.422680412371134,0.5670103092783505,0.7010309278350515,0.5670103092783505
AAA027L06,0.5416666666666666,0.6979166666666666,0.7916666666666666,0.4479166666666667,0.8125,1.0,0.2760416666666667,0.6145833333333334,0.75,0.4895833333333333,0.65625,0.7083333333333334,0.7291666666666666,0.8854166666666666,0.7135416666666666,0.5729166666666666,0.5,0.5520833333333334,0.6354166666666666,0.8333333333333334,0.2552083333333333,0.5520833333333334,0.6927083333333334,0.75,0.5625,0.6145833333333334,0.625,0.6927083333333334,0.5364583333333334,0.78125,0.5,0.7083333333333334,0.84375,0.6822916666666666,0.7291666666666666,0.6875,0.4947916666666667,0.703125,0.46875,0.7447916666666666,0.203125,0.75,0.7395833333333334,0.5104166666666666,0.453125,0.6510416666666666,0.6510416666666666,0.4270833333333333,0.6145833333333334,0.7291666666666666,0.6041666666666666
AAA027M14,0.55,0.38333333333333336,0.4666666666666667,0.38333333333333336,0.4666666666666667,0.45,1.0,0.43333333333333335,0.31666666666666665,0.4,0.6,0.5,0.5,0.55,0.5833333333333334,0.4666666666666667,0.43333333333333335,0.4666666666666667,0.48333333333333334,0.55,0.4666666666666667,0.43333333333333335,0.39166666666666666,0.6333333333333333,0.3,0.43333333333333335,0.5666666666666667,0.5,0.35,0.4666666666666667,0.6333333333333333,0.35,0.4666666666666667,0.2916666666666667,0.5333333333333333,0.6,0.39166666666666666,0.5,0.35,0.6,0.43333333333333335,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.325,0.4166666666666667,0.45,0.25,0.3333333333333333,0.5833333333333334,0.35
AAA028A23,0.7352941176470589,0.6617647058823529,0.7058823529411765,0.25,0.8088235294117647,0.8676470588235294,0.375,1.0,0.6617647058823529,0.6029411764705882,0.6029411764705882,0.6029411764705882,0.6911764705882353,0.8529411764705882,0.6985294117647058,0.8088235294117647,0.39705882352941174,0.39705882352941174,0.5772058823529411,0.8382352941176471,0.33088235294117646,0.4117647058823529,0.6102941176470589,0.7058823529411765,0.36764705882352944,0.5147058823529411,0.7647058823529411,0.5955882352941176,0.375,0.75,0.6764705882352942,0.6470588235294118,0.7794117647058824,0.6102941176470589,0.6764705882352942,0.6323529411764706,0.34558823529411764,0.5367647058823529,0.3713235294117647,0.6544117647058824,0.2426470588235294,0.6323529411764706,0.6911764705882353,0.4117647058823529,0.33088235294117646,0.5073529411764706,0.5808823529411765,0.27941176470588236,0.5330882352941176,0.6323529411764706,0.5036764705882353
AAA028I14,0.32456140350877194,0.8157894736842105,0.6052631578947368,0.2982456140350877,0.5350877192982456,0.631578947368421,0.16228070175438597,0.39473684210526316,1.0,0.3684210526315789,0.7456140350877193,0.7280701754385965,0.7280701754385965,0.6140350877192983,0.7324561403508771,0.39473684210526316,0.5964912280701754,0.6403508771929824,0.4649122807017544,0.6052631578947368,0.3991228070175439,0.6052631578947368,0.5482456140350878,0.7280701754385965,0.6491228070175439,0.6929824561403509,0.4473684210526316,0.706140350877193,0.5921052631578947,0.6140350877192983,0.5350877192982456,0.7192982456140351,0.7017543859649122,0.75,0.7456140350877193,0.7105263157894737,0.5570175438596491,0.7149122807017544,0.6052631578947368,0.7587719298245614,0.35526315789473684,0.7543859649122807,0.7807017543859649,0.5526315789473685,0.5482456140350878,0.6798245614035088,0.6885964912280702,0.5263157894736842,0.4473684210526316,0.5789473684210527,0.6842105263157895
AAA028N15,0.4431818181818182,0.6079545454545454,0.5284090909090909,0.4090909090909091,0.4431818181818182,0.5340909090909091,0.26704545454545453,0.4659090909090909,0.4772727272727273,1.0,0.6136363636363636,0.5852272727272727,0.5681818181818182,0.5625,0.5852272727272727,0.4318181818181818,0.42045454545454547,0.38636363636363635,0.38636363636363635,0.5681818181818182,0.32386363636363635,0.38636363636363635,0.3806818181818182,0.5568181818181818,0.4090909090909091,0.3522727272727273,0.5340909090909091,0.48295454545454547,0.3465909090909091,0.45454545454545453,0.5795454545454546,0.48863636363636365,0.5340909090909091,0.44886363636363635,0.5340909090909091,0.5681818181818182,0.3352272727272727,0.6306818181818182,0.3352272727272727,0.5965909090909091,0.2784090909090909,0.5738636363636364,0.4659090909090909,0.3181818181818182,0.3125,0.6306818181818182,0.5284090909090909,0.29545454545454547,0.4431818181818182,0.75,0.5113636363636364
