,AAA023D18,AAA023J06,AAA024D14,AAA027E14,AAA027J17,AAA027L06,AAA027L17,AAA027M14,AAA028A23,AAA028E20,AAA028G02,AAA028I14,AAA028K15,AAA028P02,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,acIB-AMD-6,acIB-AMD-7,acMicro-1,acMicro-4,BIN_10,BIN_15,bin_29_2_acIII,bin_7_acI-B2,MEint10152,MEint1091,MEint11576,MEint1363,MEint14260,MEint1719,MEint1953,MEint2297,MEint2538,MEint2729,MEint283,MEint3119,MEint3163,MEint3864,MEint4252,MEint885,Rhodoluna,TBepi149,TBepi2057,TBepi2754,TBepi2973,TBepi3207,TBepi3256,TBepi3475,TBepi4163,TBepi4208,TBhypo2152,TBhypo3180,TBhypo3219,TBhypo3463,TBhypo3765,TBhypo3838,TBhypo680,TBhypo9906
AAA023D18,0.0,0.117647058824,0.152941176471,0.305882352941,0.223529411765,0.235294117647,0.329411764706,0.176470588235,0.164705882353,0.188235294118,0.294117647059,0.258823529412,0.270588235294,0.388235294118,0.270588235294,0.223529411765,0.223529411765,0.294117647059,0.164705882353,0.305882352941,0.0705882352941,0.0941176470588,0.164705882353,0.294117647059,0.258823529412,0.247058823529,0.364705882353,0.423529411765,0.258823529412,0.470588235294,0.4,0.376470588235,0.141176470588,0.423529411765,0.447058823529,0.458823529412,0.270588235294,0.423529411765,0.435294117647,0.2,0.235294117647,0.423529411765,0.164705882353,0.235294117647,0.2,0.458823529412,0.0235294117647,0.188235294118,0.247058823529,0.329411764706,0.211764705882,0.376470588235,0.223529411765,0.223529411765,0.247058823529,0.152941176471,0.388235294118,0.388235294118,0.2,0.258823529412,0.0823529411765,0.223529411765,0.329411764706
AAA023J06,0.132231404959,0.0,0.140495867769,0.247933884298,0.206611570248,0.247933884298,0.223140495868,0.214876033058,0.181818181818,0.198347107438,0.297520661157,0.181818181818,0.272727272727,0.355371900826,0.264462809917,0.231404958678,0.239669421488,0.256198347107,0.181818181818,0.256198347107,0.099173553719,0.123966942149,0.157024793388,0.305785123967,0.289256198347,0.239669421488,0.404958677686,0.396694214876,0.272727272727,0.438016528926,0.380165289256,0.347107438017,0.198347107438,0.371900826446,0.380165289256,0.396694214876,0.280991735537,0.314049586777,0.388429752066,0.198347107438,0.256198347107,0.404958677686,0.198347107438,0.264462809917,0.173553719008,0.429752066116,0.0247933884298,0.239669421488,0.280991735537,0.371900826446,0.256198347107,0.338842975207,0.247933884298,0.206611570248,0.280991735537,0.157024793388,0.404958677686,0.380165289256,0.272727272727,0.272727272727,0.173553719008,0.280991735537,0.305785123967
AAA024D14,0.25,0.2,0.0,0.35,0.25,0.3625,0.4125,0.2125,0.2875,0.2125,0.3875,0.2875,0.375,0.475,0.375,0.3375,0.325,0.3875,0.3,0.4125,0.2125,0.1125,0.1375,0.425,0.4375,0.3625,0.5125,0.525,0.3375,0.575,0.575,0.5125,0.3,0.55,0.6,0.55,0.35,0.4625,0.5625,0.1625,0.3625,0.55,0.275,0.35,0.3,0.575,0.0625,0.35,0.3875,0.525,0.325,0.55,0.325,0.375,0.3375,0.2625,0.5875,0.575,0.375,0.3875,0.2125,0.3625,0.425
AAA027E14,0.212765957447,0.127659574468,0.127659574468,0.0,0.212765957447,0.234042553191,0.191489361702,0.191489361702,0.212765957447,0.212765957447,0.297872340426,0.191489361702,0.148936170213,0.446808510638,0.255319148936,0.212765957447,0.276595744681,0.297872340426,0.191489361702,0.255319148936,0.191489361702,0.148936170213,0.191489361702,0.36170212766,0.276595744681,0.234042553191,0.31914893617,0.468085106383,0.234042553191,0.404255319149,0.340425531915,0.234042553191,0.212765957447,0.255319148936,0.31914893617,0.446808510638,0.31914893617,0.404255319149,0.340425531915,0.234042553191,0.255319148936,0.31914893617,0.212765957447,0.297872340426,0.212765957447,0.446808510638,0.0425531914894,0.276595744681,0.276595744681,0.276595744681,0.255319148936,0.31914893617,0.276595744681,0.255319148936,0.276595744681,0.212765957447,0.276595744681,0.212765957447,0.31914893617,0.297872340426,0.170212765957,0.255319148936,0.234042553191
AAA027J17,0.21875,0.28125,0.15625,0.40625,0.0,0.234375,0.46875,0.109375,0.21875,0.109375,0.328125,0.25,0.375,0.359375,0.3125,0.25,0.328125,0.296875,0.203125,0.359375,0.203125,0.046875,0.09375,0.390625,0.328125,0.265625,0.515625,0.5,0.25,0.546875,0.578125,0.484375,0.21875,0.546875,0.578125,0.53125,0.296875,0.375,0.5625,0.109375,0.328125,0.59375,0.28125,0.296875,0.234375,0.453125,0.09375,0.265625,0.265625,0.453125,0.3125,0.578125,0.25,0.375,0.296875,0.265625,0.53125,0.53125,0.328125,0.359375,0.1875,0.234375,0.453125
AAA027L06,0.030303030303,0.0909090909091,0.0606060606061,0.227272727273,0.030303030303,0.0,0.333333333333,0.0454545454545,0.030303030303,0.0757575757576,0.121212121212,0.0606060606061,0.227272727273,0.287878787879,0.121212121212,0.0757575757576,0.136363636364,0.106060606061,0.030303030303,0.151515151515,0.030303030303,0.030303030303,0.030303030303,0.333333333333,0.136363636364,0.0757575757576,0.30303030303,0.409090909091,0.0454545454545,0.424242424242,0.393939393939,0.318181818182,0.0454545454545,0.348484848485,0.393939393939,0.378787878788,0.106060606061,0.287878787879,0.378787878788,0.0,0.121212121212,0.363636363636,0.0909090909091,0.0909090909091,0.0606060606061,0.363636363636,0.030303030303,0.0606060606061,0.0606060606061,0.272727272727,0.0757575757576,0.363636363636,0.0909090909091,0.181818181818,0.0606060606061,0.0606060606061,0.348484848485,0.348484848485,0.121212121212,0.136363636364,0.0151515151515,0.0454545454545,0.318181818182
AAA027L17,0.134328358209,0.089552238806,0.119402985075,0.089552238806,0.194029850746,0.238805970149,0.0,0.194029850746,0.179104477612,0.164179104478,0.283582089552,0.208955223881,0.119402985075,0.328358208955,0.268656716418,0.208955223881,0.223880597015,0.268656716418,0.164179104478,0.223880597015,0.179104477612,0.134328358209,0.208955223881,0.208955223881,0.238805970149,0.223880597015,0.238805970149,0.313432835821,0.268656716418,0.283582089552,0.253731343284,0.194029850746,0.149253731343,0.179104477612,0.223880597015,0.358208955224,0.253731343284,0.298507462687,0.223880597015,0.179104477612,0.223880597015,0.268656716418,0.179104477612,0.223880597015,0.164179104478,0.34328358209,0.0298507462687,0.208955223881,0.253731343284,0.223880597015,0.208955223881,0.238805970149,0.223880597015,0.223880597015,0.238805970149,0.149253731343,0.268656716418,0.223880597015,0.253731343284,0.238805970149,0.134328358209,0.223880597015,0.194029850746
AAA027M14,0.131578947368,0.236842105263,0.184210526316,0.157894736842,0.263157894737,0.289473684211,0.263157894737,0.0,0.236842105263,0.210526315789,0.342105263158,0.263157894737,0.131578947368,0.289473684211,0.263157894737,0.210526315789,0.368421052632,0.315789473684,0.157894736842,0.421052631579,0.105263157895,0.0,0.210526315789,0.289473684211,0.289473684211,0.368421052632,0.289473684211,0.526315789474,0.315789473684,0.342105263158,0.394736842105,0.315789473684,0.184210526316,0.289473684211,0.421052631579,0.578947368421,0.236842105263,0.342105263158,0.368421052632,0.210526315789,0.236842105263,0.394736842105,0.289473684211,0.210526315789,0.289473684211,0.473684210526,0.0,0.263157894737,0.236842105263,0.236842105263,0.263157894737,0.368421052632,0.236842105263,0.315789473684,0.236842105263,0.210526315789,0.342105263158,0.342105263158,0.263157894737,0.342105263158,0.184210526316,0.236842105263,0.289473684211
AAA028A23,0.0151515151515,0.0606060606061,0.0606060606061,0.257575757576,0.0909090909091,0.106060606061,0.257575757576,0.106060606061,0.0,0.121212121212,0.181818181818,0.136363636364,0.257575757576,0.318181818182,0.166666666667,0.121212121212,0.106060606061,0.181818181818,0.106060606061,0.166666666667,0.0151515151515,0.030303030303,0.030303030303,0.272727272727,0.166666666667,0.136363636364,0.348484848485,0.333333333333,0.121212121212,0.484848484848,0.363636363636,0.30303030303,0.0454545454545,0.333333333333,0.363636363636,0.439393939394,0.151515151515,0.363636363636,0.378787878788,0.106060606061,0.151515151515,0.393939393939,0.0757575757576,0.136363636364,0.121212121212,0.393939393939,0.0454545454545,0.0909090909091,0.136363636364,0.363636363636,0.0909090909091,0.318181818182,0.106060606061,0.151515151515,0.151515151515,0.0606060606061,0.393939393939,0.363636363636,0.106060606061,0.166666666667,0.0454545454545,0.121212121212,0.287878787879
AAA028E20,0.211267605634,0.183098591549,0.140845070423,0.380281690141,0.197183098592,0.323943661972,0.464788732394,0.169014084507,0.323943661972,0.0,0.352112676056,0.239436619718,0.464788732394,0.408450704225,0.366197183099,0.281690140845,0.338028169014,0.338028169014,0.253521126761,0.30985915493,0.253521126761,0.112676056338,0.169014084507,0.366197183099,0.366197183099,0.30985915493,0.521126760563,0.56338028169,0.352112676056,0.535211267606,0.577464788732,0.492957746479,0.267605633803,0.535211267606,0.591549295775,0.521126760563,0.338028169014,0.366197183099,0.577464788732,0.140845070423,0.295774647887,0.56338028169,0.295774647887,0.323943661972,0.239436619718,0.521126760563,0.0704225352113,0.323943661972,0.366197183099,0.464788732394,0.380281690141,0.521126760563,0.352112676056,0.338028169014,0.323943661972,0.267605633803,0.549295774648,0.521126760563,0.380281690141,0.352112676056,0.267605633803,0.323943661972,0.492957746479
