,AAA023D18,AAA023J06,AAA024D14,AAA027D23,AAA027E14,AAA027F04,AAA027J17,AAA027L06,AAA027L17,AAA027M14,AAA028A23,AAA028C09,AAA028E20,AAA028G02,AAA028I14,AAA028N15,AAA028P02,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,MEintmetabat10152,MEintmetabat1091,MEintmetabat11576,MEintmetabat1363,MEintmetabat14260,MEintmetabat1719,MEintmetabat1953,MEintmetabat2297,MEintmetabat2538,MEintmetabat2729,MEintmetabat283,MEintmetabat3119,MEintmetabat3163,MEintmetabat3864,MEintmetabat4252,MEintmetabat6647,MEintmetabat885,TBepimetabat149,TBepimetabat2057,TBepimetabat2754,TBepimetabat2973,TBepimetabat3207,TBepimetabat3256,TBepimetabat3475,TBepimetabat4163,TBepimetabat4208,TBhypometabat2152,TBhypometabat3180,TBhypometabat3219,TBhypometabat3463,TBhypometabat3765,TBhypometabat3815,TBhypometabat3838,TBhypometabat680,TBhypometabat9906
AAA023D18,0.0,0.16129032258064516,0.17204301075268819,0.26881720430107525,0.3655913978494624,0.053763440860215055,0.1827956989247312,0.20430107526881722,0.41935483870967744,0.13978494623655913,0.10752688172043011,0.010752688172043012,0.1935483870967742,0.3870967741935484,0.21505376344086022,0.3333333333333333,0.3978494623655914,0.34408602150537637,0.3225806451612903,0.3655913978494624,0.3225806451612903,0.17204301075268819,0.3548387096774194,0.043010752688172046,0.5161290322580645,0.4731182795698925,0.26881720430107525,0.20430107526881722,0.41935483870967744,0.4731182795698925,0.3870967741935484,0.3548387096774194,0.44086021505376344,0.40860215053763443,0.1935483870967742,0.3225806451612903,0.5161290322580645,0.16129032258064516,0.3010752688172043,0.15053763440860216,0.22580645161290322,0.16129032258064516,0.26881720430107525,0.3118279569892473,0.41935483870967744,0.3118279569892473,0.4731182795698925,0.27956989247311825,0.16129032258064516,0.3333333333333333,0.1935483870967742,0.46236559139784944,0.46236559139784944,0.3118279569892473,0.3333333333333333,0.5376344086021505,0.1827956989247312,0.3225806451612903,0.25806451612903225
AAA023J06,0.16551724137931034,0.0,0.15172413793103448,0.23448275862068965,0.2620689655172414,0.0896551724137931,0.2,0.22758620689655173,0.32413793103448274,0.19310344827586207,0.20689655172413793,0.013793103448275862,0.2,0.296551724137931,0.1724137931034483,0.20689655172413793,0.3310344827586207,0.296551724137931,0.27586206896551724,0.2827586206896552,0.296551724137931,0.2,0.2896551724137931,0.1310344827586207,0.38620689655172413,0.4,0.2689655172413793,0.20689655172413793,0.36551724137931035,0.38620689655172413,0.32413793103448274,0.296551724137931,0.3448275862068966,0.33793103448275863,0.1793103448275862,0.27586206896551724,0.41379310344827586,0.21379310344827587,0.2827586206896552,0.1724137931034483,0.1793103448275862,0.1724137931034483,0.2689655172413793,0.30344827586206896,0.3724137931034483,0.296551724137931,0.35172413793103446,0.2827586206896552,0.2,0.2689655172413793,0.1793103448275862,0.4,0.3586206896551724,0.2827586206896552,0.296551724137931,0.41379310344827586,0.19310344827586207,0.2896551724137931,0.21379310344827587
AAA024D14,0.11214953271028037,0.04672897196261682,0.0,0.21495327102803738,0.2336448598130841,0.037383177570093455,0.1588785046728972,0.14953271028037382,0.32710280373831774,0.12149532710280374,0.11214953271028037,0.018691588785046728,0.14018691588785046,0.2616822429906542,0.08411214953271028,0.18691588785046728,0.2897196261682243,0.2523364485981308,0.22429906542056074,0.24299065420560748,0.24299065420560748,0.11214953271028037,0.2336448598130841,0.08411214953271028,0.3644859813084112,0.42990654205607476,0.22429906542056074,0.14953271028037382,0.37383177570093457,0.37383177570093457,0.29906542056074764,0.24299065420560748,0.29906542056074764,0.32710280373831774,0.07476635514018691,0.2523364485981308,0.40186915887850466,0.12149532710280374,0.205607476635514,0.09345794392523364,0.07476635514018691,0.08411214953271028,0.21495327102803738,0.2336448598130841,0.35514018691588783,0.27102803738317754,0.3925233644859813,0.205607476635514,0.16822429906542055,0.21495327102803738,0.11214953271028037,0.40186915887850466,0.34579439252336447,0.27102803738317754,0.24299065420560748,0.42990654205607476,0.14953271028037382,0.24299065420560748,0.18691588785046728
AAA027D23,0.08139534883720931,0.19767441860465115,0.13953488372093023,0.0,0.03488372093023256,0.1511627906976744,0.09302325581395349,0.1511627906976744,0.12790697674418605,0.08139534883720931,0.12790697674418605,0.011627906976744186,0.11627906976744186,0.26744186046511625,0.22093023255813954,0.11627906976744186,0.2441860465116279,0.32558139534883723,0.2558139534883721,0.32558139534883723,0.2558139534883721,0.1511627906976744,0.3023255813953488,0.11627906976744186,0.3023255813953488,0.29069767441860467,0.08139534883720931,0.12790697674418605,0.20930232558139536,0.32558139534883723,0.13953488372093023,0.3023255813953488,0.22093023255813954,0.3372093023255814,0.10465116279069768,0.2558139534883721,0.3372093023255814,0.13953488372093023,0.3023255813953488,0.23255813953488372,0.09302325581395349,0.22093023255813954,0.2441860465116279,0.27906976744186046,0.22093023255813954,0.27906976744186046,0.29069767441860467,0.27906976744186046,0.23255813953488372,0.23255813953488372,0.26744186046511625,0.23255813953488372,0.29069767441860467,0.313953488372093,0.27906976744186046,0.313953488372093,0.05813953488372093,0.10465116279069768,0.20930232558139536
AAA027E14,0.12790697674418605,0.12790697674418605,0.16279069767441862,0.12790697674418605,0.0,0.09302325581395349,0.18604651162790697,0.18604651162790697,0.1744186046511628,0.1744186046511628,0.12790697674418605,0.03488372093023256,0.18604651162790697,0.23255813953488372,0.11627906976744186,0.20930232558139536,0.313953488372093,0.23255813953488372,0.19767441860465115,0.23255813953488372,0.22093023255813954,0.18604651162790697,0.23255813953488372,0.11627906976744186,0.27906976744186046,0.2441860465116279,0.13953488372093023,0.12790697674418605,0.22093023255813954,0.2441860465116279,0.3372093023255814,0.23255813953488372,0.27906976744186046,0.2558139534883721,0.1744186046511628,0.1744186046511628,0.27906976744186046,0.12790697674418605,0.20930232558139536,0.16279069767441862,0.18604651162790697,0.12790697674418605,0.1744186046511628,0.20930232558139536,0.18604651162790697,0.20930232558139536,0.23255813953488372,0.1744186046511628,0.18604651162790697,0.22093023255813954,0.1511627906976744,0.19767441860465115,0.19767441860465115,0.19767441860465115,0.2558139534883721,0.3372093023255814,0.12790697674418605,0.19767441860465115,0.11627906976744186
AAA027F04,0.14,0.12,0.2,0.3,0.1,0.0,0.26,0.26,0.14,0.22,0.22,0.06,0.26,0.3,0.16,0.24,0.26,0.22,0.28,0.32,0.26,0.22,0.28,0.14,0.32,0.3,0.2,0.24,0.22,0.28,0.32,0.3,0.3,0.26,0.2,0.24,0.28,0.24,0.26,0.2,0.2,0.24,0.24,0.28,0.32,0.26,0.24,0.24,0.22,0.24,0.2,0.3,0.28,0.24,0.26,0.36,0.18,0.28,0.2
AAA027J17,0.06796116504854369,0.0970873786407767,0.1650485436893204,0.18446601941747573,0.2815533980582524,0.05825242718446602,0.0,0.13592233009708737,0.3592233009708738,0.06796116504854369,0.11650485436893204,0.0,0.0970873786407767,0.23300970873786409,0.10679611650485436,0.22330097087378642,0.24271844660194175,0.2912621359223301,0.1650485436893204,0.2815533980582524,0.20388349514563106,0.11650485436893204,0.2524271844660194,0.14563106796116504,0.4077669902912621,0.39805825242718446,0.23300970873786409,0.13592233009708737,0.34951456310679613,0.4368932038834951,0.2621359223300971,0.23300970873786409,0.2621359223300971,0.34951456310679613,0.11650485436893204,0.20388349514563106,0.4563106796116505,0.1941747572815534,0.21359223300970873,0.10679611650485436,0.1262135922330097,0.05825242718446602,0.17475728155339806,0.22330097087378642,0.3106796116504854,0.2524271844660194,0.3786407766990291,0.18446601941747573,0.1553398058252427,0.17475728155339806,0.0970873786407767,0.34951456310679613,0.3592233009708738,0.24271844660194175,0.30097087378640774,0.4077669902912621,0.14563106796116504,0.18446601941747573,0.1553398058252427
AAA027L06,0.030303030303030304,0.09090909090909091,0.0707070707070707,0.1717171717171717,0.26262626262626265,0.020202020202020204,0.06060606060606061,0.0,0.37373737373737376,0.06060606060606061,0.04040404040404041,0.0,0.09090909090909091,0.21212121212121213,0.050505050505050504,0.1717171717171717,0.24242424242424243,0.24242424242424243,0.16161616161616163,0.2222222222222222,0.1717171717171717,0.04040404040404041,0.21212121212121213,0.050505050505050504,0.35353535353535354,0.3838383838383838,0.2222222222222222,0.0707070707070707,0.3333333333333333,0.36363636363636365,0.2222222222222222,0.18181818181818182,0.26262626262626265,0.30303030303030304,0.020202020202020204,0.1717171717171717,0.37373737373737376,0.10101010101010101,0.16161616161616163,0.0707070707070707,0.08080808080808081,0.04040404040404041,0.15151515151515152,0.16161616161616163,0.2828282828282828,0.20202020202020202,0.35353535353535354,0.15151515151515152,0.13131313131313133,0.13131313131313133,0.050505050505050504,0.32323232323232326,0.29292929292929293,0.20202020202020202,0.2222222222222222,0.36363636363636365,0.10101010101010101,0.15151515151515152,0.1414141414141414
AAA027L17,0.06666666666666667,0.06666666666666667,0.11428571428571428,0.13333333333333333,0.05714285714285714,0.01904761904761905,0.12380952380952381,0.14285714285714285,0.0,0.10476190476190476,0.09523809523809523,0.01904761904761905,0.12380952380952381,0.1619047619047619,0.10476190476190476,0.09523809523809523,0.17142857142857143,0.14285714285714285,0.12380952380952381,0.1523809523809524,0.14285714285714285,0.11428571428571428,0.12380952380952381,0.09523809523809523,0.19047619047619047,0.12380952380952381,0.0761904761904762,0.09523809523809523,0.08571428571428572,0.13333333333333333,0.20952380952380953,0.14285714285714285,0.19047619047619047,0.13333333333333333,0.11428571428571428,0.13333333333333333,0.1523809523809524,0.10476190476190476,0.12380952380952381,0.14285714285714285,0.10476190476190476,0.09523809523809523,0.13333333333333333,0.1523809523809524,0.13333333333333333,0.12380952380952381,0.12380952380952381,0.12380952380952381,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.1523809523809524,0.14285714285714285,0.13333333333333333,0.14285714285714285,0.2761904761904762,0.09523809523809523,0.14285714285714285,0.12380952380952381
AAA027M14,0.12903225806451613,0.24193548387096775,0.20967741935483872,0.20967741935483872,0.14516129032258066,0.04838709677419355,0.25806451612903225,0.2903225806451613,0.2903225806451613,0.0,0.1935483870967742,0.016129032258064516,0.25806451612903225,0.3548387096774194,0.25806451612903225,0.22580645161290322,0.3225806451612903,0.3225806451612903,0.24193548387096775,0.4032258064516129,0.27419354838709675,0.1935483870967742,0.25806451612903225,0.14516129032258066,0.3709677419354839,0.3548387096774194,0.24193548387096775,0.24193548387096775,0.20967741935483872,0.3548387096774194,0.45161290322580644,0.27419354838709675,0.3548387096774194,0.3870967741935484,0.16129032258064516,0.20967741935483872,0.3709677419354839,0.22580645161290322,0.1935483870967742,0.20967741935483872,0.25806451612903225,0.25806451612903225,0.1935483870967742,0.22580645161290322,0.27419354838709675,0.2903225806451613,0.3548387096774194,0.20967741935483872,0.22580645161290322,0.1935483870967742,0.1774193548387097,0.3225806451612903,0.3387096774193548,0.2903225806451613,0.3064516129032258,0.46774193548387094,0.16129032258064516,0.25806451612903225,0.20967741935483872
