Model,Genes,Metabolites,Reactions
../ProcessedModelFiles/AAA023D18,207,526,368
../ProcessedModelFiles/AAA023J06,163,495,345
../ProcessedModelFiles/AAA024D14,195,492,354
../ProcessedModelFiles/AAA027E14,167,439,258
../ProcessedModelFiles/AAA027J17,254,548,410
../ProcessedModelFiles/AAA027L06,315,610,493
../ProcessedModelFiles/AAA027L17,225,530,365
../ProcessedModelFiles/AAA027M14,238,494,363
../ProcessedModelFiles/AAA028A23,243,563,436
../ProcessedModelFiles/AAA028E20,222,539,390
../ProcessedModelFiles/AAA028G02,319,677,575
../ProcessedModelFiles/AAA028I14,167,558,393
../ProcessedModelFiles/AAA028K15,127,404,280
../ProcessedModelFiles/AAA028P02,236,650,497
../ProcessedModelFiles/AAA041L13,301,647,555
../ProcessedModelFiles/AAA044D11,294,655,517
../ProcessedModelFiles/AAA044N04,321,682,587
../ProcessedModelFiles/AAA044O16,326,667,531
../ProcessedModelFiles/AAA278I18,258,584,437
../ProcessedModelFiles/AAA278O22,351,680,566
../ProcessedModelFiles/AB141P03,182,448,309
../ProcessedModelFiles/acIB-AMD-6,170,374,241
../ProcessedModelFiles/acIB-AMD-7,288,505,380
../ProcessedModelFiles/acMicro-1,189,570,437
../ProcessedModelFiles/acMicro-4,275,618,494
../ProcessedModelFiles/BIN_10,292,621,501
../ProcessedModelFiles/BIN_15,424,722,596
../ProcessedModelFiles/bin_29_2_acIII,490,851,773
../ProcessedModelFiles/bin_7_acI-B2,399,648,521
../ProcessedModelFiles/MEint10152,381,771,665
../ProcessedModelFiles/MEint1091,423,700,594
../ProcessedModelFiles/MEint11576,289,624,455
../ProcessedModelFiles/MEint1363,269,554,415
../ProcessedModelFiles/MEint14260,340,666,535
../ProcessedModelFiles/MEint1719,412,727,615
../ProcessedModelFiles/MEint1953,476,760,635
../ProcessedModelFiles/MEint2297,379,693,586
../ProcessedModelFiles/MEint2538,246,636,510
../ProcessedModelFiles/MEint2729,403,694,581
../ProcessedModelFiles/MEint283,222,483,358
../ProcessedModelFiles/MEint3119,306,636,501
../ProcessedModelFiles/MEint3163,405,690,575
../ProcessedModelFiles/MEint3864,204,526,370
../ProcessedModelFiles/MEint4252,345,690,568
../ProcessedModelFiles/MEint885,233,557,385
../ProcessedModelFiles/Rhodoluna,348,755,674
../ProcessedModelFiles/TBepi149,212,563,410
../ProcessedModelFiles/TBepi2057,282,628,518
../ProcessedModelFiles/TBepi2754,350,659,578
../ProcessedModelFiles/TBepi2973,281,638,536
../ProcessedModelFiles/TBepi3207,341,699,579
../ProcessedModelFiles/TBepi3256,375,680,550
../ProcessedModelFiles/TBepi3475,286,659,531
../ProcessedModelFiles/TBepi4163,322,634,498
../ProcessedModelFiles/TBepi4208,296,636,510
../ProcessedModelFiles/TBhypo2152,249,580,451
../ProcessedModelFiles/TBhypo3180,328,659,568
../ProcessedModelFiles/TBhypo3219,297,625,513
../ProcessedModelFiles/TBhypo3463,341,686,575
../ProcessedModelFiles/TBhypo3765,322,652,532
../ProcessedModelFiles/TBhypo3838,110,419,279
../ProcessedModelFiles/TBhypo680,318,617,517
../ProcessedModelFiles/TBhypo9906,195,549,405
