Model,Nodes,Edges,Total Components,Size of Largest
AAA023D18,320,660,99,152
AAA023J06,198,361,124,46
AAA024D14,414,967,147,242
AAA027E14,229,477,96,42
AAA027J17,379,850,110,235
AAA027L06,441,1029,132,273
AAA027L17,225,468,70,71
AAA027M14,321,736,82,180
AAA028A23,375,857,110,216
AAA028E20,293,639,72,189
AAA028G02,556,1162,192,300
AAA028I14,456,969,188,230
AAA028K15,170,333,81,31
AAA028P02,431,1026,106,162
AAA041L13,544,1134,211,239
AAA044D11,591,1267,212,340
AAA044N04,565,1233,192,320
AAA044O16,454,999,137,283
AAA278I18,462,1109,151,291
AAA278O22,546,1144,193,288
AB141P03,209,444,67,119
acIB-AMD-6,274,632,88,177
acIB-AMD-7,331,770,93,212
acMicro-1,413,891,145,222
acMicro-4,452,1009,141,276
BIN_10,462,1031,151,274
BIN_15,581,1255,206,321
bin_29_2_acIII,721,1640,215,438
bin_7_acI-B2,512,1088,188,257
MEint10152,583,1357,174,342
MEint1091,562,1243,188,319
MEint11576,430,920,143,234
MEint1363,370,808,115,228
MEint14260,513,1099,173,280
MEint1719,585,1283,197,316
MEint1953,574,1348,153,364
MEint2297,572,1273,178,336
MEint2538,498,1100,183,134
MEint2729,563,1221,191,308
MEint283,362,794,109,152
MEint3119,499,1004,185,233
MEint3163,547,1178,188,305
MEint3864,305,666,85,194
MEint4252,559,1200,184,310
MEint885,345,770,106,222
Rhodoluna,660,1526,195,397
TBepi149,242,531,58,165
TBepi2057,539,1121,203,279
TBepi2754,563,1248,193,322
TBepi2973,535,1147,172,259
TBepi3207,408,938,94,279
TBepi3256,456,992,131,257
TBepi3475,522,1094,188,280
TBepi4163,348,779,102,189
TBepi4208,509,1074,181,275
TBhypo2152,491,1061,190,257
TBhypo3180,549,1174,182,263
TBhypo3219,505,1095,169,274
TBhypo3463,581,1303,192,340
TBhypo3765,548,1143,217,196
TBhypo3838,342,754,151,111
TBhypo680,507,1133,159,301
TBhypo9906,490,1086,160,319
