Model,Nodes,Edges,Total Components,Size of Largest
AAA023D18,519,1283,1,519
AAA023J06,493,1321,1,493
AAA024D14,529,1437,1,529
AAA027D23,504,1457,1,504
AAA027J17,590,1632,1,590
AAA027L06,640,1900,1,640
AAA027M14,511,1389,1,511
AAA028A23,556,1490,1,556
AAA028I14,559,1355,1,559
AAA028N15,568,1567,1,568
AAA041L13,700,2220,1,700
AAA044D11,680,1987,1,680
AAA044N04,737,2286,1,737
AAA278I18,621,1733,1,621
AAA278O22,711,2162,1,711
AB141P03,462,1125,1,462
MEintmetabat10152,810,2533,1,810
MEintmetabat1091,703,2188,1,703
MEintmetabat11576,592,1571,1,592
MEintmetabat1363,557,1615,1,557
MEintmetabat14260,636,1792,1,636
MEintmetabat1719,719,2253,1,719
MEintmetabat1953,695,2125,1,695
MEintmetabat2297,735,2284,1,735
MEintmetabat2538,688,2078,1,688
MEintmetabat2729,708,2118,1,708
MEintmetabat283,491,1301,1,491
MEintmetabat3119,646,1837,1,646
MEintmetabat3163,675,2052,1,675
MEintmetabat3864,557,1543,1,557
MEintmetabat4252,687,1976,1,687
MEintmetabat6647,602,1684,1,602
MEintmetabat885,515,1381,1,515
TBepimetabat149,515,1358,1,515
TBepimetabat2057,628,1954,1,628
TBepimetabat2754,689,2196,1,689
TBepimetabat2973,628,1865,1,628
TBepimetabat3207,723,2111,1,723
TBepimetabat3256,674,1947,1,674
TBepimetabat3475,672,1995,1,672
TBepimetabat4163,555,1634,1,555
TBepimetabat4208,666,1955,1,666
TBhypometabat2152,526,1465,1,526
TBhypometabat3180,674,2068,1,674
TBhypometabat3219,654,1922,1,654
TBhypometabat3463,716,2135,1,716
TBhypometabat3765,661,2051,1,661
TBhypometabat3815,810,2303,1,810
TBhypometabat3838,377,1000,1,377
TBhypometabat680,657,2023,1,657
TBhypometabat9906,511,1300,1,511
