,AAA023D18,AAA023J06,AAA024D14,AAA027D23,AAA027E14,AAA027F04,AAA027J17,AAA027L06,AAA027L17,AAA027M14,AAA028A23,AAA028C09,AAA028E20,AAA028G02,AAA028I14,AAA028K15,AAA028N15,AAA028P02,AAA041L13,AAA044D11,AAA044N04,AAA044O16,AAA278I18,AAA278O22,AB141P03,MEint10152,MEint1091,MEint11576,MEint1363,MEint14260,MEint1719,MEint1953,MEint2297,MEint2538,MEint2729,MEint283,MEint3119,MEint3163,MEint3864,MEint4252,MEint6647,MEint885,TBepi149,TBepi2057,TBepi2754,TBepi2973,TBepi3207,TBepi3256,TBepi3475,TBepi4163,TBepi4208,TBhypo2152,TBhypo3180,TBhypo3219,TBhypo3463,TBhypo3765,TBhypo3815,TBhypo3838,TBhypo680,TBhypo9906
COG0001,0,1,2,0,3,0,2,2,1,2,2,0,1,2,1,1,1,2,2,2,2,2,1,2,2,0,3,1,0,3,2,1,1,1,1,1,0,2,1,1,0,0,0,1,2,1,3,2,1,1,1,2,2,1,2,3,4,0,3,3
COG0002,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,2,1,0,1,1,1,1,0,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
COG0003,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,2,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0
COG0004,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,2,2,2,1,1,1,0,2,1,0,2,1,0,1,1,2,1,1,2,1,1,0,1,0,1,1,0,2,2,1,0,1,0,1,0,2,0,2,1,2,0
COG0005,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,3,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,1,1,2,1,1,0,1,0,2,0,1,1,1,0,0,1,1,1
COG0006,2,1,2,2,2,0,0,1,1,0,1,0,2,1,1,1,1,0,3,1,3,1,1,1,1,2,2,3,0,2,1,2,0,0,2,1,0,3,1,0,2,0,2,1,2,0,1,1,0,0,1,0,1,2,2,0,1,1,2,0
COG0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COG0008,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,2,0,2,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1
COG0009,1,1,2,0,0,1,2,1,1,2,1,0,2,2,1,0,2,1,1,2,2,2,2,2,0,1,1,1,2,0,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,0,1,0,0,1,0
COG0010,1,2,1,4,0,0,1,2,0,0,1,0,0,1,0,0,3,1,1,0,1,2,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,2,2,0,2,3,2,0,1,1,1,0,3,3,2,0,3,1,1,2
