'ID,Lineage,Clade,Tribe,Color
AAA023D18,acI,acI-B,acI-B1,g
AAA023J06,acI,acI-A,acI-A7,b
AAA024D14,acI,acI-A,acI-A7,b
AAA027E14,acIV,acIV-A,Iluma-A2,c
AAA027J17,acI,acI-B,acI-B1,g
AAA027L06,acI,acI-B,acI-B1,g
AAA027L17,acIV,acIV-B,Iluma-B1,c
AAA027M14,acI,acI-A,acI-A1,b
AAA028A23,acI,acI-B,acI-B1,g
AAA028E20,acI,acI-A,acI-A6,b
AAA028G02,acI,acI-A,acI-A5,b
AAA028I14,acI,acI-A,acI-A6,b
AAA028P02,Luna1,Luna1-A,Luna1-A2,b
AAA041L13,acI,acI-A,acI-A7,b
AAA044D11,acI,acI-B,acI-B4,g
AAA044N04,acI,acI-A,acI-A7,b
AAA044O16,acI,acI-A,acI-A5,b
AAA278I18,acI,acI-B,acI-B1,g
AAA278O22,acI,acI-A,acI-A1,b
AB141P03,acI,acI-B,acI-B1,g
MEintmetabat10152,acTH2,acTH2-A,Myco,y
MEintmetabat1091,acIV,Unknown,Unknown,c
MEintmetabat11576,acIV,Unknown,Unknown,c
MEintmetabat1363,acI,acI-A,Unknown,b
MEintmetabat14260,acIV,Unknown,Unknown,c
MEintmetabat1719,acIV,Unknown,Unknown,c
MEintmetabat1953,acIV,Unknown,Unknown,c
MEintmetabat2297,acI,acI-A,Unknown,b
MEintmetabat2538,Unknown,Unknown,Unknown,0.5
MEintmetabat2729,acIV,Unknown,Unknown,c
MEintmetabat283,acI,acI-B,acI-B1,g
MEintmetabat3119,Unknown,Unknown,Unknown,0.5
MEintmetabat3163,acIV,Unknown,Unknown,c
MEintmetabat3864,acI,acI-C,Unknown,r
MEintmetabat4252,acI,acI-B,Unknown,g
MEintmetabat885,acI,acI-C,Unknown,r
TBepimetabat149,acV,Unknown,Unknown,m
TBepimetabat2057v2,acI,acI-B,Unknown,g
TBepimetabat2754,acI,acI-B,Unknown,g
TBepimetabat2973,acV,Unknown,Unknown,m
TBepimetabat3207,acI,acI-B,Unknown,g
TBepimetabat3256,acV,Unknown,Unknown,m
TBepimetabat3475,acI,acI-B,Unknown,g
TBepimetabat4163,acV,Unknown,Unknown,m
TBepimetabat4208,acI,acI-B,Unknown,g
TBhypometabat2152,acI,acI-B,Unknown,g
TBhypometabat3180,acV,Unknown,Unknown,m
TBhypometabat3219,acV,Unknown,Unknown,m
TBhypometabat3463,acI,acI-B,Unknown,g
TBhypometabat3765v2,acV,Unknown,Unknown,m
TBhypometabat3815,Unknown,Unknown,Unknown,0.5
TBhypometabat3838v2,acI,acI-B,Unknown,g
TBhypometabat680,acI,acI-B,Unknown,g
TBhypometabat9906,acV,Unknown,Unknown,m
