Sample,Lineage,Clade,Tribe
AAA023D18,acI,acI-B,acI-B1
AAA023J06,acI,acI-A,acI-A7
AAA024D14,acI,acI-A,acI-A7
AAA027D23,acSTL,acSTL-A,acSTL-A1
AAA027E14,acIV,acIV-A,Iluma-A2
AAA027F04,acTH1,acTH1-A,acTH1-A1
AAA027J17,acI,acI-B,acI-B1
AAA027L06,acI,acI-B,acI-B1
AAA027L17,acIV,acIV-B,Iluma-B1
AAA027M14,acI,acI-A,acI-A1
AAA028A23,acI,acI-B,acI-B1
AAA028C09,Luna1,Luna1-A,Luna1-A4
AAA028E20,acI,acI-A,acI-A6
AAA028G02,acI,acI-A,acI-A5
AAA028I14,acI,acI-A,acI-A6
AAA028N15,acTH1,acTH1-A,acTH1-A1
AAA028P02,Luna1,Luna1-A,Luna1-A2
AAA041L13,acI,acI-A,acI-A7
AAA044D11,acI,acI-B,acI-B4
AAA044N04,acI,acI-A,acI-A7
AAA044O16,acI,acI-A,acI-A5
AAA278I18,acI,acI-B,acI-B1
AAA278O22,acI,acI-A,acI-A1
AB141P03,acI,acI-B,acI-B1
