'ID,Lineage,Clade,Tribe,Color
AAA023D18,acI,acI-B,acI-B1,g
AAA023J06,acI,acI-A,acI-A7,b
AAA024D14,acI,acI-A,acI-A7,b
AAA027E14,acIV,acIV-A,Iluma-A2,c
AAA027J17,acI,acI-B,acI-B1,g
AAA027L06,acI,acI-B,acI-B1,g
AAA027L17,acIV,acIV-B,Iluma-B1,c
AAA027M14,acI,acI-A,acI-A1,b
AAA028A23,acI,acI-B,acI-B1,g
AAA028E20,acI,acI-A,acI-A6,b
AAA028G02,acI,acI-A,acI-A5,b
AAA028I14,acI,acI-A,acI-A6,b
AAA028K15,acIV,acIV-B,Iluma-B2,c
AAA028P02,Luna1,Luna1-A,Luna1-A2,0.75
AAA041L13,acI,acI-A,acI-A7,b
AAA044D11,acI,acI-B,acI-B4,g
AAA044N04,acI,acI-A,acI-A7,b
AAA044O16,acI,acI-A,acI-A5,b
AAA278I18,acI,acI-B,acI-B1,g
AAA278O22,acI,acI-A,acI-A1,b
AB141P03,acI,acI-B,acI-B1,g
acIB-AMD-6,acI,acI-B,acI-B1,g
acIB-AMD-7,acI,acI-B,acI-B1,g
bin_7_acI-B2,acI,acI-B,acI-B2,g
MEint10152,acTH2,acTH2-A,Myco,0.25
MEint1719,acIV,acIV-B,Iluma-B1,c
MEint2538,Luna1,Luna1-A,Luna1-A2,0.75
MEint2729,acIV,acIV-B,Iluma-B2,c
MEint283,acI,acI-B,acI-B1,g
MEint4252,acI,acI-B,acI-B4,g
Rhodoluna,Luna1,Luna1-A,Luna1-A2,0.75
