cpd02065_c,group00827,0.0
cpd15675_c,group00574,0.0
cpd15675_c,group00765,0.0
cpd11514_c,group00606,0.0
cpd11514_c,group04918,0.0
cpd11514_c,group03282,0.0
cpd11438_c,group02002,0.0
cpd11438_c,group00025,0.0114298888498
cpd11471_c,group00606,0.0
cpd11471_c,group04918,0.0
cpd11471_c,group03282,0.0
cpd00268_c,group00432,0.0175207608829
cpd00268_c,group00033,0.0
cpd02135_c,group03046,0.0
cpd11825_c,group00574,0.0
cpd11825_c,group00765,0.0
cpd11543_c,group00606,0.0
cpd11543_c,group04918,0.0
cpd11543_c,group03282,0.0
cpd15673_c,group00574,0.0
cpd15673_c,group00765,0.0
cpd00355_c,group01791,0.0
cpd03451_c,group00758,0.0
cpd11539_c,group00606,0.0
cpd11539_c,group04918,0.0
cpd11539_c,group03282,0.0
cpd11556_c,group00606,0.0
cpd11556_c,group04918,0.0
cpd11556_c,group03282,0.0
cpd15674_c,group00574,0.0
cpd15674_c,group00765,0.0
cpd11568_c,group00606,0.0
cpd11568_c,group04918,0.0
cpd11568_c,group03282,0.0
cpd00179_c,group00539,0.0
cpd00179_c,group01393,0.0
cpd00179_c,group01565,0.0
cpd11473_c,group00606,0.0
cpd11473_c,group04918,0.0
cpd11473_c,group03282,0.0
cpd00822_c,group00033,0.0
cpd11523_c,group00606,0.0
cpd11523_c,group04918,0.0
cpd11523_c,group03282,0.0
cpd15671_c,group00574,0.0
cpd15671_c,group00765,0.0
cpd04122_c,group00810,0.0
cpd04122_c,group00005,0.0
cpd04122_c,group02453,0.0
cpd03706_c,group00338,0.0
cpd15294_c,group00574,0.0
cpd15294_c,group00765,0.0
cpd11431_c,group02002,0.0
cpd11431_c,group00025,0.0114298888498
cpd15345_c,group02275,0.0
cpd15338_c,group02275,0.0
cpd02507_c,group00013,0.0
cpd00616_c,group00588,0.0
cpd15362_c,group02275,0.0
cpd11572_c,group00606,0.0
cpd11572_c,group04918,0.0
cpd11572_c,group03282,0.0
cpd15676_c,group00574,0.0
cpd15676_c,group00765,0.0
cpd03487_c,group00693,0.0159633599155
cpd03487_c,group00790,0.0991865668392
cpd11548_c,group00606,0.0
cpd11548_c,group04918,0.0
cpd11548_c,group03282,0.0
cpd11477_c,group00606,0.0
cpd11477_c,group04918,0.0
cpd11477_c,group03282,0.0
cpd02724_c,group00575,0.0
cpd00158_c,group01024,0.0
cpd00307_c,group01594,0.0
cpd00152_c,group01823,0.0
cpd11535_c,group00606,0.0
cpd11535_c,group04918,0.0
cpd11535_c,group03282,0.0
cpd11552_c,group00606,0.0
cpd11552_c,group04918,0.0
cpd11552_c,group03282,0.0
cpd03560_c,group00069,0.083302774258
cpd15277_c,group00574,0.0
cpd15277_c,group00765,0.0
cpd11436_c,group02002,0.0
cpd11436_c,group00025,0.0114298888498
cpd02197_c,group00730,0.0
cpd00378_c,group01225,0.0
cpd11527_c,group00606,0.0
cpd11527_c,group04918,0.0
cpd11527_c,group03282,0.0
cpd00507_c,group00228,0.0
cpd00507_c,group03899,0.0
cpd11560_c,group00606,0.0
cpd11560_c,group04918,0.0
cpd11560_c,group03282,0.0
cpd11583_c,group00108,0.0
cpd11583_c,group00018,0.0
cpd11583_c,group00328,0.0
cpd11440_c,group02002,0.0
cpd11440_c,group00025,0.0114298888498
cpd00478_c,group00504,0.0
cpd02828_c,group00005,0.0
cpd02828_c,group06566,0.0
cpd03444_c,group01449,0.0
cpd11465_c,group00606,0.0
cpd11465_c,group04918,0.0
cpd11465_c,group03282,0.0
cpd15239_c,group00574,0.0
cpd15239_c,group00765,0.0
cpd00251_c,group01129,0.0
cpd00251_c,group11873,0.0
cpd11475_c,group00606,0.0
cpd11475_c,group04918,0.0
cpd11475_c,group03282,0.0
cpd00382_c,group05611,0.0
cpd11502_c,group00606,0.0
cpd11502_c,group04918,0.0
cpd11502_c,group03282,0.0
cpd11588_c,group00108,0.0
cpd11588_c,group00018,0.0
cpd11588_c,group00328,0.0
cpd11430_c,group02002,0.0
cpd11430_c,group00025,0.0114298888498
cpd11510_c,group00606,0.0
cpd11510_c,group04918,0.0
cpd11510_c,group03282,0.0
cpd01587_c,group01594,0.0
cpd11498_c,group00606,0.0
cpd11498_c,group04918,0.0
cpd11498_c,group03282,0.0
cpd11467_c,group00606,0.0
cpd11467_c,group04918,0.0
cpd11467_c,group03282,0.0
cpd11564_c,group00606,0.0
cpd11564_c,group04918,0.0
cpd11564_c,group03282,0.0
cpd11433_c,group02002,0.0
cpd11433_c,group00025,0.0114298888498
cpd15268_c,group00574,0.0
cpd15268_c,group00765,0.0
cpd00434_c,group00810,0.0
cpd00434_c,group00275,0.0
cpd00434_c,group00005,0.0
cpd00434_c,group02453,0.0
cpd11531_c,group00606,0.0
cpd11531_c,group04918,0.0
cpd11531_c,group03282,0.0
cpd11506_c,group00606,0.0
cpd11506_c,group04918,0.0
cpd11506_c,group03282,0.0
cpd03052_c,group00810,0.0
cpd03052_c,group00005,0.0
cpd03052_c,group02453,0.0
cpd11469_c,group00606,0.0
cpd11469_c,group04918,0.0
cpd11469_c,group03282,0.0
cpd00956_c,group00320,0.0
cpd00142_c,group02002,0.0
cpd00142_c,group00025,0.0114298888498
cpd11518_c,group00606,0.0
cpd11518_c,group04918,0.0
cpd11518_c,group03282,0.0
cpd00042_c,group01210,0.0
cpd15672_c,group00574,0.0
cpd15672_c,group00765,0.0
cpd00493_c,group00504,0.0
cpd15330_c,group00574,0.0
cpd15330_c,group02275,0.0
cpd15330_c,group00765,0.0
