cpd02065_c,group00827,0.0
cpd11514_c,group00606,0.0
cpd11523_c,group00606,0.0
cpd00307_c,group01594,0.0
cpd00504_c,group00188,0.0
cpd11539_c,group00606,0.0
cpd11473_c,group00606,0.0
cpd01150_c,group01604,0.0
cpd15671_c,group00574,0.510664625869
cpd15671_c,group08428,0.0
cpd15671_c,group00912,0.0
cpd15671_c,group13898,0.0
cpd15671_c,group00765,0.319560642427
cpd15328_c,group00574,0.510664625869
cpd15328_c,group08428,0.0
cpd15328_c,group00912,0.0
cpd15328_c,group13898,0.0
cpd15328_c,group00765,0.319560642427
cpd15294_c,group00574,0.510664625869
cpd15294_c,group08428,0.0
cpd15294_c,group00912,0.0
cpd15294_c,group13898,0.0
cpd15294_c,group00765,0.319560642427
cpd15331_c,group00574,0.510664625869
cpd15331_c,group08428,0.0
cpd15331_c,group00912,0.0
cpd15331_c,group13898,0.0
cpd15331_c,group00765,0.319560642427
cpd11506_c,group00606,0.0
cpd11477_c,group00606,0.0
cpd00183_c,group13646,0.0840623740233
cpd00183_c,group01107,0.0
cpd00183_c,group03110,0.185595362434
cpd11471_c,group00606,0.0
cpd11825_c,group00574,0.510664625869
cpd11825_c,group08428,0.0
cpd11825_c,group00912,0.0
cpd11825_c,group13898,0.0
cpd11825_c,group00765,0.319560642427
cpd00378_c,group01225,0.0
cpd00507_c,group00228,0.0
cpd00507_c,group03790,0.0
cpd00214_c,group01195,0.0303917813776
cpd00214_c,group02773,0.0632149052655
cpd00214_c,group00025,0.167699976071
cpd11475_c,group00606,0.0
cpd11502_c,group00606,0.0
cpd11430_c,group01195,0.0303917813776
cpd11430_c,group02773,0.0632149052655
cpd11430_c,group00025,0.167699976071
cpd11433_c,group01195,0.0303917813776
cpd11433_c,group02773,0.0632149052655
cpd11433_c,group00025,0.167699976071
cpd15327_c,group00574,0.510664625869
cpd15327_c,group08428,0.0
cpd15327_c,group00912,0.0
cpd15327_c,group13898,0.0
cpd15327_c,group00765,0.319560642427
cpd03734_c,group01604,0.0
cpd00956_c,group00320,0.0
cpd01298_c,group02381,0.0
cpd15269_c,group01195,0.0303917813776
cpd15269_c,group02773,0.0632149052655
cpd15269_c,group00025,0.167699976071
cpd03847_c,group01195,0.0303917813776
cpd03847_c,group02773,0.0632149052655
cpd03847_c,group00025,0.167699976071
cpd15675_c,group00574,0.510664625869
cpd15675_c,group08428,0.0
cpd15675_c,group00912,0.0
cpd15675_c,group13898,0.0
cpd15675_c,group00765,0.319560642427
cpd02760_c,group02997,0.0
cpd01133_c,group01201,0.0
cpd15673_c,group00574,0.510664625869
cpd15673_c,group08428,0.0
cpd15673_c,group00912,0.0
cpd15673_c,group13898,0.0
cpd15673_c,group00765,0.319560642427
cpd03200_c,group01201,0.0
cpd00653_c,group01385,0.0
cpd00179_c,group00539,0.0
cpd00179_c,group01393,0.0
cpd00179_c,group01565,0.0
cpd15237_c,group01195,0.0303917813776
cpd15237_c,group02773,0.0632149052655
cpd15237_c,group00025,0.167699976071
cpd04122_c,group02453,0.0503303385872
cpd04122_c,group00823,0.0828866764845
cpd04122_c,group00005,0.115778214772
cpd04122_c,group01215,0.0
cpd04122_c,group12620,0.0814625067855
cpd04122_c,group12137,0.0
cpd04122_c,group00810,0.0159633599155
cpd04122_c,group12148,0.0
cpd15672_c,group00574,0.510664625869
cpd15672_c,group08428,0.0
cpd15672_c,group00912,0.0
cpd15672_c,group13898,0.0
cpd15672_c,group00765,0.319560642427
cpd00609_c,group02398,0.0
cpd00908_c,group00228,0.0
cpd00908_c,group03790,0.0
cpd00158_c,group01024,0.0
cpd00158_c,group01957,0.0
cpd12115_c,group03770,0.0
cpd11467_c,group00606,0.0
cpd11568_c,group00606,0.0
cpd00616_c,group04190,0.0
cpd00616_c,group00588,0.0
cpd11431_c,group01195,0.0303917813776
cpd11431_c,group02773,0.0632149052655
cpd11431_c,group00025,0.167699976071
cpd11583_c,group00018,0.0
cpd11583_c,group00328,0.145790833177
cpd11583_c,group01974,0.0
cpd11583_c,group01444,0.125426399336
cpd11583_c,group12641,0.0877984795354
cpd11583_c,group05282,0.0
cpd11583_c,group00108,0.231499897213
cpd11440_c,group01195,0.0303917813776
cpd11440_c,group02773,0.0632149052655
cpd11440_c,group00025,0.167699976071
cpd00434_c,group12148,0.0
cpd00434_c,group02453,0.0503303385872
cpd00434_c,group00823,0.0828866764845
cpd00434_c,group00005,0.115778214772
cpd00434_c,group01215,0.0
cpd00434_c,group03558,1.75596959071
cpd00434_c,group12137,0.0
cpd00434_c,group00810,0.0159633599155
cpd00434_c,group12620,0.0814625067855
cpd00434_c,group00275,8.32810473934
cpd00654_c,group00662,0.0576778332715
cpd00654_c,group12126,0.0
cpd15239_c,group00574,0.510664625869
cpd15239_c,group08428,0.0
cpd15239_c,group00912,0.0
cpd15239_c,group13898,0.0
cpd15239_c,group00765,0.319560642427
cpd00516_c,group00188,0.0
cpd00516_c,group08448,0.0
cpd00516_c,group04798,0.0
cpd00516_c,group12650,0.0360815669324
cpd00516_c,group00091,0.0
cpd00516_c,group00062,0.0
cpd02484_c,group00247,0.0
cpd02182_c,group00299,0.0
cpd11510_c,group00606,0.0
cpd01587_c,group01594,0.0
cpd03451_c,group00758,0.0
cpd03451_c,group00959,0.064242789904
cpd11518_c,group00606,0.0
cpd11588_c,group00018,0.0
cpd11588_c,group00328,0.145790833177
cpd11588_c,group01974,0.0
cpd11588_c,group01444,0.125426399336
cpd11588_c,group12641,0.0877984795354
cpd11588_c,group05282,0.0
cpd11588_c,group00108,0.231499897213
cpd00608_c,group01756,0.0
cpd15330_c,group00574,0.510664625869
cpd15330_c,group08428,0.0
cpd15330_c,group00912,0.0
cpd15330_c,group13898,0.0
cpd15330_c,group00765,0.319560642427
cpd11527_c,group00606,0.0
cpd00268_c,group00432,0.0659710282224
cpd00268_c,group01454,0.0
cpd00268_c,group13969,0.0
cpd00268_c,group00816,0.0798167995777
cpd00268_c,group00033,0.373188609114
cpd00268_c,group02086,0.0
cpd00427_c,group01285,0.66851634164
cpd00427_c,group06809,0.178237514846
cpd11498_c,group00606,0.0
cpd11556_c,group00606,0.0
cpd15674_c,group00574,0.510664625869
cpd15674_c,group08428,0.0
cpd15674_c,group00912,0.0
cpd15674_c,group13898,0.0
cpd15674_c,group00765,0.319560642427
cpd02230_c,group00247,0.0
cpd11572_c,group00606,0.0
cpd15676_c,group00574,0.510664625869
cpd15676_c,group08428,0.0
cpd15676_c,group00912,0.0
cpd15676_c,group13898,0.0
cpd15676_c,group00765,0.319560642427
cpd02724_c,group00575,0.826656453472
cpd00340_c,group01763,0.332543339323
cpd00340_c,group13850,0.0
cpd00340_c,group01434,0.185441377898
cpd00340_c,group07368,0.0
cpd00085_c,group00231,0.0
cpd11560_c,group00606,0.0
cpd03052_c,group02453,0.0503303385872
cpd03052_c,group00823,0.0828866764845
cpd03052_c,group00005,0.115778214772
cpd03052_c,group01215,0.0
cpd03052_c,group12620,0.0814625067855
cpd03052_c,group12137,0.0
cpd03052_c,group00810,0.0159633599155
cpd03052_c,group12148,0.0
cpd03698_c,group02997,0.0
cpd11465_c,group00606,0.0
cpd03560_c,group05224,0.0
cpd03560_c,group00069,0.279547045691
cpd02507_c,group00013,0.0
cpd11564_c,group00606,0.0
cpd15268_c,group00574,0.510664625869
cpd15268_c,group08428,0.0
cpd15268_c,group00912,0.0
cpd15268_c,group13898,0.0
cpd15268_c,group00765,0.319560642427
cpd00938_c,group13837,136.291335752
cpd00142_c,group01195,0.0303917813776
cpd00142_c,group02773,0.0632149052655
cpd00142_c,group00025,0.167699976071
cpd11438_c,group01195,0.0303917813776
cpd11438_c,group02773,0.0632149052655
cpd11438_c,group00025,0.167699976071
cpd01080_c,group01195,0.0303917813776
cpd01080_c,group02773,0.0632149052655
cpd01080_c,group00025,0.167699976071
cpd11543_c,group00606,0.0
cpd01747_c,group01604,0.0
cpd15325_c,group00574,0.510664625869
cpd15325_c,group08428,0.0
cpd15325_c,group00912,0.0
cpd15325_c,group13898,0.0
cpd15325_c,group00765,0.319560642427
cpd03706_c,group00338,0.0
cpd00403_c,group04513,0.0
cpd08316_c,group02603,0.0
cpd15329_c,group00574,0.510664625869
cpd15329_c,group08428,0.0
cpd15329_c,group00912,0.0
cpd15329_c,group13898,0.0
cpd15329_c,group00765,0.319560642427
cpd03487_c,group05397,0.0
cpd03487_c,group00693,0.915204438458
cpd03487_c,group00790,21.870637988
cpd11535_c,group00606,0.0
cpd15277_c,group00574,0.510664625869
cpd15277_c,group08428,0.0
cpd15277_c,group00912,0.0
cpd15277_c,group13898,0.0
cpd15277_c,group00765,0.319560642427
cpd11436_c,group01195,0.0303917813776
cpd11436_c,group02773,0.0632149052655
cpd11436_c,group00025,0.167699976071
cpd11640_c,group13926,0.0
cpd11640_c,group01637,0.0
cpd02197_c,group07331,0.0
cpd02197_c,group00730,0.0
cpd11552_c,group00606,0.0
cpd00478_c,group00504,0.0856828535225
cpd00170_c,group01221,0.0
cpd11548_c,group00606,0.0
cpd15326_c,group00574,0.510664625869
cpd15326_c,group08428,0.0
cpd15326_c,group00912,0.0
cpd15326_c,group13898,0.0
cpd15326_c,group00765,0.319560642427
cpd00493_c,group00504,0.0856828535225
cpd00567_c,group02253,0.264980793783
cpd01973_c,group01604,0.0
cpd11531_c,group00606,0.0
cpd02090_c,group00228,0.0
cpd02090_c,group03790,0.0
cpd11469_c,group00606,0.0
