cpd02065_c,group00827,1.32946038917
cpd15675_c,group00765,3.45340686173
cpd15675_c,group00912,0.53948463329
cpd15675_c,group12173,0.730063443963
cpd15675_c,group00574,4.94644189824
cpd11438_c,group12582,8.10980692551
cpd11438_c,group00025,12.7808659136
cpd01080_c,group12582,8.10980692551
cpd01080_c,group00025,12.7808659136
cpd00242_c,group00063,0.89455054621
cpd00242_c,group00048,0.268968663158
cpd00616_c,group00588,1.63342400973
cpd00504_c,group00188,0.0881248679352
cpd01133_c,group01201,1.7139252484
cpd15673_c,group00765,3.45340686173
cpd15673_c,group00912,0.53948463329
cpd15673_c,group12173,0.730063443963
cpd15673_c,group00574,4.94644189824
cpd00355_c,group04814,1.35257117122
cpd00355_c,group01791,2.33053958092
cpd00507_c,group00228,0.0331083651879
cpd03200_c,group01201,1.7139252484
cpd15674_c,group00765,3.45340686173
cpd15674_c,group00912,0.53948463329
cpd15674_c,group12173,0.730063443963
cpd15674_c,group00574,4.94644189824
cpd00085_c,group00231,0.0
cpd15325_c,group00765,3.45340686173
cpd15325_c,group00912,0.53948463329
cpd15325_c,group12173,0.730063443963
cpd15325_c,group00574,4.94644189824
cpd00179_c,group00539,1.70449481841
cpd00179_c,group01393,0.0
cpd00179_c,group01565,0.0252724834484
cpd00822_c,group00033,0.0531515459071
cpd15671_c,group00765,3.45340686173
cpd15671_c,group00912,0.53948463329
cpd15671_c,group12173,0.730063443963
cpd15671_c,group00574,4.94644189824
cpd15328_c,group00765,3.45340686173
cpd15328_c,group00912,0.53948463329
cpd15328_c,group12173,0.730063443963
cpd15328_c,group00574,4.94644189824
cpd15237_c,group12582,8.10980692551
cpd15237_c,group00025,12.7808659136
cpd04122_c,group00823,2.85031492492
cpd04122_c,group00810,4.15047357804
cpd04122_c,group00005,3.0063221579
cpd03706_c,group00338,2.03994686873
cpd15294_c,group00765,3.45340686173
cpd15294_c,group00912,0.53948463329
cpd15294_c,group12173,0.730063443963
cpd15294_c,group00574,4.94644189824
cpd15331_c,group00765,3.45340686173
cpd15331_c,group00912,0.53948463329
cpd15331_c,group12173,0.730063443963
cpd15331_c,group00574,4.94644189824
cpd15329_c,group00765,3.45340686173
cpd15329_c,group00912,0.53948463329
cpd15329_c,group12173,0.730063443963
cpd15329_c,group00574,4.94644189824
cpd00908_c,group00228,0.0331083651879
cpd00268_c,group00432,0.637247028886
cpd00268_c,group12588,0.0
cpd00268_c,group00033,0.0531515459071
cpd00239_c,group00432,0.637247028886
cpd00239_c,group12588,0.0
cpd00239_c,group00033,0.0531515459071
cpd00206_c,group04814,1.35257117122
cpd00206_c,group01791,2.33053958092
cpd15676_c,group00765,3.45340686173
cpd15676_c,group00912,0.53948463329
cpd15676_c,group12173,0.730063443963
cpd15676_c,group00574,4.94644189824
cpd03487_c,group05397,1.09748099419
cpd03487_c,group00693,2.80795137284
cpd03487_c,group00790,30.1165350557
cpd02724_c,group00575,1.86222252773
cpd00158_c,group01024,0.127449405777
cpd15277_c,group00765,3.45340686173
cpd15277_c,group00912,0.53948463329
cpd15277_c,group12173,0.730063443963
cpd15277_c,group00574,4.94644189824
cpd11436_c,group12582,8.10980692551
cpd11436_c,group00025,12.7808659136
cpd02197_c,group00730,0.672498992186
cpd11431_c,group12582,8.10980692551
cpd11431_c,group00025,12.7808659136
cpd11466_c,group00765,3.45340686173
cpd11466_c,group00912,0.53948463329
cpd11466_c,group12173,0.730063443963
cpd11466_c,group00574,4.94644189824
cpd00214_c,group12582,8.10980692551
cpd00214_c,group00025,12.7808659136
cpd11583_c,group00108,3.40115572257
cpd11583_c,group00018,1.13810789644
cpd11583_c,group00328,1.72033183149
cpd11583_c,group04828,3.48913438154
cpd00982_c,group00112,2.19704252108
cpd00982_c,group00524,3.11096974732
cpd11440_c,group12582,8.10980692551
cpd11440_c,group00025,12.7808659136
cpd00434_c,group00823,2.85031492492
cpd00434_c,group00810,4.15047357804
cpd00434_c,group00275,17.4629532997
cpd00434_c,group00005,3.0063221579
cpd00493_c,group00504,0.0340597549922
cpd00493_c,group01281,0.048182092428
cpd00493_c,group12337,0.10397188366
cpd00810_c,group00893,0.549694828396
cpd11912_c,group00186,1.71500883961
cpd15239_c,group00765,3.45340686173
cpd15239_c,group00912,0.53948463329
cpd15239_c,group12173,0.730063443963
cpd15239_c,group00574,4.94644189824
cpd00516_c,group00188,0.0881248679352
cpd00516_c,group00091,1.82086411906
cpd00516_c,group00062,0.573647358116
cpd03847_c,group12582,8.10980692551
cpd03847_c,group00025,12.7808659136
