cpd02065_c,group00827,0.0362748117438
cpd11514_c,group00606,0.0
cpd11514_c,group04918,0.0
cpd11523_c,group00606,0.0
cpd11523_c,group04918,0.0
cpd00307_c,group01594,0.0
cpd00504_c,group00188,0.741691126761
cpd11539_c,group00606,0.0
cpd11539_c,group04918,0.0
cpd11473_c,group00606,0.0
cpd11473_c,group04918,0.0
cpd01150_c,group01604,0.0
cpd15671_c,group13898,0.0
cpd15671_c,group00574,0.452295197607
cpd15671_c,group00765,0.0276934456479
cpd15671_c,group08428,0.0
cpd15671_c,group12173,0.8159532609
cpd15671_c,group00912,0.153533610587
cpd15328_c,group13898,0.0
cpd15328_c,group00574,0.452295197607
cpd15328_c,group00765,0.0276934456479
cpd15328_c,group08428,0.0
cpd15328_c,group12173,0.8159532609
cpd15328_c,group00912,0.153533610587
cpd15294_c,group13898,0.0
cpd15294_c,group00574,0.452295197607
cpd15294_c,group00765,0.0276934456479
cpd15294_c,group08428,0.0
cpd15294_c,group12173,0.8159532609
cpd15294_c,group00912,0.153533610587
cpd15331_c,group13898,0.0
cpd15331_c,group00574,0.452295197607
cpd15331_c,group00765,0.0276934456479
cpd15331_c,group08428,0.0
cpd15331_c,group12173,0.8159532609
cpd15331_c,group00912,0.153533610587
cpd11506_c,group00606,0.0
cpd11506_c,group04918,0.0
cpd11477_c,group00606,0.0
cpd11477_c,group04918,0.0
cpd00183_c,group13646,0.0840623740233
cpd00183_c,group01107,0.0
cpd00183_c,group03110,0.185595362434
cpd01157_c,group03087,0.0160064749997
cpd11825_c,group13898,0.0
cpd11825_c,group00574,0.452295197607
cpd11825_c,group00765,0.0276934456479
cpd11825_c,group08428,0.0
cpd11825_c,group12173,0.8159532609
cpd11825_c,group00912,0.153533610587
cpd00378_c,group01225,0.0
cpd00507_c,group00228,0.0
cpd00507_c,group03790,0.0600141505685
cpd00214_c,group12582,9.77335706408
cpd00214_c,group00025,0.0
cpd00214_c,group02773,0.0632149052655
cpd00214_c,group01195,0.0283390190969
cpd00214_c,group01036,0.0
cpd00214_c,group03704,0.0503303385872
cpd11475_c,group00606,0.0
cpd11475_c,group04918,0.0
cpd11502_c,group00606,0.0
cpd11502_c,group04918,0.0
cpd11430_c,group12582,9.77335706408
cpd11430_c,group00025,0.0
cpd11430_c,group02773,0.0632149052655
cpd11430_c,group01195,0.0283390190969
cpd11430_c,group01036,0.0
cpd11430_c,group03704,0.0503303385872
cpd11433_c,group12582,9.77335706408
cpd11433_c,group00025,0.0
cpd11433_c,group02773,0.0632149052655
cpd11433_c,group01195,0.0283390190969
cpd11433_c,group01036,0.0
cpd11433_c,group03704,0.0503303385872
cpd15327_c,group13898,0.0
cpd15327_c,group00574,0.452295197607
cpd15327_c,group00765,0.0276934456479
cpd15327_c,group08428,0.0
cpd15327_c,group12173,0.8159532609
cpd15327_c,group00912,0.153533610587
cpd03734_c,group01604,0.0
cpd00956_c,group00320,0.0
cpd01298_c,group02381,0.0
cpd15269_c,group12582,9.77335706408
cpd15269_c,group00025,0.0
cpd15269_c,group02773,0.0632149052655
cpd15269_c,group01195,0.0283390190969
cpd15269_c,group01036,0.0
cpd15269_c,group03704,0.0503303385872
cpd03847_c,group12582,9.77335706408
cpd03847_c,group00025,0.0
cpd03847_c,group02773,0.0632149052655
cpd03847_c,group01195,0.0283390190969
cpd03847_c,group01036,0.0
cpd03847_c,group03704,0.0503303385872
cpd15675_c,group13898,0.0
cpd15675_c,group00574,0.452295197607
cpd15675_c,group00765,0.0276934456479
cpd15675_c,group08428,0.0
cpd15675_c,group12173,0.8159532609
cpd15675_c,group00912,0.153533610587
cpd02760_c,group02997,0.0
cpd01133_c,group05396,0.11677630283
cpd01133_c,group01201,0.146848784356
cpd15673_c,group13898,0.0
cpd15673_c,group00574,0.452295197607
cpd15673_c,group00765,0.0276934456479
cpd15673_c,group08428,0.0
cpd15673_c,group12173,0.8159532609
cpd15673_c,group00912,0.153533610587
cpd03200_c,group05396,0.11677630283
cpd03200_c,group01201,0.146848784356
cpd00653_c,group01385,0.0
cpd00179_c,group00539,0.0245908604508
cpd00179_c,group01393,0.0
cpd00179_c,group01565,0.0
cpd15237_c,group12582,9.77335706408
cpd15237_c,group00025,0.0
cpd15237_c,group02773,0.0632149052655
cpd15237_c,group01195,0.0283390190969
cpd15237_c,group01036,0.0
cpd15237_c,group03704,0.0503303385872
cpd04122_c,group12148,0.0462097260713
cpd04122_c,group02453,0.0162144934847
cpd04122_c,group00823,0.0269688162396
cpd04122_c,group00005,0.0142119840975
cpd04122_c,group01215,0.0
cpd04122_c,group12620,0.0814625067855
cpd04122_c,group12137,0.0
cpd04122_c,group00810,0.0
cpd04122_c,group04024,0.929630959787
cpd15672_c,group13898,0.0
cpd15672_c,group00574,0.452295197607
cpd15672_c,group00765,0.0276934456479
cpd15672_c,group08428,0.0
cpd15672_c,group12173,0.8159532609
cpd15672_c,group00912,0.153533610587
cpd00609_c,group02398,0.0
cpd00908_c,group00228,0.0
cpd00908_c,group03790,0.0600141505685
cpd00158_c,group01024,0.128224959971
cpd00158_c,group07479,0.0
cpd00158_c,group01957,0.0
cpd12115_c,group03770,0.0
cpd11467_c,group00606,0.0
cpd11467_c,group04918,0.0
cpd11568_c,group00606,0.0
cpd11568_c,group04918,0.0
cpd00616_c,group04190,0.0
cpd00616_c,group00588,0.0
cpd11431_c,group12582,9.77335706408
cpd11431_c,group00025,0.0
cpd11431_c,group02773,0.0632149052655
cpd11431_c,group01195,0.0283390190969
cpd11431_c,group01036,0.0
cpd11431_c,group03704,0.0503303385872
cpd11583_c,group00018,0.0
cpd11583_c,group13058,0.0
cpd11583_c,group00328,0.34861160992
cpd11583_c,group01974,0.0
cpd11583_c,group01444,0.125426399336
cpd11583_c,group12641,0.0877984795354
cpd11583_c,group05282,0.0
cpd11583_c,group00108,0.453208694598
cpd11583_c,group04828,0.813925818869
cpd11440_c,group12582,9.77335706408
cpd11440_c,group00025,0.0
cpd11440_c,group02773,0.0632149052655
cpd11440_c,group01195,0.0283390190969
cpd11440_c,group01036,0.0
cpd11440_c,group03704,0.0503303385872
cpd00434_c,group04024,0.929630959787
cpd00434_c,group02453,0.0162144934847
cpd00434_c,group00823,0.0269688162396
cpd00434_c,group12148,0.0462097260713
cpd00434_c,group00005,0.0142119840975
cpd00434_c,group01215,0.0
cpd00434_c,group03558,1.60963879148
cpd00434_c,group12137,0.0
cpd00434_c,group00810,0.0
cpd00434_c,group12620,0.0814625067855
cpd00434_c,group00275,5.87755343428
cpd11465_c,group00606,0.0
cpd11465_c,group04918,0.0
cpd15239_c,group13898,0.0
cpd15239_c,group00574,0.452295197607
cpd15239_c,group00765,0.0276934456479
cpd15239_c,group08428,0.0
cpd15239_c,group12173,0.8159532609
cpd15239_c,group00912,0.153533610587
cpd00516_c,group00188,0.741691126761
cpd00516_c,group08448,0.0
cpd00516_c,group04798,0.0
cpd00516_c,group12650,0.0360815669324
cpd00516_c,group00091,0.0166705973801
cpd00516_c,group00062,0.0
cpd02484_c,group00247,0.0
cpd02484_c,group03790,0.0600141505685
cpd02182_c,group12703,0.0
cpd02182_c,group12702,0.0
cpd02182_c,group00299,0.0
cpd11510_c,group00606,0.0
cpd11510_c,group04918,0.0
cpd01587_c,group01594,0.0
cpd03451_c,group00758,0.0
cpd03451_c,group00959,0.0
cpd11518_c,group00606,0.0
cpd11518_c,group04918,0.0
cpd11588_c,group00018,0.0
cpd11588_c,group13058,0.0
cpd11588_c,group00328,0.34861160992
cpd11588_c,group01974,0.0
cpd11588_c,group01444,0.125426399336
cpd11588_c,group12641,0.0877984795354
cpd11588_c,group05282,0.0
cpd11588_c,group00108,0.453208694598
cpd11588_c,group04828,0.813925818869
cpd00608_c,group01756,2.80650230559
cpd15330_c,group13898,0.0
cpd15330_c,group00574,0.452295197607
cpd15330_c,group00765,0.0276934456479
cpd15330_c,group08428,0.0
cpd15330_c,group12173,0.8159532609
cpd15330_c,group00912,0.153533610587
cpd11527_c,group00606,0.0
cpd11527_c,group04918,0.0
cpd00268_c,group00432,0.507661599548
cpd00268_c,group12588,0.0
cpd00268_c,group01454,0.0
cpd00268_c,group13969,0.0
cpd00268_c,group00816,0.0200047168562
cpd00268_c,group00033,0.292862464339
cpd00268_c,group02086,0.238380229353
cpd00427_c,group01285,0.366716301264
cpd00427_c,group06809,0.178237514846
cpd11498_c,group00606,0.0
cpd11498_c,group04918,0.0
cpd11556_c,group00606,0.0
cpd11556_c,group04918,0.0
cpd15674_c,group13898,0.0
cpd15674_c,group00574,0.452295197607
cpd15674_c,group00765,0.0276934456479
cpd15674_c,group08428,0.0
cpd15674_c,group12173,0.8159532609
cpd15674_c,group00912,0.153533610587
cpd02230_c,group00247,0.0
cpd02230_c,group03790,0.0600141505685
cpd11572_c,group00606,0.0
cpd11572_c,group04918,0.0
cpd15676_c,group13898,0.0
cpd15676_c,group00574,0.452295197607
cpd15676_c,group00765,0.0276934456479
cpd15676_c,group08428,0.0
cpd15676_c,group12173,0.8159532609
cpd15676_c,group00912,0.153533610587
cpd02724_c,group00575,1.06462228179
cpd00340_c,group01763,0.23681907567
cpd00340_c,group13850,0.0
cpd00340_c,group01434,0.139353563208
cpd00340_c,group07368,0.0
cpd00085_c,group00231,0.0
cpd11560_c,group00606,0.0
cpd11560_c,group04918,0.0
cpd03052_c,group12148,0.0462097260713
cpd03052_c,group02453,0.0162144934847
cpd03052_c,group00823,0.0269688162396
cpd03052_c,group00005,0.0142119840975
cpd03052_c,group01215,0.0
cpd03052_c,group12620,0.0814625067855
cpd03052_c,group12137,0.0
cpd03052_c,group00810,0.0
cpd03052_c,group04024,0.929630959787
cpd03698_c,group02997,0.0
cpd03560_c,group05224,0.0
cpd03560_c,group00069,0.507976917312
cpd02507_c,group00013,0.0
cpd11564_c,group00606,0.0
cpd11564_c,group04918,0.0
cpd15268_c,group13898,0.0
cpd15268_c,group00574,0.452295197607
cpd15268_c,group00765,0.0276934456479
cpd15268_c,group08428,0.0
cpd15268_c,group12173,0.8159532609
cpd15268_c,group00912,0.153533610587
cpd00938_c,group13837,3.6664645054
cpd11438_c,group12582,9.77335706408
cpd11438_c,group00025,0.0
cpd11438_c,group02773,0.0632149052655
cpd11438_c,group01195,0.0283390190969
cpd11438_c,group01036,0.0
cpd11438_c,group03704,0.0503303385872
cpd01080_c,group12582,9.77335706408
cpd01080_c,group00025,0.0
cpd01080_c,group02773,0.0632149052655
cpd01080_c,group01195,0.0283390190969
cpd01080_c,group01036,0.0
cpd01080_c,group03704,0.0503303385872
cpd11543_c,group00606,0.0
cpd11543_c,group04918,0.0
cpd00355_c,group04814,1.35257117122
cpd00355_c,group00770,0.0
cpd00355_c,group01791,11.4129775535
cpd01747_c,group01604,0.0
cpd15325_c,group13898,0.0
cpd15325_c,group00574,0.452295197607
cpd15325_c,group00765,0.0276934456479
cpd15325_c,group08428,0.0
cpd15325_c,group12173,0.8159532609
cpd15325_c,group00912,0.153533610587
cpd11471_c,group00606,0.0
cpd11471_c,group04918,0.0
cpd03706_c,group00338,0.0
cpd00403_c,group04513,0.0
cpd08316_c,group02603,0.0
cpd15329_c,group13898,0.0
cpd15329_c,group00574,0.452295197607
cpd15329_c,group00765,0.0276934456479
cpd15329_c,group08428,0.0
cpd15329_c,group12173,0.8159532609
cpd15329_c,group00912,0.153533610587
cpd03487_c,group05397,0.17624973587
cpd03487_c,group00693,1.41104699253
cpd03487_c,group00790,29.2600372176
cpd11535_c,group00606,0.0
cpd11535_c,group04918,0.0
cpd15277_c,group13898,0.0
cpd15277_c,group00574,0.452295197607
cpd15277_c,group00765,0.0276934456479
cpd15277_c,group08428,0.0
cpd15277_c,group12173,0.8159532609
cpd15277_c,group00912,0.153533610587
cpd11436_c,group12582,9.77335706408
cpd11436_c,group00025,0.0
cpd11436_c,group02773,0.0632149052655
cpd11436_c,group01195,0.0283390190969
cpd11436_c,group01036,0.0
cpd11436_c,group03704,0.0503303385872
cpd11640_c,group13926,0.0
cpd11640_c,group01637,0.0
cpd02197_c,group07331,0.0
cpd02197_c,group10855,0.0
cpd02197_c,group00730,0.0
cpd11552_c,group00606,0.0
cpd11552_c,group04918,0.0
cpd00478_c,group00504,0.314170462916
cpd00478_c,group01281,0.036695958939
cpd00478_c,group12337,0.10397188366
cpd00170_c,group01221,0.0
cpd11548_c,group00606,0.0
cpd11548_c,group04918,0.0
cpd15326_c,group13898,0.0
cpd15326_c,group00574,0.452295197607
cpd15326_c,group00765,0.0276934456479
cpd15326_c,group08428,0.0
cpd15326_c,group12173,0.8159532609
cpd15326_c,group00912,0.153533610587
cpd00493_c,group00504,0.314170462916
cpd00493_c,group01281,0.036695958939
cpd00493_c,group12337,0.10397188366
cpd00567_c,group02253,0.264980793783
cpd01973_c,group01604,0.0
cpd11531_c,group00606,0.0
cpd11531_c,group04918,0.0
cpd02090_c,group00228,0.0
cpd02090_c,group03790,0.0600141505685
cpd11469_c,group00606,0.0
cpd11469_c,group04918,0.0
cpd06707_c,group01604,0.0
