cpd02065_c,group00827,0.0
cpd11514_c,group00606,0.0
cpd08023_c,group03354,0.0
cpd08023_c,group02392,0.0
cpd11471_c,group00606,0.0
cpd00307_c,group02189,0.0
cpd00504_c,group00188,0.0
cpd00507_c,group00228,0.0
cpd00507_c,group01394,0.0337206109169
cpd00507_c,group02294,0.0
cpd11539_c,group00606,0.0
cpd11473_c,group00606,0.0
cpd00822_c,group00816,0.0
cpd00822_c,group00033,0.123008989119
cpd11523_c,group00606,0.0
cpd15294_c,group01247,0.0
cpd15294_c,group01499,0.0
cpd15294_c,group00574,0.0625477294843
cpd15294_c,group01741,0.0
cpd15294_c,group08140,0.0
cpd15294_c,group01363,0.048477688087
cpd15294_c,group00912,0.0332710027713
cpd00599_c,group03175,0.0802219609968
cpd11506_c,group00606,0.0
cpd11477_c,group00606,0.0
cpd11596_c,group03354,0.0
cpd11596_c,group02392,0.0
cpd03560_c,group00069,0.20550485521
cpd11825_c,group01247,0.0
cpd11825_c,group01499,0.0
cpd11825_c,group00574,0.0625477294843
cpd11825_c,group01741,0.0
cpd11825_c,group08140,0.0
cpd11825_c,group01363,0.048477688087
cpd11825_c,group00912,0.0332710027713
cpd03487_c,group00693,0.17717181969
cpd00214_c,group00233,0.0
cpd00214_c,group00025,0.0
cpd00214_c,group02773,0.0
cpd00214_c,group04122,0.0405223751702
cpd00214_c,group01502,0.0609006794465
cpd00214_c,group02156,0.0143844596326
cpd00214_c,group03989,0.0
cpd00214_c,group01624,0.186432343115
cpd00214_c,group11158,0.0572598779579
cpd00214_c,group08122,0.0533909672851
cpd00214_c,group01195,0.0
cpd00214_c,group08143,0.0
cpd00214_c,group01036,0.0
cpd00214_c,group01689,0.30503515868
cpd11475_c,group00606,0.0
cpd11502_c,group00606,0.0
cpd11430_c,group00233,0.0
cpd11430_c,group00025,0.0
cpd11430_c,group02773,0.0
cpd11430_c,group04122,0.0405223751702
cpd11430_c,group01502,0.0609006794465
cpd11430_c,group02156,0.0143844596326
cpd11430_c,group03989,0.0
cpd11430_c,group01624,0.186432343115
cpd11430_c,group11158,0.0572598779579
cpd11430_c,group08122,0.0533909672851
cpd11430_c,group01195,0.0
cpd11430_c,group08143,0.0
cpd11430_c,group01036,0.0
cpd11430_c,group01689,0.30503515868
cpd00337_c,group01865,0.0
cpd11578_c,group03354,0.0
cpd11578_c,group02392,0.0
cpd00210_c,group03354,0.0
