cpd02065_c,group00827,0.0
cpd11514_c,group00606,0.0283220901727
cpd08023_c,group03354,0.0
cpd08023_c,group03424,0.0
cpd08023_c,group02392,0.0
cpd08023_c,group02068,0.0
cpd03447_c,group00358,0.0
cpd00307_c,group02189,0.0
cpd00506_c,group01622,0.0
cpd00742_c,group11616,0.0
cpd00742_c,group11617,0.0
cpd15345_c,group03044,0.0
cpd11539_c,group00606,0.0283220901727
cpd11473_c,group00606,0.0283220901727
cpd11640_c,group01637,0.0
cpd15294_c,group02461,0.0
cpd15294_c,group01247,0.0
cpd15294_c,group01499,0.0
cpd15294_c,group00574,0.0278234618246
cpd15294_c,group01741,0.0
cpd15294_c,group08140,0.0
cpd15294_c,group11579,0.0
cpd15294_c,group01363,0.308172663169
cpd15294_c,group00912,0.0
cpd00599_c,group03175,0.0802219609968
cpd15362_c,group03044,0.0
cpd11506_c,group00606,0.0283220901727
cpd11477_c,group00606,0.0283220901727
cpd11596_c,group03354,0.0
cpd11596_c,group03424,0.0
cpd11596_c,group02392,0.0
cpd11596_c,group02068,0.0
cpd03560_c,group00069,0.185835096322
cpd11471_c,group00606,0.0283220901727
cpd11825_c,group02461,0.0
cpd11825_c,group01247,0.0
cpd11825_c,group01499,0.0
cpd11825_c,group00574,0.0278234618246
cpd11825_c,group01741,0.0
cpd11825_c,group08140,0.0
cpd11825_c,group11579,0.0
cpd11825_c,group01363,0.308172663169
cpd11825_c,group00912,0.0
cpd00507_c,group00228,0.0
cpd00507_c,group02294,0.0
cpd00507_c,group01394,0.0
cpd11475_c,group00606,0.0283220901727
cpd11502_c,group00606,0.0283220901727
cpd11430_c,group02897,0.0130897788374
cpd11430_c,group03989,0.0164052522315
cpd11430_c,group00233,0.0
cpd11430_c,group02773,0.0442543674074
cpd11430_c,group12456,0.0152545620814
cpd11430_c,group01502,0.149185585114
cpd11430_c,group12708,0.0435364361333
cpd11430_c,group11158,0.0572598779579
cpd11430_c,group07924,0.0
cpd11430_c,group04930,0.0
cpd11430_c,group03142,0.0
cpd11430_c,group08122,0.160172901855
cpd11430_c,group01624,0.0
cpd11430_c,group01036,0.0
cpd11430_c,group08143,0.0
cpd11430_c,group01689,0.333473124107
cpd11430_c,group12373,0.0
cpd11430_c,group04122,0.0404532243593
cpd11430_c,group04941,0.0
cpd11430_c,group02156,0.0
cpd11430_c,group01195,0.0
cpd11430_c,group00025,0.0
cpd00337_c,group01865,0.04980165856
cpd11578_c,group03354,0.0
cpd11578_c,group03424,0.0
cpd11578_c,group02392,0.0
cpd11578_c,group02068,0.0
cpd00210_c,group03047,0.0257669450811
cpd00210_c,group03354,0.0
cpd00210_c,group02780,0.0
cpd00210_c,group02392,0.0
cpd00210_c,group06032,0.0
cpd00210_c,group03424,0.0
cpd00210_c,group02068,0.0
cpd11433_c,group02897,0.0130897788374
cpd11433_c,group03989,0.0164052522315
cpd11433_c,group00233,0.0
cpd11433_c,group02773,0.0442543674074
cpd11433_c,group12456,0.0152545620814
cpd11433_c,group01502,0.149185585114
cpd11433_c,group12708,0.0435364361333
cpd11433_c,group11158,0.0572598779579
cpd11433_c,group07924,0.0
cpd11433_c,group04930,0.0
cpd11433_c,group03142,0.0
cpd11433_c,group08122,0.160172901855
cpd11433_c,group01624,0.0
cpd11433_c,group01036,0.0
cpd11433_c,group08143,0.0
cpd11433_c,group01689,0.333473124107
cpd11433_c,group12373,0.0
cpd11433_c,group04122,0.0404532243593
cpd11433_c,group04941,0.0
cpd11433_c,group02156,0.0
cpd11433_c,group01195,0.0
cpd11433_c,group00025,0.0
cpd03734_c,group01604,0.0
cpd03734_c,group01102,0.0
cpd01298_c,group02381,0.0541223503986
cpd02760_c,group07908,0.0
cpd02760_c,group02997,0.0
cpd09410_c,group00358,0.0
cpd01133_c,group01201,0.0
cpd01133_c,group07766,0.0
cpd01133_c,group04932,0.0
cpd01133_c,group02996,0.0
cpd00727_c,group01559,0.0
cpd03444_c,group04262,0.0
cpd03444_c,group01286,0.0
cpd02135_c,group11432,0.0
cpd02135_c,group02873,0.0130537386974
cpd02135_c,group03046,0.0
cpd02135_c,group02530,0.0
cpd01150_c,group01604,0.0
cpd01150_c,group01102,0.0
cpd00158_c,group01024,0.0
cpd00158_c,group11716,0.0
cpd00158_c,group07908,0.0
cpd00158_c,group06083,0.0
cpd00158_c,group01957,0.00867700932451
cpd11467_c,group00606,0.0283220901727
cpd11568_c,group00606,0.0283220901727
cpd00616_c,group00588,0.0
cpd11431_c,group02897,0.0130897788374
cpd11431_c,group03989,0.0164052522315
cpd11431_c,group00233,0.0
cpd11431_c,group02773,0.0442543674074
cpd11431_c,group12456,0.0152545620814
cpd11431_c,group01502,0.149185585114
cpd11431_c,group12708,0.0435364361333
cpd11431_c,group11158,0.0572598779579
cpd11431_c,group07924,0.0
cpd11431_c,group04930,0.0
cpd11431_c,group03142,0.0
cpd11431_c,group08122,0.160172901855
cpd11431_c,group01624,0.0
cpd11431_c,group01036,0.0
cpd11431_c,group08143,0.0
cpd11431_c,group01689,0.333473124107
cpd11431_c,group12373,0.0
cpd11431_c,group04122,0.0404532243593
cpd11431_c,group04941,0.0
cpd11431_c,group02156,0.0
cpd11431_c,group01195,0.0
cpd11431_c,group00025,0.0
cpd11583_c,group00328,0.0
cpd11583_c,group00018,0.0453261749036
cpd11583_c,group00181,0.0
