cpd02065_c,group00827,0.0
cpd11514_c,group00606,0.0
cpd08023_c,group03424,0.0
cpd08023_c,group02392,0.0
cpd11471_c,group00606,0.0
cpd00307_c,group13236,0.0
cpd00307_c,group01594,0.0
cpd00506_c,group01622,0.0
cpd11539_c,group00606,0.0
cpd11473_c,group00606,0.0
cpd11640_c,group08249,0.0
cpd11640_c,group01637,0.0
cpd11640_c,group01490,0.0
cpd00074_c,group03166,0.0
cpd15294_c,group02461,0.0
cpd15294_c,group01247,0.0
cpd15294_c,group01363,0.0
cpd11506_c,group00606,0.0
cpd11477_c,group00606,0.0
cpd11596_c,group03424,0.0
cpd11596_c,group02392,0.0
cpd00183_c,group04061,0.0
cpd00183_c,group05801,0.0
cpd03560_c,group05224,0.0
cpd03560_c,group00069,0.0
cpd11825_c,group02461,0.0
cpd11825_c,group01247,0.0
cpd11825_c,group01363,0.0
cpd00378_c,group01225,0.0
cpd00507_c,group00228,0.0
cpd00507_c,group01394,0.0
cpd00214_c,group03343,0.0
cpd00214_c,group04930,0.0
cpd00214_c,group01689,0.0
cpd00214_c,group00025,0.0
cpd00214_c,group04050,0.0
cpd00214_c,group03142,0.0
cpd00214_c,group01502,0.0
cpd00214_c,group03914,0.0
cpd00214_c,group02156,0.0
cpd00214_c,group12279,0.0
cpd00214_c,group01624,0.0
cpd00214_c,group01195,0.0
cpd00214_c,group06252,0.0
cpd00214_c,group01036,0.0
cpd11475_c,group00606,0.0
cpd11502_c,group00606,0.0
cpd11430_c,group03343,0.0
cpd11430_c,group04930,0.0
cpd11430_c,group01689,0.0
cpd11430_c,group00025,0.0
cpd11430_c,group04050,0.0
cpd11430_c,group03142,0.0
cpd11430_c,group01502,0.0
cpd11430_c,group03914,0.0
cpd11430_c,group02156,0.0
cpd11430_c,group12279,0.0
cpd11430_c,group01624,0.0
cpd11430_c,group01195,0.0
cpd11430_c,group06252,0.0
cpd11430_c,group01036,0.0
cpd11578_c,group03424,0.0
cpd11578_c,group02392,0.0
cpd00210_c,group03424,0.0
cpd00210_c,group02780,0.0
cpd00210_c,group02392,0.0
cpd00210_c,group03047,0.0
cpd11433_c,group03343,0.0
cpd11433_c,group04930,0.0
cpd11433_c,group01689,0.0
cpd11433_c,group00025,0.0
cpd11433_c,group04050,0.0
cpd11433_c,group03142,0.0
cpd11433_c,group01502,0.0
cpd11433_c,group03914,0.0
cpd11433_c,group02156,0.0
cpd11433_c,group12279,0.0
cpd11433_c,group01624,0.0
cpd11433_c,group01195,0.0
cpd11433_c,group06252,0.0
cpd11433_c,group01036,0.0
cpd15269_c,group03343,0.0
cpd15269_c,group04930,0.0
cpd15269_c,group01689,0.0
cpd15269_c,group00025,0.0
cpd15269_c,group04050,0.0
cpd15269_c,group03142,0.0
cpd15269_c,group01502,0.0
cpd15269_c,group03914,0.0
cpd15269_c,group02156,0.0
cpd15269_c,group12279,0.0
cpd15269_c,group01624,0.0
cpd15269_c,group01195,0.0
cpd15269_c,group06252,0.0
cpd15269_c,group01036,0.0
cpd03847_c,group03343,0.0
cpd03847_c,group04930,0.0
cpd03847_c,group01689,0.0
cpd03847_c,group00025,0.0
cpd03847_c,group04050,0.0
cpd03847_c,group03142,0.0
cpd03847_c,group01502,0.0
cpd03847_c,group03914,0.0
cpd03847_c,group02156,0.0
cpd03847_c,group12279,0.0
cpd03847_c,group01624,0.0
cpd03847_c,group01195,0.0
cpd03847_c,group06252,0.0
cpd03847_c,group01036,0.0
