id	name	formula	charge	aliases
cpd03671	D-Glucosamine1-phosphate	C6H14NO8P	0	
cpd00067	H+	H	1	
cpd02611	N-Acetyl-D-glucosamine1-phosphate	C8H15NO9P	-1	
cpd00010	CoA	C21H33N7O16P3S	-3	
cpd00022	Acetyl-CoA	C23H35N7O17P3S	-3	
cpd11420	trdox	C6H7NO2R2S2	0	
cpd00790	O-Acetyl-L-homoserine	C6H11NO4	0	
cpd00135	Homocysteine	C4H9NO2S	0	
cpd00081	Sulfite	HO3S	-1	
cpd00029	Acetate	C2H3O2	-1	
cpd00268	H2S2O3	O3S2	-2	
cpd11421	trdrd	C6H9NO2R2S2	0	
cpd00357	TTP	C10H14N2O14P3	-3	
cpd00626	dTDPglucose	C16H24N2O16P2	-2	
cpd00089	Glucose-1-phosphate	C6H12O9P	-1	
cpd00012	PPi	H2O7P2	-2	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00157	Glycerone	C3H6O3	0	
cpd00095	Glycerone-phosphate	C3H6O6P	-1	
cpd00006	NADP	C21H26N7O17P3	-2	
cpd11558	10-methyl-3-oxo-undecanoyl-ACP	C23H41N2O9PRS	-1	
cpd11559	10-methyl-3-hydroxy-undecanoyl-ACP	C23H43N2O9PRS	-1	
cpd00005	NADPH	C21H27N7O17P3	-3	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd11560	10-methyl-trans-undec-2-enoyl-ACP	C23H41N2O8PRS	-1	
cpd11561	10-methyl-undecanoyl-ACP	C23H43N2O8PRS	-1	
cpd00239	H2S	H2S	0	
cpd11476	hexadecanoyl-acp	C27H51N2O8PRS	-1	
cpd11477	(2E)-Hexadecenoyl-[acp]	C27H49N2O8PRS	-1	
cpd11509	10-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1	
cpd11508	10-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1	
cpd00001	H2O	H2O	0	
cpd00061	Phosphoenolpyruvate	C3H3O6P	-2	
cpd00482	2-Phospho-D-glycerate	C3H5O7P	-2	
cpd15683	CDP-1,2-diisoheptadecanoylglycerol	C46H83N3O15P2	-2	
cpd00080	Glycerol-3-phosphate	C3H8O6P	-1	
cpd15716	Diisoheptadecanoylphosphatidylglycerophosphate	C40H78O13P2	-2	
cpd00046	CMP	C9H13N3O8P	-1	
cpd11483	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	-1	
cpd11490	3-oxooctanoyl-acp	C19H33N2O9PRS	-1	
cpd00072	D-fructose-6-phosphate	C6H12O9P	-1	
cpd00079	D-glucose-6-phosphate	C6H12O9P	-1	
