id	name	formula	charge	aliases
cpd00113	Isopentenyldiphosphate	C5H10O7P2	-2	
cpd02590	all-trans-Heptaprenyl diphosphate	C35H58O7P2	-2	
cpd02557	Farnesylfarnesylgeraniol	C40H66O7P2	-2	
cpd00012	PPi	H2O7P2	-2	
cpd15672	1-anteisoheptadecanoyl-sn-glycerol 3-phosphate	C20H40O7P	-1	
cpd11434	fa12coa	C38H65N7O17P3S	-3	
cpd15678	1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	C37H72O8P	-1	
cpd00010	CoA	C21H33N7O16P3S	-3	
cpd11420	trdox	C6H7NO2R2S2	0	
cpd00790	O-Acetyl-L-homoserine	C6H11NO4	0	
cpd00135	Homocysteine	C4H9NO2S	0	
cpd00081	Sulfite	HO3S	-1	
cpd00029	Acetate	C2H3O2	-1	
cpd00268	H2S2O3	O3S2	-2	
cpd11421	trdrd	C6H9NO2R2S2	0	
cpd00067	H+	H	1	
cpd00650	Crotonyl-CoA	C25H37N7O17P3S	-3	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd00120	Butyryl-CoA	C25H39N7O17P3S	-3	
cpd00357	TTP	C10H14N2O14P3	-3	
cpd00626	dTDPglucose	C16H24N2O16P2	-2	
cpd00089	Glucose-1-phosphate	C6H12O9P	-1	
cpd00060	L-Methionine	C5H11NO2S	0	
cpd00001	H2O	H2O	0	
cpd00035	L-Alanine	C3H7NO2	0	
cpd11590	met-L-ala-L	C8H15N2O3S	-1	
cpd00161	L-Threonine	C4H9NO3	0	
cpd11582	ala-L-Thr-L	C7H14N2O4	0	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00009	Phosphate	HO4P	-2	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00006	NADP	C21H26N7O17P3	-2	
cpd03187	Oxalosuccinate	C6H3O7	-3	
cpd00260	Isocitrate	C6H5O7	-3	
cpd00005	NADPH	C21H27N7O17P3	-3	
cpd11583	Ala-Leu	C9H18N2O3	0	
cpd08301	2-C-methyl-D-erythritol2-4-cyclodiphosphate	C5H10O9P2	-2	
cpd08288	2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol	C14H23N3O17P3	-3	
cpd00046	CMP	C9H13N3O8P	-1	
cpd00254	Mg	Mg	2	
cpd00027	D-Glucose	C6H12O6	0	
cpd00208	LACT	C12H22O11	0	
cpd00108	Galactose	C6H12O6	0	
cpd15603	Gly-Cys	C5H10N2O3S	0	
cpd09878	Sulfoacetate	C2H2O5S	-2	
cpd00040	Glyoxalate	C2HO3	-1	
cpd01270	FMNH2	C17H22N4O9P	-1	
cpd00050	FMN	C17H20N4O9P	-1	
cpd00007	O2	O2	0	
cpd02187	Methacrylyl-CoA	C25H37N7O17P3S	-3	
cpd00481	Isobutyryl-CoA	C25H39N7O17P3S	-3	
cpd00180	Oxalate	C2O4	-2	
cpd00346	L-Aspartate4-semialdehyde	C4H7NO3	0	
cpd00227	L-Homoserine	C4H9NO3	0	
cpd11558	10-methyl-3-oxo-undecanoyl-ACP	C23H41N2O9PRS	-1	
cpd11559	10-methyl-3-hydroxy-undecanoyl-ACP	C23H43N2O9PRS	-1	
cpd00011	CO2	CO2	0	
cpd01932	1,2-Naphthalenediol	C10H8O2	0	
cpd02045	1-Hydroxy-2-naphthoate	C11H7O3	-1	
cpd02893	5'-Phosphoribosyl-4-carboxy-5-aminoimidazole	C9H13N3O9P	-1	
cpd02140	AIR	C8H14N3O7P	0	
cpd00242	H2CO3	CHO3	-1	
cpd11589	gly-asp-L	C6H9N2O5	-1	
cpd00041	L-Aspartate	C4H6NO4	-1	
cpd00033	Glycine	C2H5NO2	0	
cpd00123	3-Methyl-2-oxobutanoate	C5H7O3	-1	
cpd01646	2-Isopropylmalate	C7H10O5	-2	
cpd00022	Acetyl-CoA	C23H35N7O17P3S	-3	
cpd00239	H2S	H2S	0	
cpd03424	Vitamin B12	C61H86CoN13O14PR	6	
cpd09813	4-Hydroxymethylcatechol	C7H8O3	0	
cpd09812	4-Hydroxymethylsalicylate	C8H7O4	-1	
cpd03052	Imidazole acetaldehyde	C5H6N2O	0	
cpd01831	4-Imidazoleacetate	C5H5N2O2	-1	
cpd11509	10-methyl-3-hydroxy-dodecanoyl-ACP	C24H45N2O9PRS	-1	
cpd11508	10-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1	
cpd03572	(S)-3-Hydroxyisobutyryl-CoA	C25H39N7O18P3S	-3	
cpd00129	L-Proline	C5H8NO2	-1	
cpd02431	1-Pyrroline-5-carboxylate	C5H6NO2	-1	
cpd02069	3-Phosphonooxypyruvate	C3H3O7P	-2	
cpd00169	3-Phosphoglycerate	C3H5O7P	-2	
cpd00043	UDP-galactose	C15H22N2O17P2	-2	
cpd02338	UDP-D-galacto-1,4-furanose	C15H22N2O17P2	-2	
cpd11483	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]	C19H35N2O9PRS	-1	
cpd11490	3-oxooctanoyl-acp	C19H33N2O9PRS	-1	
cpd02333	Quinolinate	C7H3NO4	-2	
cpd03470	Iminoaspartate	C4H3NO4	-2	
cpd00095	Glycerone-phosphate	C3H6O6P	-1	
cpd03127	(2E)-Tetradecenoyl-CoA	C35H57N7O17P3S	-3	
cpd03115	(S)-3-Hydroxytetradecanoyl-CoA	C35H59N7O18P3S	-3	
cpd02826	5'-Phosphoribosylformylglycinamidine	C8H16N3O8P	0	
cpd15500	Menaquinone 8	C51H72O2	0	
cpd15499	Menaquinol 8	C51H74O2	0	
cpd15606	Gly-Tyr	C11H14N2O4	0	
cpd00086	Propionyl-CoA	C24H37N7O17P3S	-3	
cpd00287	3-Oxo-2-methylpropanoate	C4H5O3	-1	
cpd15561	Ubiquinol-8	C49H76O4	0	
cpd15560	Ubiquinone-8	C49H74O4	0	
cpd00013	NH3	H4N	1	
cpd00023	L-Glutamate	C5H8NO4	-1	
