id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	AAA027L17_AnnotatedGenome.CDS.1327	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn10215_c0	=>	c0	AAA027L17_AnnotatedGenome.CDS.1639	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn06078_c0	=>	c0	AAA027L17_AnnotatedGenome.CDS.1065	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn00868_c0	<=	c0	(AAA027L17_AnnotatedGenome.CDS.1238) or (AAA027L17_AnnotatedGenome.CDS.1519) or (AAA027L17_AnnotatedGenome.CDS.1145) or (AAA027L17_AnnotatedGenome.CDS.1496)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn01675_c0	<=>	c0	(AAA027L17_AnnotatedGenome.CDS.1792) or (AAA027L17_AnnotatedGenome.CDS.1684)	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	Unknown	Unknown	None	(1) cpd00357[c0] + (1) cpd00089[c0] <=> (1) cpd00626[c0] + (1) cpd00012[c0]
rxn12636_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1538	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1538	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(AAA027L17_AnnotatedGenome.CDS.1034) or (AAA027L17_AnnotatedGenome.CDS.1604)	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1550	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05544_c0	=>	c0	(AAA027L17_AnnotatedGenome.CDS.1034) or (AAA027L17_AnnotatedGenome.CDS.1604)	Dipeptide transport via ABC system (ala-leu)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11583[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11583[c0]
rxn03910_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.2076	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn05616_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1944	magnesium transport in/out via permease (no H+)_c0	Unknown	Unknown	None	(1) cpd00254[c0] <=> (1) cpd00254[e0]
rxn00816_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1062	Lactose galactohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00208[c0] <=> (1) cpd00027[c0] + (1) cpd00108[c0]
rxn12848_c0	=>	c0	(AAA027L17_AnnotatedGenome.CDS.1034) or (AAA027L17_AnnotatedGenome.CDS.1604)	Gly-Cys ABC transporters_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd15603[e0] + (1) cpd00001[c0] => (1) cpd15603[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn08471_c0	=>	c0	AAA027L17_AnnotatedGenome.CDS.1331	FMNH2-dependent monooxygenase (sulfoacetate)_c0	Unknown	Unknown	None	(1) cpd09878[c0] + (1) cpd01270[c0] + (1) cpd00007[c0] => (1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00081[c0] + (1) cpd00050[c0]
rxn01923_c0	=>	c0	(AAA027L17_AnnotatedGenome.CDS.1238) or (AAA027L17_AnnotatedGenome.CDS.1519) or (AAA027L17_AnnotatedGenome.CDS.1145) or (AAA027L17_AnnotatedGenome.CDS.1496)	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00481[c0] + (1) cpd00007[c0] => (2) cpd02187[c0] + (2) cpd00001[c0]
rxn05734_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1076	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn01302_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1737	L-Homoserine:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00227[c0] <=> (1) cpd00067[c0] + (1) cpd00346[c0] + (1) cpd00005[c0]
rxn05422_c0	<=>	c0	(AAA027L17_AnnotatedGenome.CDS.1136) or (AAA027L17_AnnotatedGenome.CDS.1398) or (AAA027L17_AnnotatedGenome.CDS.1203) or (AAA027L17_AnnotatedGenome.CDS.1540)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11558[c0] + (1) cpd00005[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]
rxn03906_c0	=>	c0	AAA027L17_AnnotatedGenome.CDS.1400	rxn03906_c0	Unknown	Unknown	None	(2) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd02045[c0] + (1) cpd00007[c0] => (1) cpd00001[c0] + (1) cpd00011[c0] + (1) cpd00003[c0] + (1) cpd01932[c0]
rxn05229_c0	=>	c0	(AAA027L17_AnnotatedGenome.CDS.1530) and (AAA027L17_AnnotatedGenome.CDS.1529)	NCAIR synthetase and NCAIR mutase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02140[c0] + (1) cpd00242[c0] => (1) cpd02893[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn12637_c0	<=>	c0	AAA027L17_AnnotatedGenome.CDS.1538	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd11589[c0] + (1) cpd00001[c0] <=> (1) cpd00041[c0] + (1) cpd00033[c0]
rxn00902_c0	<=	c0	AAA027L17_AnnotatedGenome.CDS.1211	3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd01646[c0] + (1) cpd00010[c0] <= (1) cpd00123[c0] + (1) cpd00001[c0] + (1) cpd00022[c0]
rxn00952_c0	=>	c0	AAA027L17_AnnotatedGenome.CDS.1065	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00239[c0] => (1) cpd00067[c0] + (1) cpd00135[c0] + (1) cpd00029[c0]
rxn05187_c0	=>	c0	() and (AAA027L17_AnnotatedGenome.CDS.1448) and (AAA027L17_AnnotatedGenome.CDS.1447)	Vitamin ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd03424[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd03424[c0] + (1) cpd00008[c0]
rxn04745_c0	=>	c0	AAA027L17_AnnotatedGenome.CDS.1400	salicylate,NADH:oxygen oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd09812[c0] + (1) cpd00007[c0] => (1) cpd00001[c0] + (1) cpd00011[c0] + (1) cpd00003[c0] + (1) cpd09813[c0]
rxn02853_c0	=>	c0	AAA027L17_AnnotatedGenome.CDS.1076	Imidazole acetaldehyde:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd03052[c0] + (1) cpd00001[c0] + (1) cpd00003[c0] => (2) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd01831[c0]
