id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn10215_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.800	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn00802_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.633	N-(L-Argininosuccinate) arginie-lyase_c0	Unknown	Unknown	None	(1) cpd02152[c0] <=> (1) cpd00106[c0] + (1) cpd00051[c0]
rxn00868_c0	<=	c0	(AAA028K15_AnnotatedGenome.CDS.853) or (AAA028K15_AnnotatedGenome.CDS.861) or (AAA028K15_AnnotatedGenome.CDS.545) or (AAA028K15_AnnotatedGenome.CDS.440)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn01675_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.792	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	Unknown	Unknown	None	(1) cpd00357[c0] + (1) cpd00089[c0] <=> (1) cpd00626[c0] + (1) cpd00012[c0]
rxn12636_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.840	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.840	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn03910_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.521	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn02212_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.838	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd02857[c0] => (1) cpd00067[c0] + (1) cpd00699[c0] + (1) cpd00009[c0]
rxn05408_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.574	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
rxn01923_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.853) or (AAA028K15_AnnotatedGenome.CDS.861) or (AAA028K15_AnnotatedGenome.CDS.545) or (AAA028K15_AnnotatedGenome.CDS.440)	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00481[c0] + (1) cpd00007[c0] => (2) cpd02187[c0] + (2) cpd00001[c0]
rxn05734_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.682) or (AAA028K15_AnnotatedGenome.CDS.772)	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn05422_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.576) or (AAA028K15_AnnotatedGenome.CDS.540)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11558[c0] + (1) cpd00005[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]
rxn03164_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.724	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02964[c0] + (1) cpd00731[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd02968[c0]
rxn12637_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.840	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd11589[c0] + (1) cpd00001[c0] <=> (1) cpd00041[c0] + (1) cpd00033[c0]
rxn03962_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.788	GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00272[c0] <=> (1) cpd00067[c0] + (1) cpd00900[c0] + (1) cpd00005[c0]
rxn02853_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.682) or (AAA028K15_AnnotatedGenome.CDS.772)	Imidazole acetaldehyde:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd03052[c0] + (1) cpd00001[c0] + (1) cpd00003[c0] => (2) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd01831[c0]
rxn05372_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.576) or (AAA028K15_AnnotatedGenome.CDS.540)	10-methyl-3-oxo-dodecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11508[c0] + (1) cpd00005[c0] <=> (1) cpd11509[c0] + (1) cpd00006[c0]
rxn02949_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.605) or (AAA028K15_AnnotatedGenome.CDS.527)	(S)-3-Hydroxyisobutyryl-CoA hydro-lyase_c0	Unknown	Unknown	None	(1) cpd02187[c0] + (1) cpd00001[c0] <=> (1) cpd03572[c0]
rxn10225_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.641	isohexadecanoyl-phosphatidate cytidylyltransferase_c0	Unknown	Unknown	None	(1) cpd15682[c0] + (1) cpd00052[c0] <=> (1) cpd15688[c0] + (1) cpd00012[c0]
rxn00929_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.466	L-Proline:NAD+ 5-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00129[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd02431[c0]
