id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	AAA044O16_AnnotatedGenome.CDS.2243	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn00541_c0	<=>	c0	AAA044O16_AnnotatedGenome.CDS.2644	L-Threonine acetaldehyde-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] <=> (1) cpd00071[c0] + (1) cpd00033[c0]
rxn01199_c0	<=>	c0	AAA044O16_AnnotatedGenome.CDS.2640	ATP:D-xylulose 5-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00198[c0] + (1) cpd00008[c0]
rxn10215_c0	=>	c0	(AAA044O16_AnnotatedGenome.CDS.2505) or (AAA044O16_AnnotatedGenome.CDS.2522) or (AAA044O16_AnnotatedGenome.CDS.2444)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn00802_c0	<=>	c0	AAA044O16_AnnotatedGenome.CDS.1469	N-(L-Argininosuccinate) arginie-lyase_c0	Unknown	Unknown	None	(1) cpd02152[c0] <=> (1) cpd00106[c0] + (1) cpd00051[c0]
rxn03638_c0	=>	c0	(AAA044O16_AnnotatedGenome.CDS.2046) and (AAA044O16_AnnotatedGenome.CDS.2046)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn06078_c0	=>	c0	(AAA044O16_AnnotatedGenome.CDS.1739) or (AAA044O16_AnnotatedGenome.CDS.1967)	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn00868_c0	<=	c0	(AAA044O16_AnnotatedGenome.CDS.2058) or (AAA044O16_AnnotatedGenome.CDS.1914)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn12636_c0	<=>	c0	(AAA044O16_AnnotatedGenome.CDS.2787) or (AAA044O16_AnnotatedGenome.CDS.2531) or (AAA044O16_AnnotatedGenome.CDS.2702)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(AAA044O16_AnnotatedGenome.CDS.2702) or (AAA044O16_AnnotatedGenome.CDS.2787) or (AAA044O16_AnnotatedGenome.CDS.2531)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn01387_c0	<=>	c0	AAA044O16_AnnotatedGenome.CDS.2738	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	((AAA044O16_AnnotatedGenome.CDS.1423) or (AAA044O16_AnnotatedGenome.CDS.2202)) or ((AAA044O16_AnnotatedGenome.CDS.2763) or (AAA044O16_AnnotatedGenome.CDS.1425)) or ((AAA044O16_AnnotatedGenome.CDS.1900) or (AAA044O16_AnnotatedGenome.CDS.2765) or (AAA044O16_AnnotatedGenome.CDS.2200) or (AAA044O16_AnnotatedGenome.CDS.1427)) or ((AAA044O16_AnnotatedGenome.CDS.2764) or (AAA044O16_AnnotatedGenome.CDS.1424) or (AAA044O16_AnnotatedGenome.CDS.2199)) or ((AAA044O16_AnnotatedGenome.CDS.1901) or (AAA044O16_AnnotatedGenome.CDS.2766) or (AAA044O16_AnnotatedGenome.CDS.2201) or (AAA044O16_AnnotatedGenome.CDS.1426))	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn03910_c0	<=>	c0	AAA044O16_AnnotatedGenome.CDS.2099	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn05616_c0	<=>	c0	AAA044O16_AnnotatedGenome.CDS.2155	magnesium transport in/out via permease (no H+)_c0	Unknown	Unknown	None	(1) cpd00254[c0] <=> (1) cpd00254[e0]
rxn08527_c0	<=>	c0	((AAA044O16_AnnotatedGenome.CDS.2364) and (AAA044O16_AnnotatedGenome.CDS.2363)) or (() and () and () and () and () and (AAA044O16_AnnotatedGenome.CDS.1925)) or (AAA044O16_AnnotatedGenome.CDS.2363)	fumarate reductase_c0	Unknown	Unknown	None	(1) cpd00106[c0] + (1) cpd15499[c0] <=> (1) cpd00036[c0] + (1) cpd15500[c0]
rxn02212_c0	=>	c0	AAA044O16_AnnotatedGenome.CDS.2600	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd02857[c0] => (1) cpd00067[c0] + (1) cpd00699[c0] + (1) cpd00009[c0]
rxn03419_c0	<=>	c0	AAA044O16_AnnotatedGenome.CDS.1960	Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd03518[c0] <=> (1) cpd00067[c0] + (1) cpd03519[c0] + (1) cpd00047[c0]
rxn02160_c0	=>	c0	AAA044O16_AnnotatedGenome.CDS.1995	L-Histidinol-phosphate phosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00807[c0] => (1) cpd00641[c0] + (1) cpd00067[c0] + (1) cpd00009[c0]
rxn10125_c0	<=>	c0	(AAA044O16_AnnotatedGenome.CDS.1715) and ((AAA044O16_AnnotatedGenome.CDS.1716) or (AAA044O16_AnnotatedGenome.CDS.1717))	NAD(P) transhydrogenase_c0	Unknown	Unknown	None	(2) cpd00067[e0] + (1) cpd00006[c0] + (1) cpd00004[c0] <=> (2) cpd00067[c0] + (1) cpd00003[c0] + (1) cpd00005[c0]
