id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	BIN_15.genome.CDS.2623	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn01199_c0	<=>	c0	BIN_15.genome.CDS.3430	ATP:D-xylulose 5-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00198[c0] + (1) cpd00008[c0]
rxn10215_c0	=>	c0	(BIN_15.genome.CDS.3164) or (BIN_15.genome.CDS.2817)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn00802_c0	<=>	c0	(BIN_15.genome.CDS.2851) or (BIN_15.genome.CDS.3244)	N-(L-Argininosuccinate) arginie-lyase_c0	Unknown	Unknown	None	(1) cpd02152[c0] <=> (1) cpd00106[c0] + (1) cpd00051[c0]
rxn03638_c0	=>	c0	(BIN_15.genome.CDS.2647) and (BIN_15.genome.CDS.2647)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn00868_c0	<=	c0	(BIN_15.genome.CDS.1965) or (BIN_15.genome.CDS.2304) or (BIN_15.genome.CDS.2150) or (BIN_15.genome.CDS.2145) or (BIN_15.genome.CDS.3582) or (BIN_15.genome.CDS.1891) or (BIN_15.genome.CDS.2282)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn01675_c0	<=>	c0	(BIN_15.genome.CDS.3340) or (BIN_15.genome.CDS.3316) or (BIN_15.genome.CDS.1508)	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	Unknown	Unknown	None	(1) cpd00357[c0] + (1) cpd00089[c0] <=> (1) cpd00626[c0] + (1) cpd00012[c0]
rxn12636_c0	<=>	c0	(BIN_15.genome.CDS.2004) or ((BIN_15.genome.CDS.1791) or (BIN_15.genome.CDS.1767)) or (BIN_15.genome.CDS.3201)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(BIN_15.genome.CDS.2004) or ((BIN_15.genome.CDS.1791) or (BIN_15.genome.CDS.1767)) or (BIN_15.genome.CDS.3201)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(BIN_15.genome.CDS.2442) or ((BIN_15.genome.CDS.2891) or (BIN_15.genome.CDS.1950)) or (BIN_15.genome.CDS.2871)	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	BIN_15.genome.CDS.3080	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	(BIN_15.genome.CDS.2785) or (BIN_15.genome.CDS.3211) or (BIN_15.genome.CDS.2786) or (BIN_15.genome.CDS.3210) or (BIN_15.genome.CDS.3212)	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn05544_c0	=>	c0	(BIN_15.genome.CDS.2442) or ((BIN_15.genome.CDS.2891) or (BIN_15.genome.CDS.1950)) or (BIN_15.genome.CDS.2871)	Dipeptide transport via ABC system (ala-leu)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11583[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11583[c0]
rxn03910_c0	<=>	c0	BIN_15.genome.CDS.2287	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn05616_c0	<=>	c0	BIN_15.genome.CDS.2918	magnesium transport in/out via permease (no H+)_c0	Unknown	Unknown	None	(1) cpd00254[c0] <=> (1) cpd00254[e0]
rxn00816_c0	<=>	c0	(BIN_15.genome.CDS.1968) or (BIN_15.genome.CDS.2627) or (BIN_15.genome.CDS.1917)	Lactose galactohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00208[c0] <=> (1) cpd00027[c0] + (1) cpd00108[c0]
rxn08527_c0	<=>	c0	((BIN_15.genome.CDS.3507) and (BIN_15.genome.CDS.3508)) or (BIN_15.genome.CDS.3508)	fumarate reductase_c0	Unknown	Unknown	None	(1) cpd00106[c0] + (1) cpd15499[c0] <=> (1) cpd00036[c0] + (1) cpd15500[c0]
rxn12848_c0	=>	c0	(BIN_15.genome.CDS.2442) or ((BIN_15.genome.CDS.2891) or (BIN_15.genome.CDS.1950)) or (BIN_15.genome.CDS.2871)	Gly-Cys ABC transporters_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd15603[e0] + (1) cpd00001[c0] => (1) cpd15603[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn08471_c0	=>	c0	BIN_15.genome.CDS.3503	FMNH2-dependent monooxygenase (sulfoacetate)_c0	Unknown	Unknown	None	(1) cpd09878[c0] + (1) cpd01270[c0] + (1) cpd00007[c0] => (1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00081[c0] + (1) cpd00050[c0]
rxn02212_c0	=>	c0	BIN_15.genome.CDS.2001	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd02857[c0] => (1) cpd00067[c0] + (1) cpd00699[c0] + (1) cpd00009[c0]
rxn05408_c0	<=>	c0	BIN_15.genome.CDS.3007	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
rxn10304_c0	<=>	c0	BIN_15.genome.CDS.1901	isopentadecanoyl-lipoteichoic acid synthesis (n=24), linked, glucose substituted_c0	Unknown	Unknown	None	(1) cpd15752[c0] + (24) cpd00026[c0] <=> (1) cpd15761[c0] + (24) cpd00014[c0]
