id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	MEint11576.genome.CDS.1516	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn00541_c0	<=>	c0	MEint11576.genome.CDS.1306	L-Threonine acetaldehyde-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] <=> (1) cpd00071[c0] + (1) cpd00033[c0]
rxn01199_c0	<=>	c0	MEint11576.genome.CDS.1580	ATP:D-xylulose 5-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00259[c0] <=> (1) cpd00198[c0] + (1) cpd00008[c0]
rxn10215_c0	=>	c0	(MEint11576.genome.CDS.2367) or (MEint11576.genome.CDS.2009)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn03638_c0	=>	c0	(MEint11576.genome.CDS.1872) and (MEint11576.genome.CDS.1872)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn00868_c0	<=	c0	(MEint11576.genome.CDS.2224) or (MEint11576.genome.CDS.1631) or (MEint11576.genome.CDS.2618) or (MEint11576.genome.CDS.1741) or (MEint11576.genome.CDS.1984)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn01675_c0	<=>	c0	MEint11576.genome.CDS.1817	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	Unknown	Unknown	None	(1) cpd00357[c0] + (1) cpd00089[c0] <=> (1) cpd00626[c0] + (1) cpd00012[c0]
rxn12636_c0	<=>	c0	(MEint11576.genome.CDS.1799) or (MEint11576.genome.CDS.2320) or (MEint11576.genome.CDS.1842)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(MEint11576.genome.CDS.1799) or (MEint11576.genome.CDS.2320) or (MEint11576.genome.CDS.1842)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	((MEint11576.genome.CDS.1320) or (MEint11576.genome.CDS.2251)) or ((MEint11576.genome.CDS.2254) or (MEint11576.genome.CDS.1458) or (MEint11576.genome.CDS.1549)) or ((MEint11576.genome.CDS.1321) or (MEint11576.genome.CDS.2250) or (MEint11576.genome.CDS.1546)) or ((MEint11576.genome.CDS.1547) or (MEint11576.genome.CDS.2252))	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	MEint11576.genome.CDS.2514	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	(MEint11576.genome.CDS.2362) or ((MEint11576.genome.CDS.1341) or (MEint11576.genome.CDS.2358)) or (MEint11576.genome.CDS.2360) or (MEint11576.genome.CDS.1342) or (MEint11576.genome.CDS.2359)	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn05544_c0	=>	c0	((MEint11576.genome.CDS.1320) or (MEint11576.genome.CDS.2251)) or ((MEint11576.genome.CDS.2254) or (MEint11576.genome.CDS.1458) or (MEint11576.genome.CDS.1549)) or ((MEint11576.genome.CDS.1321) or (MEint11576.genome.CDS.2250) or (MEint11576.genome.CDS.1546)) or ((MEint11576.genome.CDS.1547) or (MEint11576.genome.CDS.2252))	Dipeptide transport via ABC system (ala-leu)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11583[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11583[c0]
rxn03910_c0	<=>	c0	(MEint11576.genome.CDS.948) or (MEint11576.genome.CDS.1701)	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn08527_c0	<=>	c0	((MEint11576.genome.CDS.1438) and (MEint11576.genome.CDS.1437)) or (MEint11576.genome.CDS.1437)	fumarate reductase_c0	Unknown	Unknown	None	(1) cpd00106[c0] + (1) cpd15499[c0] <=> (1) cpd00036[c0] + (1) cpd15500[c0]
rxn12848_c0	=>	c0	((MEint11576.genome.CDS.1320) or (MEint11576.genome.CDS.2251)) or ((MEint11576.genome.CDS.2254) or (MEint11576.genome.CDS.1458) or (MEint11576.genome.CDS.1549)) or ((MEint11576.genome.CDS.1321) or (MEint11576.genome.CDS.2250) or (MEint11576.genome.CDS.1546)) or ((MEint11576.genome.CDS.1547) or (MEint11576.genome.CDS.2252))	Gly-Cys ABC transporters_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd15603[e0] + (1) cpd00001[c0] => (1) cpd15603[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn02212_c0	=>	c0	MEint11576.genome.CDS.1797	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd02857[c0] => (1) cpd00067[c0] + (1) cpd00699[c0] + (1) cpd00009[c0]
rxn03419_c0	<=>	c0	MEint11576.genome.CDS.1710	Formamidopyrimidine nucleoside triphosphate 7,8-8,9-dihydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd03518[c0] <=> (1) cpd00067[c0] + (1) cpd03519[c0] + (1) cpd00047[c0]
rxn05408_c0	<=>	c0	MEint11576.genome.CDS.2132	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
