id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn10215_c0	=>	c0	(acMicro-1.genome.CDS.1087) or (acMicro-1.genome.CDS.969)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn03638_c0	=>	c0	(acMicro-1.genome.CDS.1568) and (acMicro-1.genome.CDS.1568)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn08851_c0	<=>	c0	acMicro-1.genome.CDS.1300	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd15349[c0] <=> (1) cpd15269[c0] + (1) cpd00067[c0] + (1) cpd02090[c0]
rxn12636_c0	<=>	c0	((acMicro-1.genome.CDS.1450) or (acMicro-1.genome.CDS.1104)) or (acMicro-1.genome.CDS.1667)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(acMicro-1.genome.CDS.1667) or ((acMicro-1.genome.CDS.1450) or (acMicro-1.genome.CDS.1104))	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn08800_c0	<=>	c0	acMicro-1.genome.CDS.1300	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd15326[c0] <=> (1) cpd00067[c0] + (1) cpd15237[c0] + (1) cpd00080[c0]
rxn08823_c0	<=>	c0	acMicro-1.genome.CDS.1300	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)_c0	Unknown	Unknown	None	(1) cpd15357[c0] + (1) cpd00001[c0] <=> (1) cpd15269[c0] + (1) cpd00067[c0] + (1) cpd00080[c0]
rxn05391_c0	=>	c0	acMicro-1.genome.CDS.1140	7-methyl-trans-oct-2-enoyl-ACP:NADP+ oxidoreductase (A-specific)_c0	Unknown	Unknown	None	(1) cpd11527[c0] + (1) cpd00067[c0] + (1) cpd00005[c0] => (1) cpd00006[c0] + (1) cpd11528[c0]
rxn03061_c0	<=>	c0	acMicro-1.genome.CDS.1161	(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate hydro-lyase_c0	Unknown	Unknown	None	(1) cpd02799[c0] <=> (1) cpd02597[c0] + (1) cpd00001[c0]
rxn03910_c0	<=>	c0	acMicro-1.genome.CDS.1724	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn02345_c0	<=>	c0	(acMicro-1.genome.CDS.1159) or (acMicro-1.genome.CDS.1579)	(S)-3-Hydroxybutanoyl-CoA 3-epimerase_c0	Unknown	Unknown	None	(1) cpd00842[c0] <=> (1) cpd02234[c0]
rxn05408_c0	<=>	c0	acMicro-1.genome.CDS.880	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
rxn05734_c0	<=>	c0	(acMicro-1.genome.CDS.1065) or (acMicro-1.genome.CDS.1661)	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn05422_c0	<=>	c0	(acMicro-1.genome.CDS.1611) or (acMicro-1.genome.CDS.1069) or (acMicro-1.genome.CDS.933) or (acMicro-1.genome.CDS.1467) or (acMicro-1.genome.CDS.1655)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11558[c0] + (1) cpd00005[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]
rxn05229_c0	=>	c0	(acMicro-1.genome.CDS.1521) and (acMicro-1.genome.CDS.1520)	NCAIR synthetase and NCAIR mutase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02140[c0] + (1) cpd00242[c0] => (1) cpd02893[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
