Metabolite,Outer Weight,Inner Weight
cpd11539_c,1.0,1.0
cpd11514_c,1.0,1.0
cpd00074_c,1.0,1.0
cpd10515_e,1.0,1.0
cpd11433_c,1.0,1.0
cpd00493_c,1.0,1.0
cpd11825_c,1.0,1.0
cpd00434_c,1.0,1.0
cpd15239_c,1.0,1.0
cpd02484_c,1.0,1.0
cpd11572_c,1.0,1.0
cpd04097_c,1.0,1.0
cpd11438_c,1.0,1.0
cpd15277_c,1.0,1.0
cpd11436_c,1.0,1.0
cpd11531_c,1.0,1.0
cpd00251_c,1.0,1.0
cpd00822_c,1.0,1.0
cpd15294_c,1.0,1.0
cpd00867_c,1.0,1.0
cpd00905_c,1.0,1.0
cpd11475_c,1.0,1.0
cpd11430_c,1.0,1.0
cpd02197_c,1.0,1.0
cpd00782_c,1.0,1.0
cpd11510_c,1.0,1.0
cpd11548_c,1.0,1.0
cpd11543_c,1.0,1.0
cpd11431_c,1.0,1.0
cpd04122_c,1.0,1.0
cpd00742_c,1.0,1.0
cpd03560_c,1.0,1.0
cpd11471_c,1.0,1.0
cpd11502_c,1.0,1.0
cpd11473_c,1.0,1.0
cpd11568_c,1.0,1.0
cpd02230_c,1.0,1.0
cpd02724_c,1.0,1.0
cpd11560_c,1.0,1.0
cpd03052_c,1.0,1.0
cpd11506_c,1.0,1.0
cpd11523_c,1.0,1.0
cpd11564_c,1.0,1.0
cpd00044_c,1.0,1.0
cpd11535_c,1.0,1.0
cpd00531_c,1.0,1.0
cpd11469_c,1.0,1.0
cpd11518_c,1.0,1.0
cpd11527_c,1.0,1.0
cpd11498_c,1.0,1.0
cpd02135_c,1.0,1.0
cpd11467_c,1.0,1.0
cpd11440_c,1.0,1.0
cpd11465_c,1.0,1.0
cpd11556_c,1.0,1.0
cpd08449_c,1.0,1.0
cpd11477_c,1.0,1.0
cpd15268_c,1.0,1.0
cpd11552_c,1.0,1.0
