Metabolite,Outer Weight,Inner Weight
cpd09812_c,1.0,1.0
cpd11539_c,1.0,1.0
cpd11514_c,1.0,1.0
cpd15606_e,1.0,1.0
cpd11590_e,1.0,1.0
cpd15604_e,1.0,1.0
cpd11433_c,1.0,1.0
cpd00493_c,1.0,1.0
cpd11592_e,1.0,1.0
cpd15672_c,1.0,1.0
cpd11640_c,1.0,1.0
cpd00654_c,1.0,1.0
cpd15239_c,1.0,1.0
cpd02484_c,1.0,1.0
cpd15605_e,1.0,1.0
cpd01017_e,1.0,1.0
cpd00224_e,1.0,1.0
cpd03048_e,1.0,1.0
cpd00599_c,1.0,1.0
cpd00156_e,1.0,1.0
cpd08023_e,1.0,1.0
cpd04097_c,1.0,1.0
cpd11438_c,1.0,1.0
cpd00118_e,1.0,1.0
cpd15338_c,1.0,1.0
cpd03487_c,1.0,1.0
cpd11436_c,1.0,1.0
cpd00478_c,1.0,1.0
cpd01150_c,1.0,1.0
cpd00492_c,1.0,1.0
cpd11440_c,1.0,1.0
cpd11471_c,1.0,1.0
cpd00251_c,1.0,1.0
cpd03708_c,1.0,1.0
cpd15294_c,1.0,1.0
cpd11477_c,1.0,1.0
cpd00378_c,1.0,1.0
cpd11475_c,1.0,1.0
cpd11430_c,1.0,1.0
cpd00337_c,1.0,1.0
cpd00142_c,1.0,1.0
cpd03560_c,1.0,1.0
cpd00729_c,1.0,1.0
cpd15277_c,1.0,1.0
cpd02197_c,1.0,1.0
cpd11580_e,1.0,1.0
cpd11583_e,1.0,1.0
cpd01587_c,1.0,1.0
cpd11587_e,1.0,1.0
cpd11581_e,1.0,1.0
cpd00395_e,1.0,1.0
cpd11548_c,1.0,1.0
cpd02857_c,1.0,1.0
cpd11585_e,1.0,1.0
cpd11467_c,1.0,1.0
cpd11589_e,1.0,1.0
cpd01133_c,1.0,1.0
cpd01242_e,1.0,1.0
cpd00340_c,1.0,1.0
cpd11543_c,1.0,1.0
cpd11531_c,1.0,1.0
cpd00179_c,1.0,1.0
cpd00080_e,1.0,1.0
cpd04122_c,1.0,1.0
cpd00158_c,1.0,1.0
cpd00322_e,1.0,1.0
cpd11582_e,1.0,1.0
cpd11502_c,1.0,1.0
cpd11586_e,1.0,1.0
cpd00210_e,1.0,1.0
cpd03200_c,1.0,1.0
cpd11431_c,1.0,1.0
cpd11473_c,1.0,1.0
cpd11568_c,1.0,1.0
cpd00673_c,1.0,1.0
cpd00434_c,1.0,1.0
cpd03451_c,1.0,1.0
cpd11588_e,1.0,1.0
cpd15330_c,1.0,1.0
cpd00107_e,1.0,1.0
cpd11584_e,1.0,1.0
cpd15674_c,1.0,1.0
cpd00247_c,1.0,1.0
cpd02230_c,1.0,1.0
cpd11527_c,1.0,1.0
cpd02724_c,1.0,1.0
cpd11572_c,1.0,1.0
cpd11560_c,1.0,1.0
cpd03052_c,1.0,1.0
cpd02045_c,1.0,1.0
cpd11523_c,1.0,1.0
cpd11564_c,1.0,1.0
cpd11535_c,1.0,1.0
cpd11596_e,1.0,1.0
cpd09806_c,1.0,1.0
cpd00042_c,1.0,1.0
cpd11825_c,1.0,1.0
cpd00540_e,1.0,1.0
cpd00822_c,1.0,1.0
cpd00531_c,1.0,1.0
cpd01973_c,1.0,1.0
cpd11469_c,1.0,1.0
cpd03491_c,1.0,1.0
cpd15671_c,1.0,1.0
cpd02279_c,1.0,1.0
cpd15362_c,1.0,1.0
cpd15345_c,1.0,1.0
cpd00507_c,1.0,1.0
cpd03734_c,1.0,1.0
cpd11498_c,1.0,1.0
cpd11575_e,1.0,1.0
cpd00727_c,1.0,1.0
cpd03444_c,1.0,1.0
cpd00765_c,1.0,1.0
cpd11591_e,1.0,1.0
cpd11510_c,1.0,1.0
cpd15603_e,1.0,1.0
cpd00854_c,1.0,1.0
cpd11465_c,1.0,1.0
cpd00956_c,1.0,1.0
cpd15675_c,1.0,1.0
cpd00268_e,1.0,1.0
cpd11556_c,1.0,1.0
cpd11593_e,1.0,1.0
cpd09791_c,1.0,1.0
cpd11579_e,1.0,1.0
cpd00030_e,1.0,1.0
cpd09878_e,1.0,1.0
cpd15268_c,1.0,1.0
cpd15673_c,1.0,1.0
cpd00567_c,1.0,1.0
cpd15676_c,1.0,1.0
cpd11506_c,1.0,1.0
cpd11578_e,1.0,1.0
cpd00154_e,1.0,1.0
cpd11552_c,1.0,1.0
cpd11518_c,1.0,1.0
cpd00264_e,1.0,1.0
cpd01747_c,1.0,1.0
cpd06707_c,1.0,1.0
