Metabolite,Outer Weight,Inner Weight
cpd11514_c,1.0,1.0
cpd03447_c,1.0,1.0
cpd11539_c,1.0,1.0
cpd15606_e,1.0,1.0
cpd00074_c,1.0,1.0
cpd11590_e,1.0,1.0
cpd15604_e,1.0,1.0
cpd10515_e,1.0,1.0
cpd11433_c,1.0,1.0
cpd00493_c,1.0,1.0
cpd00550_c,1.0,1.0
cpd11592_e,1.0,1.0
cpd11825_c,1.0,1.0
cpd00179_c,0.5,0.5
cpd00794_c,0.5,0.5
cpd15237_c,1.0,1.0
cpd00268_c,1.0,1.0
cpd12115_c,1.0,1.0
cpd15239_c,1.0,1.0
cpd11440_c,1.0,1.0
cpd02484_c,1.0,1.0
cpd03560_c,1.0,1.0
cpd04097_c,1.0,1.0
cpd11438_c,1.0,1.0
cpd00809_c,1.0,1.0
cpd00531_c,1.0,1.0
cpd15277_c,1.0,1.0
cpd11436_c,1.0,1.0
cpd03706_c,1.0,1.0
cpd11502_c,1.0,1.0
cpd15294_c,1.0,1.0
cpd00867_c,1.0,1.0
cpd00378_c,1.0,1.0
cpd11475_c,1.0,1.0
cpd01157_c,1.0,1.0
cpd11430_c,1.0,1.0
cpd11535_c,1.0,1.0
cpd11580_e,1.0,1.0
cpd03052_c,1.0,1.0
cpd11583_e,1.0,1.0
cpd00782_c,1.0,1.0
cpd00196_c,1.0,1.0
cpd11587_e,1.0,1.0
cpd11581_e,1.0,1.0
cpd11548_c,1.0,1.0
cpd11585_e,1.0,1.0
cpd11589_e,1.0,1.0
cpd03584_c,1.0,1.0
cpd00340_c,1.0,1.0
cpd11543_c,1.0,1.0
cpd11531_c,1.0,1.0
cpd00403_c,1.0,1.0
cpd00532_c,1.0,1.0
cpd00635_e,1.0,1.0
cpd04122_c,1.0,1.0
cpd00423_e,1.0,1.0
cpd00742_c,1.0,1.0
cpd11582_e,1.0,1.0
cpd11471_c,1.0,1.0
cpd00214_c,1.0,1.0
cpd11586_e,1.0,1.0
cpd11431_c,1.0,1.0
cpd11473_c,1.0,1.0
cpd11568_c,1.0,1.0
cpd00822_c,1.0,1.0
cpd00434_c,1.0,1.0
cpd03451_c,1.0,1.0
cpd11588_e,1.0,1.0
cpd11584_e,1.0,1.0
cpd02230_c,1.0,1.0
cpd02724_c,1.0,1.0
cpd11572_c,1.0,1.0
cpd11560_c,1.0,1.0
cpd01150_c,1.0,1.0
cpd11506_c,1.0,1.0
cpd11523_c,1.0,1.0
cpd11564_c,1.0,1.0
cpd01080_c,1.0,1.0
cpd00875_c,1.0,1.0
cpd00905_c,1.0,1.0
cpd00044_c,1.0,1.0
cpd02197_c,1.0,1.0
cpd03424_e,1.0,1.0
cpd01973_c,1.0,1.0
cpd11469_c,1.0,1.0
cpd11518_c,1.0,1.0
cpd11527_c,1.0,1.0
cpd00507_c,1.0,1.0
cpd01017_e,1.0,1.0
cpd03734_c,1.0,1.0
cpd11498_c,1.0,1.0
cpd00908_c,1.0,1.0
cpd03847_c,1.0,1.0
cpd02135_c,1.0,1.0
cpd11591_e,1.0,1.0
cpd01012_c,1.0,1.0
cpd11510_c,1.0,1.0
cpd00205_e,1.0,1.0
cpd15603_e,1.0,1.0
cpd11467_c,1.0,1.0
cpd00817_c,1.0,1.0
cpd11465_c,1.0,1.0
cpd11556_c,1.0,1.0
cpd15269_c,1.0,1.0
cpd08449_c,1.0,1.0
cpd11593_e,1.0,1.0
cpd15605_e,1.0,1.0
cpd11477_c,1.0,1.0
cpd09410_c,1.0,1.0
cpd00158_c,1.0,1.0
cpd00030_e,1.0,1.0
cpd15268_c,1.0,1.0
cpd11552_c,1.0,1.0
cpd00251_c,1.0,1.0
cpd06707_c,1.0,1.0
cpd02828_c,1.0,1.0
cpd01747_c,1.0,1.0
cpd02090_c,1.0,1.0
