id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	AAA027D23.genome.CDS.1525	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn00541_c0	<=>	c0	AAA027D23.genome.CDS.2046	L-Threonine acetaldehyde-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] <=> (1) cpd00071[c0] + (1) cpd00033[c0]
rxn03638_c0	=>	c0	(AAA027D23.genome.CDS.1365) and (AAA027D23.genome.CDS.1365)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn00868_c0	<=	c0	AAA027D23.genome.CDS.1547	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn12636_c0	<=>	c0	(AAA027D23.genome.CDS.1233) or (AAA027D23.genome.CDS.1122)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(AAA027D23.genome.CDS.1233) or (AAA027D23.genome.CDS.1122)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(AAA027D23.genome.CDS.1535) or ((AAA027D23.genome.CDS.1632) or (AAA027D23.genome.CDS.1266)) or ((AAA027D23.genome.CDS.1630) or (AAA027D23.genome.CDS.580) or (AAA027D23.genome.CDS.1802)) or ((AAA027D23.genome.CDS.1538) or (AAA027D23.genome.CDS.1267) or (AAA027D23.genome.CDS.1633)) or ((AAA027D23.genome.CDS.1265) or (AAA027D23.genome.CDS.1800))	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn01387_c0	<=>	c0	AAA027D23.genome.CDS.1590	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn05168_c0	=>	c0	(AAA027D23.genome.CDS.1986) or ((AAA027D23.genome.CDS.1988) or (AAA027D23.genome.CDS.1453)) or (AAA027D23.genome.CDS.1454) or ((AAA027D23.genome.CDS.1989) or (AAA027D23.genome.CDS.2127))	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn00433_c0	=>	c0	((AAA027D23.genome.CDS.1911) or (AAA027D23.genome.CDS.1791) or (AAA027D23.genome.CDS.2011)) and ((AAA027D23.genome.CDS.2165) or (AAA027D23.genome.CDS.1480))	Sarcosine:oxygen oxidoreductase (demethylating)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00183[c0] + (1) cpd00007[c0] => (1) cpd00055[c0] + (1) cpd00025[c0] + (1) cpd00033[c0]
rxn05544_c0	=>	c0	(AAA027D23.genome.CDS.1535) or ((AAA027D23.genome.CDS.1632) or (AAA027D23.genome.CDS.1266)) or ((AAA027D23.genome.CDS.1630) or (AAA027D23.genome.CDS.580) or (AAA027D23.genome.CDS.1802)) or ((AAA027D23.genome.CDS.1538) or (AAA027D23.genome.CDS.1267) or (AAA027D23.genome.CDS.1633)) or ((AAA027D23.genome.CDS.1265) or (AAA027D23.genome.CDS.1800))	Dipeptide transport via ABC system (ala-leu)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11583[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11583[c0]
rxn05549_c0	=>	c0	() and (AAA027D23.genome.CDS.2090) and () and ()	Deoxyribose transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd01242[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd01242[c0] + (1) cpd00008[c0]
rxn03910_c0	<=>	c0	AAA027D23.genome.CDS.2186	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn08527_c0	<=>	c0	((AAA027D23.genome.CDS.1597) and (AAA027D23.genome.CDS.1596)) or (AAA027D23.genome.CDS.1596)	fumarate reductase_c0	Unknown	Unknown	None	(1) cpd00106[c0] + (1) cpd15499[c0] <=> (1) cpd00036[c0] + (1) cpd15500[c0]
rxn12848_c0	=>	c0	(AAA027D23.genome.CDS.1535) or ((AAA027D23.genome.CDS.1632) or (AAA027D23.genome.CDS.1266)) or ((AAA027D23.genome.CDS.1630) or (AAA027D23.genome.CDS.580) or (AAA027D23.genome.CDS.1802)) or ((AAA027D23.genome.CDS.1538) or (AAA027D23.genome.CDS.1267) or (AAA027D23.genome.CDS.1633)) or ((AAA027D23.genome.CDS.1265) or (AAA027D23.genome.CDS.1800))	Gly-Cys ABC transporters_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd15603[e0] + (1) cpd00001[c0] => (1) cpd15603[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn02212_c0	=>	c0	AAA027D23.genome.CDS.1231	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd02857[c0] => (1) cpd00067[c0] + (1) cpd00699[c0] + (1) cpd00009[c0]
rxn05408_c0	<=>	c0	(AAA027D23.genome.CDS.1904) or (AAA027D23.genome.CDS.1688)	2-methylpropionyl-CoA:[acyl-carrier-protein] transferase_c0	Unknown	Unknown	None	(1) cpd11493[c0] + (1) cpd00481[c0] <=> (1) cpd00010[c0] + (1) cpd11545[c0]
rxn02160_c0	=>	c0	AAA027D23.genome.CDS.1294	L-Histidinol-phosphate phosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00807[c0] => (1) cpd00641[c0] + (1) cpd00067[c0] + (1) cpd00009[c0]
rxn10125_c0	<=>	c0	(AAA027D23.genome.CDS.2110) and ((AAA027D23.genome.CDS.2112) or (AAA027D23.genome.CDS.2111))	NAD(P) transhydrogenase_c0	Unknown	Unknown	None	(2) cpd00067[e0] + (1) cpd00006[c0] + (1) cpd00004[c0] <=> (2) cpd00067[c0] + (1) cpd00003[c0] + (1) cpd00005[c0]
rxn00497_c0	=>	c0	AAA027D23.genome.CDS.1599	L-Phenylalanine carboxy-lyase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00066[c0] => (1) cpd03161[c0] + (1) cpd00011[c0]
rxn01923_c0	=>	c0	AAA027D23.genome.CDS.1547	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00481[c0] + (1) cpd00007[c0] => (2) cpd02187[c0] + (2) cpd00001[c0]
rxn00248_c0	<=>	c0	AAA027D23.genome.CDS.1589	(S)-malate:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00130[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00032[c0] + (1) cpd00004[c0]
rxn05734_c0	<=>	c0	(AAA027D23.genome.CDS.1976) or (AAA027D23.genome.CDS.1806) or (AAA027D23.genome.CDS.2075) or (AAA027D23.genome.CDS.1333)	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn01302_c0	<=>	c0	AAA027D23.genome.CDS.1467	L-Homoserine:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00227[c0] <=> (1) cpd00067[c0] + (1) cpd00346[c0] + (1) cpd00005[c0]
