id	name	formula	charge	aliases
cpd00067	H+	H	1	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00001	H2O	H2O	0	
cpd00009	Phosphate	HO4P	-2	
cpd11576	L-methionine R-oxide	C5H11NO3S	0	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd11493	ACP	C11H21N2O7PRS	-1	
cpd11476	hexadecanoyl-acp	C27H51N2O8PRS	-1	
cpd00011	CO2	CO2	0	
cpd11492	Malonyl-acyl-carrierprotein-	C14H22N2O10PRS	-2	
cpd11570	3-Oxooctodecanoyl-ACP	C29H53N2O9PRS	-1	
cpd11464	Butyryl-ACP	C15H27N2O8PRS	-1	
cpd11486	3-Oxohexanoyl-[acp]	C17H29N2O9PRS	-1	
cpd00358	dUTP	C9H12N2O14P3	-3	
cpd00978	dUDP	C9H12N2O11P2	-2	
cpd03831	ADP-L-glycero-D-manno-heptose	C17H25N5O16P2	-2	
cpd03830	ADP-D-glycero-D-manno-heptose	C17H25N5O16P2	-2	
cpd11472	Hexanoyl-ACP	C17H31N2O8PRS	-1	
cpd11490	3-oxooctanoyl-acp	C19H33N2O9PRS	-1	
cpd00012	PPi	H2O7P2	-2	
cpd04920	D-Glycero-D-manno-heptose1-phosphate	C7H14O10P	-1	
cpd11532	9-methyl-decanoyl-ACP	C22H41N2O8PRS	-1	
cpd11533	11-methyl-3-oxo-dodecanoyl-ACP	C24H43N2O9PRS	-1	
cpd17041	Protein biosynthesis		0	
cpd11499	4-methyl-hexanoyl-ACP	C18H33N2O8PRS	-1	
cpd11500	6-methyl-3-oxo-octanoyl-ACP	C20H35N2O9PRS	-1	
cpd11496	4-methyl-3-oxo-hexanoyl-ACP	C18H31N2O9PRS	-1	
cpd11495	2-methylbutyryl-ACP	C16H29N2O8PRS	-1	
cpd00014	UDP	C9H12N2O12P2	-2	
cpd00062	UTP	C9H12N2O15P3	-3	
cpd00521	dTDP-4-oxo-6-deoxy-D-glucose	C16H22N2O15P2	-2	
cpd00626	dTDPglucose	C16H24N2O16P2	-2	
cpd00060	L-Methionine	C5H11NO2S	0	
cpd11503	6-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd11504	8-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd17042	DNA replication		0	
cpd00177	dADP	C10H13N5O9P2	-2	
cpd00115	dATP	C10H13N5O12P3	-3	
cpd11554	8-methyl-3-oxo-nonanoyl-ACP	C21H37N2O9PRS	-1	
cpd11553	6-methyl-heptanoyl-ACP	C19H35N2O8PRS	-1	
cpd00096	CDP	C9H13N3O11P2	-2	
cpd00052	CTP	C9H13N3O14P3	-3	
cpd11557	8-methyl-nonanoyl-ACP	C21H39N2O8PRS	-1	
cpd11558	10-methyl-3-oxo-undecanoyl-ACP	C23H41N2O9PRS	-1	
cpd00299	dUMP	C9H12N2O8P	-1	
cpd11529	9-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd11528	7-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd00533	dCDP	C9H13N3O10P2	-2	
cpd00356	dCTP	C9H13N3O13P3	-3	
cpd00175	UDP-N-acetyl-D-galactosamine	C17H25N3O17P2	-2	
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	
cpd11468	Dodecanoyl-ACP	C23H43N2O8PRS	-1	
cpd11491	3-oxotetradecanoyl-acp	C25H45N2O9PRS	-1	
cpd11420	trdox	C6H7NO2R2S2	0	
cpd11421	trdrd	C6H9NO2R2S2	0	
cpd00025	H2O2	H2O2	0	
cpd17043	RNA transcription		0	
cpd00900	GDP-4-dehydro-D-rhamnose	C16H21N5O15P2	-2	
cpd00083	GDP-mannose	C16H23N5O16P2	-2	
cpd00068	ITP	C10H12N4O14P3	-3	
cpd00090	IDP	C10H12N4O11P2	-2	
cpd10515	Fe2+	Fe	2	
cpd11550	6-methyl-3-oxo-heptanoyl-ACP	C19H33N2O9PRS	-1	
cpd11549	4-methyl-pentanoyl-ACP	C17H31N2O8PRS	-1	
