id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn05614_c0	=>	c0	(AAA028C09.genome.CDS.540) and () and ()	L-methionine R-oxide transport via ABC system_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11576[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd11576[c0] + (1) cpd00008[c0]
rxn05145_c0	<=>	c0	() and (AAA028C09.genome.CDS.471) and (AAA028C09.genome.CDS.470) and ()	Orthophosphate-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00009[e0] <=> (1) cpd00067[c0] + (2) cpd00009[c0] + (1) cpd00008[c0]
rxn05460_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	3-Oxooctodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11476[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11570[c0]
rxn05346_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]_c0	Unknown	Unknown	None	(1) cpd11464[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11486[c0]
rxn01678_c0	<=>	c0	AAA028C09.genome.CDS.565	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00978[c0] <=> (1) cpd00358[c0] + (1) cpd00008[c0]
rxn03511_c0	<=>	c0	AAA028C09.genome.CDS.655	ADP-D-glycero-D-manno-heptose 6-epimerase_c0	Unknown	Unknown	None	(1) cpd03830[c0] <=> (1) cpd03831[c0]
rxn05350_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11472[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11490[c0]
rxn03916_c0	<=>	c0	AAA028C09.genome.CDS.653	D-glycero-D-manno-hepose 1-phosphate adenyltransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd04920[c0] <=> (1) cpd03830[c0] + (1) cpd00012[c0]
rxn05396_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	9-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11532[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11533[c0]
rxn13782_c0	=>	c0	() and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and (AAA028C09.genome.CDS.568) and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and ()	Protein biosynthesis_c0	Unknown	Unknown	None	 => (1) cpd17041[c0]
rxn05363_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	4-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11492[c0] + (1) cpd11499[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11500[c0]
rxn05359_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	4-methyl-3-oxo-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11495[c0] + (1) cpd11492[c0] => (1) cpd11496[c0] + (1) cpd11493[c0] + (1) cpd00011[c0]
rxn00117_c0	<=>	c0	AAA028C09.genome.CDS.565	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00014[c0] <=> (1) cpd00062[c0] + (1) cpd00008[c0]
rxn01997_c0	=>	c0	AAA028C09.genome.CDS.526	dTDPglucose 4,6-hydro-lyase_c0	Unknown	Unknown	None	(1) cpd00626[c0] => (1) cpd00521[c0] + (1) cpd00001[c0]
rxn05219_c0	=>	c0	(AAA028C09.genome.CDS.540) and () and ()	L-Methionine ABC transport_c0	Unknown	Unknown	None	(1) cpd00060[e0] + (1) cpd00002[c0] + (1) cpd00001[c0] => (1) cpd00067[c0] + (1) cpd00060[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn05367_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	6-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11503[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11504[c0]
rxn13783_c0	=>	c0	() and () and () and () and () and () and (AAA028C09.genome.CDS.452) and () and () and () and () and () and () and () and () and () and () and () and () and (AAA028C09.genome.CDS.373) and () and (AAA028C09.genome.CDS.372) and ()	DNA replication_c0	Unknown	Unknown	None	 => (1) cpd17042[c0]
rxn00839_c0	<=>	c0	AAA028C09.genome.CDS.565	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00177[c0] <=> (1) cpd00115[c0] + (1) cpd00008[c0]
rxn05417_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	6-methyl-heptanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11492[c0] + (1) cpd11553[c0] => (1) cpd11554[c0] + (1) cpd11493[c0] + (1) cpd00011[c0]
rxn00409_c0	<=>	c0	AAA028C09.genome.CDS.565	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00096[c0] <=> (1) cpd00008[c0] + (1) cpd00052[c0]
rxn05421_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	8-methyl-nonanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11557[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd11558[c0] + (1) cpd00011[c0]
rxn01519_c0	=>	c0	AAA028C09.genome.CDS.394	dUTP nucleotidohydrolase_c0	Unknown	Unknown	None	(1) cpd00358[c0] + (1) cpd00001[c0] => (1) cpd00012[c0] + (1) cpd00299[c0]
rxn05392_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11492[c0] + (1) cpd11528[c0] => (1) cpd11529[c0] + (1) cpd11493[c0] + (1) cpd00011[c0]
rxn01673_c0	<=>	c0	AAA028C09.genome.CDS.565	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00356[c0] + (1) cpd00008[c0]
rxn00295_c0	<=>	c0	(AAA028C09.genome.CDS.502) or (AAA028C09.genome.CDS.545)	UDP-N-acetyl-D-glucosamine 4-epimerase_c0	Unknown	Unknown	None	(1) cpd00037[c0] <=> (1) cpd00175[c0]
rxn05345_c0	=>	c0	(AAA028C09.genome.CDS.505) and ()	dodecanoyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein]_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11492[c0] + (1) cpd11468[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11491[c0]
rxn09296_c0	=>	c0	AAA028C09.genome.CDS.522	hydrogen peroxide reductase (thioredoxin)_c0	Unknown	Unknown	None	(1) cpd11421[c0] + (1) cpd00025[c0] => (1) cpd11420[c0] + (2) cpd00001[c0]
rxn13784_c0	=>	c0	() and () and (AAA028C09.genome.CDS.449) and () and () and () and () and () and () and () and () and () and ()	RNA transcription_c0	Unknown	Unknown	None	 => (1) cpd17043[c0]
