id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	acAcidi.genome.CDS.4733	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn00541_c0	<=>	c0	(acAcidi.genome.CDS.2826) or (acAcidi.genome.CDS.4971) or (acAcidi.genome.CDS.3999) or (acAcidi.genome.CDS.2827)	L-Threonine acetaldehyde-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] <=> (1) cpd00071[c0] + (1) cpd00033[c0]
rxn10215_c0	=>	c0	(acAcidi.genome.CDS.3890) or (acAcidi.genome.CDS.4184) or (acAcidi.genome.CDS.3925) or (acAcidi.genome.CDS.5667) or (acAcidi.genome.CDS.5294) or (acAcidi.genome.CDS.3843) or (acAcidi.genome.CDS.3125)	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn03638_c0	=>	c0	(acAcidi.genome.CDS.3017) and (acAcidi.genome.CDS.3017)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn06078_c0	=>	c0	acAcidi.genome.CDS.4561	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn00868_c0	<=	c0	(acAcidi.genome.CDS.4517) or (acAcidi.genome.CDS.5161) or (acAcidi.genome.CDS.4490) or (acAcidi.genome.CDS.3688) or (acAcidi.genome.CDS.5568) or (acAcidi.genome.CDS.3696) or (acAcidi.genome.CDS.5196) or (acAcidi.genome.CDS.4360) or (acAcidi.genome.CDS.4797) or (acAcidi.genome.CDS.5163) or (acAcidi.genome.CDS.4377) or (acAcidi.genome.CDS.2952)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn12636_c0	<=>	c0	(acAcidi.genome.CDS.4535) or (acAcidi.genome.CDS.3911) or (acAcidi.genome.CDS.4580) or (acAcidi.genome.CDS.3803)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(acAcidi.genome.CDS.4535) or (acAcidi.genome.CDS.3911) or (acAcidi.genome.CDS.4580) or (acAcidi.genome.CDS.3803)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn05536_c0	=>	c0	(acAcidi.genome.CDS.3875) or (acAcidi.genome.CDS.5613) or (acAcidi.genome.CDS.3872)	Dipeptide transport via ABC system (met-ala)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd11590[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd11590[c0]
rxn05168_c0	=>	c0	(acAcidi.genome.CDS.5298) or ((acAcidi.genome.CDS.3614) or (acAcidi.genome.CDS.5301)) or ((acAcidi.genome.CDS.3616) or (acAcidi.genome.CDS.5299)) or ((acAcidi.genome.CDS.3615) or (acAcidi.genome.CDS.5302)) or ((acAcidi.genome.CDS.5300) or (acAcidi.genome.CDS.3617))	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
