'ID,Lineage,Clade,Tribe,Color
FNEB6-bin-1,acI,acI-B,Unknown,b
FNEB6-bin-2,acI,acI-B,Unknown,b
FNEB6-bin-3,acI,acI-B,Unknown,b
FNEB6-bin-4,acIII,Unknown,Unknown,g
FNEB6-bin-6,Bacteroidetes,Unknown,Unknown,m
FNEB6-bin-10,Alphaproteobacteria,Unknown,Unknown,k
FNEB7-bin-1,acI,acI-B,Unknown,b
FNEB7-bin-2,acI,acI-B,Unknown,b
FNEB7-bin-3,Spirochaetes,Unknown,Unknown,y
FNEB7-bin-4,acIII,Unknown,Unknown,g
FNED7-bin-1,acI,acI-B,Unknown,b
FNED7-bin-2,acI,acI-B,Unknown,b
FNED7-bin-3,acIII,Unknown,Unknown,g
FNED7-bin-5,acI,acI-B,Unknown,b
FNED7-bin-6,acI,acI-B,Unknown,b
FNED7-bin-7,acI,acI-B,Unknown,b
FNED7-bin-9,acI,acI-B,Unknown,b
FNEF8-bin_6_1,Pnec,PnecC,Unknown,r
FNEF8-bin_7,acI,acI-B,Unknown,b
FNEF8-bin_25_2,Bacteroidetes,Unknown,Unknown,m
FNEF8-bin_29_2,acIII,Unknown,Unknown,g
FSW8-bin-1,Acidimicrobiales,Unknown,Unknown,c
FSW8-bin-2,acI,acI-B,Unknown,b
FSW8-bin-3,acI,acI-B,Unknown,b
TBE6-bin-01,acI,acI-B,Unknown,b
TBE6-bin-02,Spirochaetes,Unknown,Unknown,y
TBE6-bin-03,Pnec,Unknown,Unknown,r
TBE6-bin-05,acI,acI-B,Unknown,b
TBE6-bin-10,Pnec,Unknown,Unknown,r
