id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn02201_c0	=>	c0	FNEB7-bin-3.genome.CDS.4272	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0	Unknown	Unknown	None	(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]
rxn00351_c0	=>	c0	FNEB7-bin-3.genome.CDS.7082	gamma-L-glutamyl-L-cysteine:glycine ligase (ADP-forming)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00033[c0] + (1) cpd00506[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00042[c0] + (1) cpd00067[c0]
rxn00836_c0	<=	c0	FNEB7-bin-3.genome.CDS.4349	IMP:diphosphate phospho-D-ribosyltransferase_c0	Unknown	Unknown	None	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00114[c0] <= (1) cpd00103[c0] + (1) cpd00226[c0]
rxn08180_c0	=>	c0	FNEB7-bin-3.genome.CDS.5824	Biotin synthase_c0	Unknown	Unknown	None	(1) cpd00017[c0] + (1) cpd00074[c0] + (1) cpd01311[c0] => (1) cpd00060[c0] + (1) cpd00067[c0] + (1) cpd00104[c0] + (1) cpd03091[c0]
rxn11567_c0	<=>	c0	FNEB7-bin-3.genome.CDS.5169	beta-D-Galactosyl-1,4-beta-D-glucosylceramide galactohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00947[c0] <=> (1) cpd00108[c0] + (1) cpd00878[c0]
rxn00423_c0	=>	c0	(FNEB7-bin-3.genome.CDS.4862) or (FNEB7-bin-3.genome.CDS.5160)	acetyl-CoA:L-serine O-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd00022[c0] + (1) cpd00054[c0] => (1) cpd00010[c0] + (1) cpd00722[c0]
rxn00364_c0	<=>	c0	FNEB7-bin-3.genome.CDS.5668	ATP:CMP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00046[c0] + (1) cpd00067[c0] <=> (1) cpd00008[c0] + (1) cpd00096[c0]
rxn03408_c0	<=>	c0	FNEB7-bin-3.genome.CDS.4039	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0	Unknown	Unknown	None	(1) cpd00037[c0] + (1) cpd03494[c0] <=> (1) cpd00014[c0] + (1) cpd03495[c0]
rxn05250_c0	=>	c0	(FNEB7-bin-3.genome.CDS.4162) or (FNEB7-bin-3.genome.CDS.6620) or (FNEB7-bin-3.genome.CDS.5438) or (FNEB7-bin-3.genome.CDS.6066) or (FNEB7-bin-3.genome.CDS.4482) or (FNEB7-bin-3.genome.CDS.3918)	FACOAL160(ISO)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]
rxn00646_c0	=>	c0	FNEB7-bin-3.genome.CDS.7083	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00023[c0] + (1) cpd00084[c0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd00506[c0]
rxn00935_c0	<=>	c0	FNEB7-bin-3.genome.CDS.4579	(S)-Malate:(acceptor) oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00015[c0] + (1) cpd00067[c0] + (1) cpd00130[c0] <=> (1) cpd00032[c0] + (1) cpd00982[c0]
rxn01673_c0	<=>	c0	FNEB7-bin-3.genome.CDS.5118	ATP:dCDP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]
rxn00247_c0	=>	c0	FNEB7-bin-3.genome.CDS.6460	ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00032[c0] => (1) cpd00008[c0] + (1) cpd00011[c0] + (1) cpd00061[c0]
rxn02342_c0	<=>	c0	(FNEB7-bin-3.genome.CDS.7052) and (FNEB7-bin-3.genome.CDS.7053)	R03270_c0	Unknown	Unknown	None	(1) cpd00213[c0] + (1) cpd03049[c0] <=> (1) cpd00056[c0] + (1) cpd00836[c0]
rxn10311_c0	<=>	c0	FNEB7-bin-3.genome.CDS.4842	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0	Unknown	Unknown	None	(24) cpd00037[c0] + (1) cpd15750[c0] <=> (24) cpd00014[c0] + (1) cpd15768[c0]
rxn00642_c0	=>	c0	(FNEB7-bin-3.genome.CDS.5066) or (FNEB7-bin-3.genome.CDS.4251)	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	Unknown	Unknown	None	(1) cpd00083[c0] => (1) cpd00001[c0] + (1) cpd00900[c0]
