id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn02201_c0	=>	c0	FNED7-bin-5.genome.CDS.2118	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0	Unknown	Unknown	None	(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]
rxn00423_c0	=>	c0	(FNED7-bin-5.genome.CDS.1837) or (FNED7-bin-5.genome.CDS.1838)	acetyl-CoA:L-serine O-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd00022[c0] + (1) cpd00054[c0] => (1) cpd00010[c0] + (1) cpd00722[c0]
rxn05250_c0	=>	c0	FNED7-bin-5.genome.CDS.2213	FACOAL160(ISO)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]
rxn01673_c0	<=>	c0	FNED7-bin-5.genome.CDS.1760	ATP:dCDP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]
rxn02342_c0	<=>	c0	(FNED7-bin-5.genome.CDS.2286) or (FNED7-bin-5.genome.CDS.1133) or (FNED7-bin-5.genome.CDS.1039) or (FNED7-bin-5.genome.CDS.1132)	R03270_c0	Unknown	Unknown	None	(1) cpd00213[c0] + (1) cpd03049[c0] <=> (1) cpd00056[c0] + (1) cpd00836[c0]
rxn10311_c0	<=>	c0	(FNED7-bin-5.genome.CDS.1364) or (FNED7-bin-5.genome.CDS.1566) or (FNED7-bin-5.genome.CDS.1462)	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0	Unknown	Unknown	None	(24) cpd00037[c0] + (1) cpd15750[c0] <=> (24) cpd00014[c0] + (1) cpd15768[c0]
rxn00973_c0	<=>	c0	() and () and () and () and ((FNED7-bin-5.genome.CDS.1008) or (FNED7-bin-5.genome.CDS.2253) or (FNED7-bin-5.genome.CDS.2224))	citrate hydroxymutase_c0	Unknown	Unknown	None	(1) cpd00137[c0] <=> (1) cpd00260[c0]
rxn03120_c0	<=>	c0	FNED7-bin-5.genome.CDS.1683	UDP-apiose:apigenin 7-O-beta-D-glucoside 2''-O-beta-D-apiofuranosyltransferase_c0	Unknown	Unknown	None	(1) cpd01140[c0] + (1) cpd02807[c0] <=> (1) cpd00014[c0] + (1) cpd02952[c0]
rxn04271_c0	<=>	c0	FNED7-bin-5.genome.CDS.1522	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd08739[c0] <=> (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd08740[c0]
rxn13783_c0	=>	c0	((FNED7-bin-5.genome.CDS.2084) or (FNED7-bin-5.genome.CDS.1985)) and (FNED7-bin-5.genome.CDS.1660) and (FNED7-bin-5.genome.CDS.1865) and () and () and () and ((FNED7-bin-5.genome.CDS.1659) or (FNED7-bin-5.genome.CDS.1658)) and () and () and () and () and (FNED7-bin-5.genome.CDS.1188) and () and (FNED7-bin-5.genome.CDS.1227) and () and () and ((FNED7-bin-5.genome.CDS.2086) or (FNED7-bin-5.genome.CDS.1879) or (FNED7-bin-5.genome.CDS.1963) or (FNED7-bin-5.genome.CDS.1988)) and (FNED7-bin-5.genome.CDS.2141) and ((FNED7-bin-5.genome.CDS.1513) or (FNED7-bin-5.genome.CDS.1800)) and () and () and () and (FNED7-bin-5.genome.CDS.1228)	DNA replication_c0	Unknown	Unknown	None	 => (1) cpd17042[c0]
