id	name	formula	charge	aliases
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	
cpd03494	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	
cpd00014	UDP	C9H12N2O12P2	-2	
cpd03495	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00010	CoA	C21H32N7O16P3S	-4	
cpd11440	fa6	C16H31O2	-1	
cpd00012	PPi	HO7P2	-3	
cpd00018	AMP	C10H12N5O7P	-2	
cpd11441	fa6coa	C37H63N7O17P3S	-3	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd00067	H+	H	1	
cpd11527	7-methyl-trans-oct-2-enoyl-ACP	C20H35N2O8PRS	-1	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd11528	7-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd00533	dCDP	C9H13N3O10P2	-2	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00356	dCTP	C9H13N3O13P3	-3	
cpd00007	O2	O2	0	
cpd00483	3-Hydroxyanthranilate	C7H6NO3	-1	
cpd00025	H2O2	H2O2	0	
cpd00532	O2-	O2	-1	
cpd03351	Cinnavalininate	C14H6N2O6	-2	
cpd17042	DNA replication	null	0	
cpd00001	H2O	H2O	0	
cpd11589	gly-asp-L	C6H9N2O5	-1	
cpd00033	Glycine	C2H5NO2	0	
cpd00041	L-Aspartate	C4H6NO4	-1	
cpd02519	Guanidinoethyl methyl phosphate	C4H12N3O4P	0	
cpd02744	N'-Phosphoguanidinoethyl methyl phosphate	C4H11N3O7P2	-2	
cpd00026	UDP-glucose	C15H22N2O17P2	-2	
cpd00144	UDPglucuronate	C15H19N2O18P2	-3	
cpd02168	Prephytoene diphosphate	C40H66O7P2	-2	
cpd03211	15-cis-Phytoene	C40H64	0	
cpd00070	Malonyl-CoA	C24H33N7O19P3S	-5	
cpd00093	Anthranilate	C7H6NO2	-1	
cpd02014	N-Malonylanthranilate	C10H7NO5	-2	
cpd00011	CO2	CO2	0	
cpd03349	5-Hydroxykynurenamine	C9H13N2O2	1	
cpd03362	5-Hydroxykynurenine	C10H12N2O4	0	
cpd00259	D-Lyxulose	C5H10O5	0	
cpd00198	D-Xylulose5-phosphate	C5H9O8P	-2	
cpd00072	D-fructose-6-phosphate	C6H11O9P	-2	
cpd00290	D-fructose-1,6-bisphosphate	C6H10O12P2	-4	
cpd00101	ribose-5-phosphate	C5H9O8P	-2	
cpd00847	Ribose 1,5-bisphosphate	C5H10O11P2	-2	
cpd00311	Guanosine	C10H13N5O5	0	
cpd00013	NH3	H4N	1	
cpd01217	Xanthosine	C10H12N4O6	0	
cpd00024	2-Oxoglutarate	C5H4O5	-2	
cpd00807	L-histidinol-phosphate	C6H11N3O4P	-1	
cpd00023	L-Glutamate	C5H8NO4	-1	
cpd00930	imidazole acetol-phosphate	C6H7N2O5P	-2	
cpd00118	Putrescine	C4H14N2	2	
cpd00264	Spermidine	C7H22N3	3	
cpd00726	1,3-Propanediamine	C3H12N2	2	
cpd03802	Homospermidine	C8H24N3	3	
cpd03246	Taurochenodeoxycholate	C26H44NO6S	-1	
cpd00210	Taurine	C2H7NO3S	0	
cpd01663	Chenodiol	C24H39O4	-1	
cpd11466	Myristoyl-ACP	C25H48N2O8PRS	-2	
cpd15331	1-tetradecanoyl-sn-glycerol 3-phosphate	C17H33O7P	-2	
cpd11493	ACP	C11H22N2O7PRS	-2	
cpd15522	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C31H60O8P	-1	
cpd00113	Isopentenyldiphosphate	C5H10O7P2	-2	
cpd00350	Farnesyldiphosphate	C15H26O7P2	-2	
cpd00289	Geranylgeranyl diphosphate	C20H34O7P2	-2	
cpd11543	15-methyl-trans-hexa-dec-2-enoyl-ACP	C28H51N2O8PRS	-1	
cpd11544	15-methyl-hexa-decanoyl-ACP	C28H53N2O8PRS	-2	
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	1	
cpd11767	tRNA uridine	C19H26N2O21P3R2	-3	
cpd00147	5-Methylthioadenosine	C11H15N5O3S	0	
cpd12564	tRNA 3-(3-amino-3-carboxypropyl)-uridine	C23H32N3O23P3R2	-4	
cpd00006	NADP	C21H25N7O17P3	-3	
cpd00345	5-Methyltetrahydrofolate	C20H23N7O6	-2	
cpd00005	NADPH	C21H26N7O17P3	-4	
cpd00125	5-10-Methylenetetrahydrofolate	C20H21N7O6	-2	
cpd02210	Indoleglycerol phosphate	C11H12NO6P	-2	
cpd00102	Glyceraldehyde3-phosphate	C3H5O6P	-2	
cpd00359	indol	C8H7N	0	
cpd11432	fa11coa	C38H65N7O17P3S	-3	
cpd15671	1-isoheptadecanoyl-sn-glycerol 3-phosphate	C20H40O7P	-1	
cpd15677	1,2-diisoheptadecanoyl-sn-glycerol 3-phosphate	C37H72O8P	-1	
cpd15605	Gly-Phe	C11H14N2O3	0	
cpd00066	L-Phenylalanine	C9H11NO2	0	
cpd01977	4-Phospho-L-aspartate	C4H6NO7P	-2	
cpd03205	Phytoene	C40H64	0	
cpd11502	6-methyl-trans-oct-2-enoyl-ACP	C20H35N2O8PRS	-1	
cpd11503	6-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd00788	N-Acetyl-beta-alanine	C5H8NO3	-1	
cpd00029	Acetate	C2H3O2	-1	
cpd00085	beta-Alanine	C3H7NO2	0	
cpd00242	H2CO3	CHO3	-1	
cpd12848	Holo-[carboxylase]	C17H27N5O4R2S	0	
cpd00009	Phosphate	HO4P	-2	
cpd12543	Carboxybiotin-carboxyl-carrier protein	C18H26N5O6R2S	-1	
