id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn03408_c0	<=>	c0	(FNED7-bin-7.genome.CDS.832) or (FNED7-bin-7.genome.CDS.831) or (FNED7-bin-7.genome.CDS.483)	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0	Unknown	Unknown	None	(1) cpd00037[c0] + (1) cpd03494[c0] <=> (1) cpd00014[c0] + (1) cpd03495[c0]
rxn05250_c0	=>	c0	FNED7-bin-7.genome.CDS.812	FACOAL160(ISO)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]
rxn05440_c0	=>	c0	FNED7-bin-7.genome.CDS.557	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0	Unknown	Unknown	None	(1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd11527[c0] => (1) cpd00003[c0] + (1) cpd11528[c0]
rxn01673_c0	<=>	c0	FNED7-bin-7.genome.CDS.800	ATP:dCDP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]
rxn11962_c0	<=>	c0	(FNED7-bin-7.genome.CDS.202) or (FNED7-bin-7.genome.CDS.629)	R02670_c0	Unknown	Unknown	None	(4) cpd00007[c0] + (2) cpd00483[c0] <=> (2) cpd00025[c0] + (2) cpd00067[c0] + (2) cpd00532[c0] + (1) cpd03351[c0]
rxn13783_c0	=>	c0	() and () and () and () and ((FNED7-bin-7.genome.CDS.686) or (FNED7-bin-7.genome.CDS.687)) and (FNED7-bin-7.genome.CDS.685) and (FNED7-bin-7.genome.CDS.681) and () and () and () and ((FNED7-bin-7.genome.CDS.844) or (FNED7-bin-7.genome.CDS.496)) and () and () and () and () and (FNED7-bin-7.genome.CDS.682) and () and () and () and () and () and () and ()	DNA replication_c0	Unknown	Unknown	None	 => (1) cpd17042[c0]
rxn12637_c0	<=>	c0	((FNED7-bin-7.genome.CDS.575) or (FNED7-bin-7.genome.CDS.576)) or (FNED7-bin-7.genome.CDS.422)	RXN0-6987.c_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11589[c0] <=> (1) cpd00033[c0] + (1) cpd00041[c0]
rxn03046_c0	<=>	c0	FNED7-bin-7.genome.CDS.639	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02519[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd02744[c0]
rxn00211_c0	<=>	c0	(FNED7-bin-7.genome.CDS.561) or (FNED7-bin-7.genome.CDS.569)	UDP-glucose:NAD+ 6-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (2) cpd00003[c0] + (1) cpd00026[c0] <=> (2) cpd00004[c0] + (3) cpd00067[c0] + (1) cpd00144[c0]
rxn02945_c0	=>	c0	FNED7-bin-7.genome.CDS.449	prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase_c0	Unknown	Unknown	None	(1) cpd02168[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd03211[c0]
