id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn02201_c0	=>	c0	FNEF8-bin_29_2.genome.CDS.2867	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0	Unknown	Unknown	None	(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]
rxn07431_c0	<=>	c0	(FNEF8-bin_29_2.genome.CDS.2607) and (FNEF8-bin_29_2.genome.CDS.2607)	R07600_c0	Unknown	Unknown	None	(1) cpd00213[c0] + (1) cpd14700[c0] <=> (1) cpd00056[c0] + (1) cpd02700[c0]
rxn00836_c0	<=	c0	FNEF8-bin_29_2.genome.CDS.2870	IMP:diphosphate phospho-D-ribosyltransferase_c0	Unknown	Unknown	None	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00114[c0] <= (1) cpd00103[c0] + (1) cpd00226[c0]
rxn00390_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.3867	N-Acyl-L-aspartate amidohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd01759[c0] <=> (1) cpd00041[c0] + (1) cpd00049[c0]
rxn11567_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.3686	beta-D-Galactosyl-1,4-beta-D-glucosylceramide galactohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00947[c0] <=> (1) cpd00108[c0] + (1) cpd00878[c0]
rxn00423_c0	=>	c0	FNEF8-bin_29_2.genome.CDS.2895	acetyl-CoA:L-serine O-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd00022[c0] + (1) cpd00054[c0] => (1) cpd00010[c0] + (1) cpd00722[c0]
rxn00364_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.3944	ATP:CMP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00046[c0] + (1) cpd00067[c0] <=> (1) cpd00008[c0] + (1) cpd00096[c0]
rxn05250_c0	=>	c0	(FNEF8-bin_29_2.genome.CDS.2949) or (FNEF8-bin_29_2.genome.CDS.4030) or (FNEF8-bin_29_2.genome.CDS.4016)	FACOAL160(ISO)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]
rxn00935_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.3889	(S)-Malate:(acceptor) oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00015[c0] + (1) cpd00067[c0] + (1) cpd00130[c0] <=> (1) cpd00032[c0] + (1) cpd00982[c0]
rxn01673_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.4653	ATP:dCDP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]
rxn05625_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.3075	nitrite transport in via proton symport, reversible_c0	Unknown	Unknown	None	(1) cpd00067[e0] + (1) cpd00075[e0] <=> (1) cpd00067[c0] + (1) cpd00075[c0]
rxn02360_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.3910	trans-4-Hydroxy-L-proline 2-epimerase_c0	Unknown	Unknown	None	(1) cpd00851[c0] <=> (1) cpd02175[c0]
rxn02342_c0	<=>	c0	(FNEF8-bin_29_2.genome.CDS.4370) or ((FNEF8-bin_29_2.genome.CDS.3023) and (FNEF8-bin_29_2.genome.CDS.3024))	R03270_c0	Unknown	Unknown	None	(1) cpd00213[c0] + (1) cpd03049[c0] <=> (1) cpd00056[c0] + (1) cpd00836[c0]
rxn10311_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.4484	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0	Unknown	Unknown	None	(24) cpd00037[c0] + (1) cpd15750[c0] <=> (24) cpd00014[c0] + (1) cpd15768[c0]
rxn01452_c0	<=>	c0	(FNEF8-bin_29_2.genome.CDS.3436) or (FNEF8-bin_29_2.genome.CDS.3436)	(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00842[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd00279[c0]
rxn00642_c0	=>	c0	FNEF8-bin_29_2.genome.CDS.3774	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	Unknown	Unknown	None	(1) cpd00083[c0] => (1) cpd00001[c0] + (1) cpd00900[c0]
rxn00022_c0	=>	c0	(FNEF8-bin_29_2.genome.CDS.3316) or (FNEF8-bin_29_2.genome.CDS.3317)	maltose glucohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00179[c0] => (2) cpd00027[c0]
rxn00973_c0	<=>	c0	() and (FNEF8-bin_29_2.genome.CDS.4260) and () and () and (FNEF8-bin_29_2.genome.CDS.4260)	citrate hydroxymutase_c0	Unknown	Unknown	None	(1) cpd00137[c0] <=> (1) cpd00260[c0]
rxn02000_c0	<=>	c0	FNEF8-bin_29_2.genome.CDS.3800	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0	Unknown	Unknown	None	(1) cpd00521[c0] <=> (1) cpd00522[c0]
rxn03239_c0	<=>	c0	((FNEF8-bin_29_2.genome.CDS.4257) and ()) or (FNEF8-bin_29_2.genome.CDS.4257)	(S)-3-Hydroxyhexadecanoyl-CoA:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd03113[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd03114[c0]
