id	name	formula	charge	aliases
cpd00012	PPi	HO7P2	-3	
cpd00067	H+	H	1	
cpd00114	IMP	C10H11N4O8P	-2	
cpd00103	PRPP	C5H9O14P3	-4	
cpd00226	HYXN	C5H4N4O	0	
cpd00001	H2O	H2O	0	
cpd00947	LacCer	C31H56NO13R	0	
cpd00108	Galactose	C6H12O6	0	
cpd00878	Glucocerebroside	C25H46NO8R	0	
cpd00022	Acetyl-CoA	C23H34N7O17P3S	-4	
cpd00054	L-Serine	C3H7NO3	0	
cpd00010	CoA	C21H32N7O16P3S	-4	
cpd00722	O-Acetyl-L-serine	C5H9NO4	0	
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	
cpd03494	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	
cpd00014	UDP	C9H12N2O12P2	-2	
cpd03495	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	
cpd00658	Isochorismate	C10H8O6	-2	
cpd00020	Pyruvate	C3H3O3	-1	
cpd02566	2,3-Dihydroxy-2,3-dihydrobenzoate	C7H7O4	-1	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd11440	fa6	C16H31O2	-1	
cpd00018	AMP	C10H12N5O7P	-2	
cpd11441	fa6coa	C37H63N7O17P3S	-3	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd11527	7-methyl-trans-oct-2-enoyl-ACP	C20H35N2O8PRS	-1	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd11528	7-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd00533	dCDP	C9H13N3O10P2	-2	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00356	dCTP	C9H13N3O13P3	-3	
cpd00851	trans-4-Hydroxy-L-proline	C5H9NO3	0	
cpd02175	cis-4-Hydroxy-D-proline	C5H9NO3	0	
cpd00213	Lipoamide	C8H15NOS2	0	
cpd03049	2-Hydroxyethyl-ThPP	C14H21N4O8P2S	-1	
cpd00056	TPP	C12H17N4O7P2S	-1	
cpd00836	S-Acetyldihydrolipoamide	C10H19NO2S2	0	
cpd15750	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C121H236O135P24	-24	
cpd15768	Anteisoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C313H548N24O255P24	-24	
cpd00083	GDP-mannose	C16H23N5O16P2	-2	
cpd00900	GDP-4-dehydro-D-rhamnose	C16H21N5O15P2	-2	
cpd00179	Maltose	C12H22O11	0	
cpd00027	D-Glucose	C6H12O6	0	
cpd00137	Citrate	C6H5O7	-3	
cpd00260	Isocitrate	C6H5O7	-3	
cpd00521	dTDP-4-oxo-6-deoxy-D-glucose	C16H22N2O15P2	-2	
cpd00522	dTDP-4-oxo-L-rhamnose	C16H22N2O15P2	-2	
cpd01140	UDP-apiose	C14H20N2O16P2	-2	
cpd02807	Cosmetin	C21H20O10	0	
cpd02952	Apiin	C26H28O14	0	
cpd00007	O2	O2	0	
cpd00483	3-Hydroxyanthranilate	C7H6NO3	-1	
cpd00025	H2O2	H2O2	0	
cpd00532	O2-	O2	-1	
cpd03351	Cinnavalininate	C14H6N2O6	-2	
cpd11466	Myristoyl-ACP	C25H48N2O8PRS	-2	
cpd01695	Myristoyl-CoA	C35H58N7O17P3S	-4	
cpd11493	ACP	C11H22N2O7PRS	-2	
cpd08739	trans-2-Methyl-5-isopropylhexa-2,5-dienal	C10H16O	0	
cpd08740	trans-2-Methyl-5-isopropylhexa-2,5-dienoic acid	C10H15O2	-1	
cpd17042	DNA replication	null	0	
cpd11640	H2	H2	0	
cpd15560	Ubiquinone-8	C49H74O4	0	
cpd15561	Ubiquinol-8	C49H76O4	0	
cpd11492	Malonyl-acyl-carrierprotein-	C14H24N2O10PRS	-2	
cpd00011	CO2	CO2	0	
cpd11529	9-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd02557	Farnesylfarnesylgeraniol	C40H66O7P2	-2	
cpd00113	Isopentenyldiphosphate	C5H10O7P2	-2	
cpd02590	all-trans-Heptaprenyl diphosphate	C35H58O7P2	-2	
