id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn12008_c0	<=	c0	PnecC-FNE-F8.genome.CDS.3020	rxn12008_c0	Unknown	Unknown	None	(1) cpd02557[c0] + (1) cpd00012[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn10215_c0	=>	c0	PnecC-FNE-F8.genome.CDS.3224	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15672[c0] + (1) cpd11434[c0] => (1) cpd15678[c0] + (1) cpd00010[c0]
rxn00802_c0	<=>	c0	PnecC-FNE-F8.genome.CDS.3661	N-(L-Argininosuccinate) arginie-lyase_c0	Unknown	Unknown	None	(1) cpd02152[c0] <=> (1) cpd00106[c0] + (1) cpd00051[c0]
rxn03638_c0	=>	c0	(PnecC-FNE-F8.genome.CDS.4215) and (PnecC-FNE-F8.genome.CDS.4215)	Acetyl-CoA:D-glucosamine-1-phosphate N-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd03671[c0] + (1) cpd00022[c0] => (1) cpd00067[c0] + (1) cpd02611[c0] + (1) cpd00010[c0]
rxn08851_c0	<=>	c0	(PnecC-FNE-F8.genome.CDS.3637) or (PnecC-FNE-F8.genome.CDS.4668) or (PnecC-FNE-F8.genome.CDS.4271)	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C18:1)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd15349[c0] <=> (1) cpd15269[c0] + (1) cpd00067[c0] + (1) cpd02090[c0]
rxn06078_c0	=>	c0	PnecC-FNE-F8.genome.CDS.2457	O-Acetyl-L-homoserine acetate-lyase (adding methanethiol)_c0	Unknown	Unknown	None	(1) cpd00790[c0] + (1) cpd00268[c0] + (1) cpd11421[c0] => (1) cpd11420[c0] + (1) cpd00135[c0] + (1) cpd00081[c0] + (1) cpd00029[c0]
rxn00868_c0	<=	c0	(PnecC-FNE-F8.genome.CDS.2783) or (PnecC-FNE-F8.genome.CDS.4337) or (PnecC-FNE-F8.genome.CDS.2780)	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00003[c0] + (1) cpd00120[c0] <= (1) cpd00067[c0] + (1) cpd00650[c0] + (1) cpd00004[c0]
rxn01675_c0	<=>	c0	PnecC-FNE-F8.genome.CDS.2837	dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase_c0	Unknown	Unknown	None	(1) cpd00357[c0] + (1) cpd00089[c0] <=> (1) cpd00626[c0] + (1) cpd00012[c0]
rxn12636_c0	<=>	c0	(PnecC-FNE-F8.genome.CDS.3405) or (PnecC-FNE-F8.genome.CDS.3618) or (PnecC-FNE-F8.genome.CDS.3674)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00001[c0] + (1) cpd11590[c0] <=> (1) cpd00060[c0] + (1) cpd00035[c0]
rxn12644_c0	<=>	c0	(PnecC-FNE-F8.genome.CDS.3674) or (PnecC-FNE-F8.genome.CDS.3405) or (PnecC-FNE-F8.genome.CDS.3618)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00161[c0] + (1) cpd00035[c0]
rxn08800_c0	<=>	c0	(PnecC-FNE-F8.genome.CDS.3637) or (PnecC-FNE-F8.genome.CDS.4668) or (PnecC-FNE-F8.genome.CDS.4271)	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd15326[c0] <=> (1) cpd00067[c0] + (1) cpd15237[c0] + (1) cpd00080[c0]
rxn06729_c0	=>	c0	PnecC-FNE-F8.genome.CDS.3392	(R)-3-Hydroxytetradecanoly-[acyl-carrier-protein]:UDP-N-acetyl-_c0	Unknown	Unknown	None	(1) cpd11484[c0] + (1) cpd00037[c0] => (1) cpd11493[c0] + (1) cpd02886[c0]
rxn01387_c0	<=>	c0	PnecC-FNE-F8.genome.CDS.3969	Isocitrate:NADP+ oxidoreductase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00260[c0] <=> (1) cpd00067[c0] + (1) cpd03187[c0] + (1) cpd00005[c0]
rxn08823_c0	<=>	c0	(PnecC-FNE-F8.genome.CDS.3637) or (PnecC-FNE-F8.genome.CDS.4668) or (PnecC-FNE-F8.genome.CDS.4271)	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)_c0	Unknown	Unknown	None	(1) cpd15357[c0] + (1) cpd00001[c0] <=> (1) cpd15269[c0] + (1) cpd00067[c0] + (1) cpd00080[c0]
rxn05168_c0	=>	c0	(PnecC-FNE-F8.genome.CDS.3958) or ((PnecC-FNE-F8.genome.CDS.2769) or (PnecC-FNE-F8.genome.CDS.4334) or (PnecC-FNE-F8.genome.CDS.4567)) or ((PnecC-FNE-F8.genome.CDS.2767) or (PnecC-FNE-F8.genome.CDS.3961) or (PnecC-FNE-F8.genome.CDS.3339) or (PnecC-FNE-F8.genome.CDS.4565) or (PnecC-FNE-F8.genome.CDS.4331)) or ((PnecC-FNE-F8.genome.CDS.2770) or (PnecC-FNE-F8.genome.CDS.4568) or (PnecC-FNE-F8.genome.CDS.3959) or (PnecC-FNE-F8.genome.CDS.1960)) or ((PnecC-FNE-F8.genome.CDS.2771) or (PnecC-FNE-F8.genome.CDS.4566) or (PnecC-FNE-F8.genome.CDS.3960))	L-Valine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00156[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0] + (1) cpd00156[c0]
rxn03910_c0	<=>	c0	PnecC-FNE-F8.genome.CDS.2986	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol_c0	Unknown	Unknown	None	(1) cpd08288[c0] <=> (1) cpd08301[c0] + (1) cpd00046[c0]
rxn05616_c0	<=>	c0	PnecC-FNE-F8.genome.CDS.2802	magnesium transport in/out via permease (no H+)_c0	Unknown	Unknown	None	(1) cpd00254[c0] <=> (1) cpd00254[e0]
