id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn02201_c0	=>	c0	TBE6-bin-01.genome.CDS.1955	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0	Unknown	Unknown	None	(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]
rxn07431_c0	<=>	c0	((TBE6-bin-01.genome.CDS.2519) or (TBE6-bin-01.genome.CDS.2520)) and ((TBE6-bin-01.genome.CDS.2520) or (TBE6-bin-01.genome.CDS.2519))	R07600_c0	Unknown	Unknown	None	(1) cpd00213[c0] + (1) cpd14700[c0] <=> (1) cpd00056[c0] + (1) cpd02700[c0]
rxn00836_c0	<=	c0	TBE6-bin-01.genome.CDS.2154	IMP:diphosphate phospho-D-ribosyltransferase_c0	Unknown	Unknown	None	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00114[c0] <= (1) cpd00103[c0] + (1) cpd00226[c0]
rxn00423_c0	=>	c0	TBE6-bin-01.genome.CDS.1917	acetyl-CoA:L-serine O-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd00022[c0] + (1) cpd00054[c0] => (1) cpd00010[c0] + (1) cpd00722[c0]
rxn10298_c0	<=>	c0	TBE6-bin-01.genome.CDS.1424	palmitoyl-lipoteichoic acid synthesis (n=24), linked, glucose substituted_c0	Unknown	Unknown	None	(24) cpd00026[c0] + (1) cpd15746[c0] <=> (24) cpd00014[c0] + (1) cpd15755[c0]
rxn00364_c0	<=>	c0	TBE6-bin-01.genome.CDS.1871	ATP:CMP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00046[c0] + (1) cpd00067[c0] <=> (1) cpd00008[c0] + (1) cpd00096[c0]
rxn03408_c0	<=>	c0	TBE6-bin-01.genome.CDS.1725	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0	Unknown	Unknown	None	(1) cpd00037[c0] + (1) cpd03494[c0] <=> (1) cpd00014[c0] + (1) cpd03495[c0]
rxn05250_c0	=>	c0	TBE6-bin-01.genome.CDS.1426	FACOAL160(ISO)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]
rxn05440_c0	=>	c0	TBE6-bin-01.genome.CDS.2082	7-methyl-trans-oct-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0	Unknown	Unknown	None	(1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd11527[c0] => (1) cpd00003[c0] + (1) cpd11528[c0]
rxn01673_c0	<=>	c0	TBE6-bin-01.genome.CDS.2399	ATP:dCDP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]
rxn02342_c0	<=>	c0	TBE6-bin-01.genome.CDS.1418	R03270_c0	Unknown	Unknown	None	(1) cpd00213[c0] + (1) cpd03049[c0] <=> (1) cpd00056[c0] + (1) cpd00836[c0]
rxn10311_c0	<=>	c0	TBE6-bin-01.genome.CDS.1846	anteisoheptadecanoyl-lipoteichoic acid synthesis (n=24), linked, N-acetylglucosamine substituted_c0	Unknown	Unknown	None	(24) cpd00037[c0] + (1) cpd15750[c0] <=> (24) cpd00014[c0] + (1) cpd15768[c0]
rxn00642_c0	=>	c0	TBE6-bin-01.genome.CDS.1615	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	Unknown	Unknown	None	(1) cpd00083[c0] => (1) cpd00001[c0] + (1) cpd00900[c0]
rxn00022_c0	=>	c0	(TBE6-bin-01.genome.CDS.1691) or (TBE6-bin-01.genome.CDS.2056)	maltose glucohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00179[c0] => (2) cpd00027[c0]
rxn00973_c0	<=>	c0	(TBE6-bin-01.genome.CDS.2642) and () and () and () and ()	citrate hydroxymutase_c0	Unknown	Unknown	None	(1) cpd00137[c0] <=> (1) cpd00260[c0]
