id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn02201_c0	=>	c0	TBE6-bin-02.genome.CDS.5741	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-diphosphate:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase_c0	Unknown	Unknown	None	(1) cpd00443[c0] + (1) cpd02920[c0] => (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00683[c0]
rxn00836_c0	<=	c0	(TBE6-bin-02.genome.CDS.5821) or (TBE6-bin-02.genome.CDS.3444)	IMP:diphosphate phospho-D-ribosyltransferase_c0	Unknown	Unknown	None	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd00114[c0] <= (1) cpd00103[c0] + (1) cpd00226[c0]
rxn11567_c0	<=>	c0	(TBE6-bin-02.genome.CDS.5421) or (TBE6-bin-02.genome.CDS.4561)	beta-D-Galactosyl-1,4-beta-D-glucosylceramide galactohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00947[c0] <=> (1) cpd00108[c0] + (1) cpd00878[c0]
rxn00423_c0	=>	c0	(TBE6-bin-02.genome.CDS.5288) or (TBE6-bin-02.genome.CDS.5993)	acetyl-CoA:L-serine O-acetyltransferase_c0	Unknown	Unknown	None	(1) cpd00022[c0] + (1) cpd00054[c0] => (1) cpd00010[c0] + (1) cpd00722[c0]
rxn00364_c0	<=>	c0	TBE6-bin-02.genome.CDS.3843	ATP:CMP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00046[c0] + (1) cpd00067[c0] <=> (1) cpd00008[c0] + (1) cpd00096[c0]
rxn03408_c0	<=>	c0	TBE6-bin-02.genome.CDS.3873	UDP-N-acetyl-D-glucosamine:undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine 4-beta-N-acetylglucosaminlytransferase_c0	Unknown	Unknown	None	(1) cpd00037[c0] + (1) cpd03494[c0] <=> (1) cpd00014[c0] + (1) cpd03495[c0]
rxn02177_c0	=>	c0	TBE6-bin-02.genome.CDS.6042	Isochorismate pyruvate-hydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00658[c0] => (1) cpd00020[c0] + (1) cpd02566[c0]
rxn05250_c0	=>	c0	(TBE6-bin-02.genome.CDS.6096) or (TBE6-bin-02.genome.CDS.5591) or (TBE6-bin-02.genome.CDS.4670)	FACOAL160(ISO)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11440[c0] => (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd11441[c0]
rxn01673_c0	<=>	c0	TBE6-bin-02.genome.CDS.4564	ATP:dCDP phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00533[c0] <=> (1) cpd00008[c0] + (1) cpd00356[c0]
rxn02342_c0	<=>	c0	(TBE6-bin-02.genome.CDS.6080) and (TBE6-bin-02.genome.CDS.6079)	R03270_c0	Unknown	Unknown	None	(1) cpd00213[c0] + (1) cpd03049[c0] <=> (1) cpd00056[c0] + (1) cpd00836[c0]
rxn00642_c0	=>	c0	TBE6-bin-02.genome.CDS.4642	GDP-mannose 4,6-hydro-lyase (GDP-4-dehydro-6-deoxy-D-mannose-forming)_c0	Unknown	Unknown	None	(1) cpd00083[c0] => (1) cpd00001[c0] + (1) cpd00900[c0]
rxn00022_c0	=>	c0	TBE6-bin-02.genome.CDS.4105	maltose glucohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00179[c0] => (2) cpd00027[c0]
rxn00973_c0	<=>	c0	() and () and (TBE6-bin-02.genome.CDS.4494) and () and ()	citrate hydroxymutase_c0	Unknown	Unknown	None	(1) cpd00137[c0] <=> (1) cpd00260[c0]
rxn02000_c0	<=>	c0	TBE6-bin-02.genome.CDS.4638	dTDP-4-dehydro-6-deoxy-D-glucose 3,5-epimerase_c0	Unknown	Unknown	None	(1) cpd00521[c0] <=> (1) cpd00522[c0]
rxn03120_c0	<=>	c0	TBE6-bin-02.genome.CDS.3947	UDP-apiose:apigenin 7-O-beta-D-glucoside 2''-O-beta-D-apiofuranosyltransferase_c0	Unknown	Unknown	None	(1) cpd01140[c0] + (1) cpd02807[c0] <=> (1) cpd00014[c0] + (1) cpd02952[c0]
rxn11962_c0	<=>	c0	(TBE6-bin-02.genome.CDS.5634) or (TBE6-bin-02.genome.CDS.5006)	R02670_c0	Unknown	Unknown	None	(4) cpd00007[c0] + (2) cpd00483[c0] <=> (2) cpd00025[c0] + (2) cpd00067[c0] + (2) cpd00532[c0] + (1) cpd03351[c0]
