id	name	formula	charge	aliases
cpd00443	ABEE	C7H6NO2	-1	
cpd02920	2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate	C7H9N5O8P2	-2	
cpd00012	PPi	HO7P2	-3	
cpd00067	H+	H	1	
cpd00683	Dihydropteroate	C14H13N6O3	-1	
cpd00002	ATP	C10H13N5O13P3	-3	
cpd00033	Glycine	C2H5NO2	0	
cpd00506	gamma-Glutamylcysteine	C8H13N2O5S	-1	
cpd00008	ADP	C10H13N5O10P2	-2	
cpd00009	Phosphate	HO4P	-2	
cpd00042	GSH	C10H16N3O6S	-1	
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	1	
cpd00074	S	S	0	
cpd01311	Dethiobiotin	C10H17N2O3	-1	
cpd00060	L-Methionine	C5H11NO2S	0	
cpd00104	BIOT	C10H15N2O3S	-1	
cpd03091	5'-Deoxyadenosine	C10H13N5O3	0	
cpd00046	CMP	C9H12N3O8P	-2	
cpd00096	CDP	C9H13N3O11P2	-2	
cpd00037	UDP-N-acetylglucosamine	C17H25N3O17P2	-2	
cpd03494	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	
cpd00014	UDP	C9H12N2O12P2	-2	
cpd03495	Undecaprenyl-diphospho-N-acetylmuramoyl--N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	
cpd00010	CoA	C21H32N7O16P3S	-4	
cpd11440	fa6	C16H31O2	-1	
cpd00018	AMP	C10H12N5O7P	-2	
cpd11441	fa6coa	C37H63N7O17P3S	-3	
cpd00004	NADH	C21H27N7O14P2	-2	
cpd11527	7-methyl-trans-oct-2-enoyl-ACP	C20H35N2O8PRS	-1	
cpd00003	NAD	C21H26N7O14P2	-1	
cpd11528	7-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd00533	dCDP	C9H13N3O10P2	-2	
cpd00356	dCTP	C9H13N3O13P3	-3	
cpd00213	Lipoamide	C8H15NOS2	0	
cpd03049	2-Hydroxyethyl-ThPP	C14H21N4O8P2S	-1	
cpd00056	TPP	C12H17N4O7P2S	-1	
cpd00836	S-Acetyldihydrolipoamide	C10H19NO2S2	0	
cpd00006	NADP	C21H25N7O17P3	-3	
cpd00842	(S)-3-Hydroxybutyryl-CoA	C25H38N7O18P3S	-4	
cpd00005	NADPH	C21H26N7O17P3	-4	
cpd00279	Acetoacetyl-CoA	C25H36N7O18P3S	-4	
cpd00137	Citrate	C6H5O7	-3	
cpd00260	Isocitrate	C6H5O7	-3	
cpd01140	UDP-apiose	C14H20N2O16P2	-2	
cpd02807	Cosmetin	C21H20O10	0	
cpd02952	Apiin	C26H28O14	0	
cpd00039	L-Lysine	C6H15N2O2	1	
cpd00011	CO2	CO2	0	
cpd01155	Cadaverine	C5H16N2	2	
cpd11466	Myristoyl-ACP	C25H48N2O8PRS	-2	
cpd01695	Myristoyl-CoA	C35H58N7O17P3S	-4	
cpd11493	ACP	C11H22N2O7PRS	-2	
cpd17042	DNA replication	null	0	
cpd11492	Malonyl-acyl-carrierprotein-	C14H24N2O10PRS	-2	
cpd11529	9-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd02557	Farnesylfarnesylgeraniol	C40H66O7P2	-2	
cpd00113	Isopentenyldiphosphate	C5H10O7P2	-2	
cpd02590	all-trans-Heptaprenyl diphosphate	C35H58O7P2	-2	
cpd08289	1-deoxy-D-xylulose5-phosphate	C5H9O7P	-2	
cpd08449	3-Amino-2-oxopropyl phosphate	C3H7NO5P	-1	
cpd00001	H2O	H2O	0	
cpd00478	Pyridoxine phosphate	C8H10NO6P	-2	
cpd00054	L-Serine	C3H7NO3	0	
cpd15688	CDP-1,2-diisohexadecanoylglycerol	C44H79N3O15P2	-2	
cpd15694	Diisohexadecanoylphosphatidylserine	C38H72NO10P	-2	
cpd15721	Diisohexadecanoylphosphatidylglycerophosphate	C38H74O13P2	-2	
cpd15727	Diisohexadecanoylphosphatidylglycerol	C38H74O10P	-1	
cpd11589	gly-asp-L	C6H9N2O5	-1	
cpd00041	L-Aspartate	C4H6NO4	-1	
cpd00206	dCMP	C9H12N3O7P	-2	
cpd00032	Oxaloacetate	C4H2O5	-2	
cpd00068	ITP	C10H12N4O14P3	-3	
cpd00061	Phosphoenolpyruvate	C3H2O6P	-3	
cpd00090	IDP	C10H12N4O11P2	-2	
cpd02375	Adenylosuccinate	C14H14N5O11P	-4	
cpd00106	Fumarate	C4H2O4	-2	
cpd00052	CTP	C9H13N3O14P3	-3	
cpd00084	L-Cysteine	C3H7NO2S	0	
cpd02201	4-phosphopantothenate	C9H15NO8P	-3	
cpd02666	(R)-4'-Phosphopantothenoyl-L-cysteine	C12H20N2O9PS	-3	
cpd00026	UDP-glucose	C15H22N2O17P2	-2	
cpd00144	UDPglucuronate	C15H19N2O18P2	-3	
cpd00070	Malonyl-CoA	C24H33N7O19P3S	-5	
cpd00093	Anthranilate	C7H6NO2	-1	
cpd02014	N-Malonylanthranilate	C10H7NO5	-2	
cpd00022	Acetyl-CoA	C23H34N7O17P3S	-4	
cpd00023	L-Glutamate	C5H8NO4	-1	
cpd00477	N-Acetyl-L-glutamate	C7H9NO5	-2	
cpd11503	6-methyl-octanoyl-ACP	C20H37N2O8PRS	-1	
cpd11504	8-methyl-3-oxo-decanoyl-ACP	C22H39N2O9PRS	-1	
cpd00311	Guanosine	C10H13N5O5	0	
cpd00013	NH3	H4N	1	
cpd01217	Xanthosine	C10H12N4O6	0	
cpd10554	2,2-Dichlorooxirane	C2H2OCl2	0	
cpd00099	Cl-	Cl	-1	
cpd10562	2-(S-Glutathionyl)acetyl chloride	C12H17N3O7SCl	-1	
cpd15540	Phosphatidylglycerol dioctadecanoyl	C42H82O10P	-1	
cpd00100	Glycerol	C3H8O3	0	
cpd15793	Stearoylcardiolipin (B. subtilis)	C81H156O17P2	-2	
cpd00024	2-Oxoglutarate	C5H4O5	-2	
cpd00807	L-histidinol-phosphate	C6H11N3O4P	-1	
cpd00930	imidazole acetol-phosphate	C6H7N2O5P	-2	
cpd03414	UroporphyrinogenI	C40H36N4O16	-8	
cpd03416	CoproporphyrinogenI	C36H40N4O8	-4	
cpd02961	Dihydroneopterin	C9H13N5O4	0	
cpd00229	Glycolaldehyde	C2H4O2	0	
cpd00954	6-hydroxymethyl dihydropterin	C7H9N5O2	0	
cpd00007	O2	O2	0	
cpd00025	H2O2	H2O2	0	
cpd11540	13-methyl-tetra-decanoyl-ACP	C26H49N2O8PRS	-2	
cpd11541	15-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1	
cpd00080	Glycerol-3-phosphate	C3H7O6P	-2	
cpd15686	CDP-1,2-diisopentadecanoylglycerol	C42H75N3O15P2	-2	
cpd15719	Diisopentadecanoylphosphatidylglycerophosphate	C36H70O13P2	-2	
cpd00982	FADH2	C27H33N9O15P2	-2	
cpd15560	Ubiquinone-8	C49H74O4	0	
cpd00015	FAD	C27H30N9O15P2	-3	
cpd15561	Ubiquinol-8	C49H76O4	0	
cpd11439	fa4coa	C36H61N7O17P3S	-3	
cpd15675	1-anteisopentadecanoyl-sn-glycerol 3-phosphate	C18H36O7P	-1	
cpd15682	1,2-diisohexadecanoyl-sn-glycerol 3-phosphate	C35H68O8P	-1	
cpd00112	CMP-N-acetylneuraminate	C20H29N4O16P	-2	
cpd03658	GT1a	C78H127N5O47R	-3	
cpd03659	GQ1	C89H143N6O55R	-4	
cpd00350	Farnesyldiphosphate	C15H26O7P2	-2	
cpd00289	Geranylgeranyl diphosphate	C20H34O7P2	-2	
cpd02498	2,3-Dihydroxy-isovalerate	C5H9O4	-1	
cpd00123	3-Methyl-2-oxobutanoate	C5H7O3	-1	
cpd11543	15-methyl-trans-hexa-dec-2-enoyl-ACP	C28H51N2O8PRS	-1	
cpd11544	15-methyl-hexa-decanoyl-ACP	C28H53N2O8PRS	-2	
cpd11432	fa11coa	C38H65N7O17P3S	-3	
cpd15671	1-isoheptadecanoyl-sn-glycerol 3-phosphate	C20H40O7P	-1	
cpd00171	D-Ribulose5-phosphate	C5H9O8P	-2	
cpd00047	Formate	CHO2	-1	
cpd11225	3-4-dihydroxy-2-butanone4-phosphate	C4H7O6P	-2	
cpd11536	11-methyl-dodecanoyl-ACP	C24H45N2O8PRS	-1	
cpd11537	13-methyl-3-oxo-tetra-decanoyl-ACP	C26H47N2O9PRS	-1	
cpd00342	N-Acetylornithine	C7H14N2O3	0	
cpd00064	Ornithine	C5H13N2O2	1	
cpd00585	Creatinine	C4H7N3O	0	
cpd01679	N-Methylhydantoin	C4H6N2O2	0	
cpd04806	Aldophosphamide	C7H15N2O3PCl2	0	
cpd08400	4-Glutathionyl cyclophosphamide	C17H29N5O8PSCl2	-1	
cpd15685	CDP-1,2-diisotetradecanoylglycerol	C40H71N3O15P2	-2	
cpd15691	Diisotetradecanoylphosphatidylserine	C34H64NO10P	-2	
cpd10484	(1S,2R)-Naphthalene epoxide	C10H8O	0	
cpd10490	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	C20H24N3O7S	-1	
cpd00817	D-Arabinose5-phosphate	C5H9O8P	-2	
cpd12232	Nucleoside phosphate	C5H9O7PR	-1	
cpd00354	NDP	C5H9O10P2R	-2	
cpd00162	Aminoethanol	C2H8NO	1	
cpd00071	Acetaldehyde	C2H4O	0	
cpd00810	Orotidylic acid	C10H10N2O11P	-3	
cpd00091	UMP	C9H11N2O9P	-2	
cpd02654	4-Methyl-5--2-phosphoethyl-thiazole	C6H8NO4PS	-2	
cpd02894	4-Amino-2-methyl-5-diphosphomethylpyrimidine	C6H9N3O7P2	-2	
cpd00793	Thiamine phosphate	C12H16N4O4PS	-1	
cpd00118	Putrescine	C4H14N2	2	
cpd00345	5-Methyltetrahydrofolate	C20H23N7O6	-2	
cpd00125	5-10-Methylenetetrahydrofolate	C20H21N7O6	-2	
cpd15308	1,2-Diacyl-sn-glycerol ditetradec-7-enoyl	C31H56O5	0	
cpd15523	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	C31H56O8P	-1	
cpd01030	Salicin	C13H18O7	0	
cpd00020	Pyruvate	C3H3O3	-1	
cpd03698	Salicin-6P	C13H17O10P	-2	
cpd15702	1,2-Dianteisoheptadecanoyl-sn-glycerol	C37H72O5	0	
cpd15678	1,2-dianteisoheptadecanoyl-sn-glycerol 3-phosphate	C37H72O8P	-1	
cpd11573	Octodecanoyl-ACP	C29H55N2O8PRS	-2	
cpd00327	strcoa	C39H66N7O17P3S	-4	
cpd11437	fa3coa	C36H61N7O17P3S	-3	
cpd02210	Indoleglycerol phosphate	C11H12NO6P	-2	
cpd00102	Glyceraldehyde3-phosphate	C3H5O6P	-2	
cpd00359	indol	C8H7N	0	
cpd12225	Dihydrolipolprotein	CH3RS2	0	
cpd12005	Lipoylprotein	CHRS2	0	
