AAA027M14.genome.CDS.1136,group00380
AAA027M14.genome.CDS.1451,group00665
AAA027M14.genome.CDS.1031,group07896
AAA027M14.genome.CDS.872,group00623
AAA027M14.genome.CDS.873,group04449
AAA027M14.genome.CDS.870,group00775
AAA027M14.genome.CDS.871,group00846
AAA027M14.genome.CDS.876,group00069
AAA027M14.genome.CDS.877,group01056
AAA027M14.genome.CDS.874,group00783
AAA027M14.genome.CDS.875,group04327
AAA027M14.genome.CDS.878,group00264
AAA027M14.genome.CDS.879,group00809
AAA027M14.genome.CDS.1229,group00286
AAA027M14.genome.CDS.1461,group00880
AAA027M14.genome.CDS.899,group06485
AAA027M14.genome.CDS.1463,group02270
AAA027M14.genome.CDS.1462,group00441
AAA027M14.genome.CDS.955,group05431
AAA027M14.genome.CDS.1464,group00332
AAA027M14.genome.CDS.1467,group00249
AAA027M14.genome.CDS.1466,group12593
AAA027M14.genome.CDS.1469,group00218
AAA027M14.genome.CDS.1468,group00401
AAA027M14.genome.CDS.892,group01077
AAA027M14.genome.CDS.893,group01673
AAA027M14.genome.CDS.894,group01137
AAA027M14.genome.CDS.895,group07014
AAA027M14.genome.CDS.896,group04115
AAA027M14.genome.CDS.897,group00510
AAA027M14.genome.CDS.1142,group05208
AAA027M14.genome.CDS.1415,group00650
AAA027M14.genome.CDS.1416,group00295
AAA027M14.genome.CDS.1141,group05403
AAA027M14.genome.CDS.1410,group00394
AAA027M14.genome.CDS.1147,group00040
AAA027M14.genome.CDS.1412,group00258
AAA027M14.genome.CDS.1413,group00386
AAA027M14.genome.CDS.1314,group04578
AAA027M14.genome.CDS.391,group00661
AAA027M14.genome.CDS.390,group01284
AAA027M14.genome.CDS.1418,group00105
AAA027M14.genome.CDS.1419,group00850
AAA027M14.genome.CDS.1384,group00804
AAA027M14.genome.CDS.1450,group00553
AAA027M14.genome.CDS.1386,group01130
AAA027M14.genome.CDS.1387,group00285
AAA027M14.genome.CDS.1380,group00103
AAA027M14.genome.CDS.1068,group00200
