acIB-AMD-6.genome.CDS.595,group00562
acIB-AMD-6.genome.CDS.594,group00721
acIB-AMD-6.genome.CDS.597,group05403
acIB-AMD-6.genome.CDS.596,group00564
acIB-AMD-6.genome.CDS.591,group00049
acIB-AMD-6.genome.CDS.590,group00049
acIB-AMD-6.genome.CDS.593,group00519
acIB-AMD-6.genome.CDS.592,group00586
acIB-AMD-6.genome.CDS.599,group00327
acIB-AMD-6.genome.CDS.598,group07147
acIB-AMD-6.genome.CDS.999,group00325
acIB-AMD-6.genome.CDS.851,group00112
acIB-AMD-6.genome.CDS.568,group00008
acIB-AMD-6.genome.CDS.569,group00931
acIB-AMD-6.genome.CDS.560,group00799
acIB-AMD-6.genome.CDS.561,group00679
acIB-AMD-6.genome.CDS.562,group00042
acIB-AMD-6.genome.CDS.563,group00744
acIB-AMD-6.genome.CDS.564,group00014
acIB-AMD-6.genome.CDS.565,group00703
acIB-AMD-6.genome.CDS.566,group00018
acIB-AMD-6.genome.CDS.567,group01033
acIB-AMD-6.genome.CDS.282,group03397
acIB-AMD-6.genome.CDS.608,group00134
acIB-AMD-6.genome.CDS.740,group00067
acIB-AMD-6.genome.CDS.991,group00783
acIB-AMD-6.genome.CDS.742,group00161
acIB-AMD-6.genome.CDS.967,group00658
acIB-AMD-6.genome.CDS.744,group00592
acIB-AMD-6.genome.CDS.961,group04475
acIB-AMD-6.genome.CDS.746,group00491
acIB-AMD-6.genome.CDS.963,group00787
acIB-AMD-6.genome.CDS.748,group01483
acIB-AMD-6.genome.CDS.968,group05237
acIB-AMD-6.genome.CDS.969,group00049
acIB-AMD-6.genome.CDS.556,group00199
acIB-AMD-6.genome.CDS.1058,group01016
acIB-AMD-6.genome.CDS.1059,group00539
acIB-AMD-6.genome.CDS.698,group00307
acIB-AMD-6.genome.CDS.699,group00650
acIB-AMD-6.genome.CDS.696,group00241
acIB-AMD-6.genome.CDS.697,group00030
acIB-AMD-6.genome.CDS.1052,group00029
acIB-AMD-6.genome.CDS.1053,group00249
acIB-AMD-6.genome.CDS.692,group08442
acIB-AMD-6.genome.CDS.693,group01239
acIB-AMD-6.genome.CDS.690,group05232
acIB-AMD-6.genome.CDS.691,group00663
acIB-AMD-6.genome.CDS.911,group00185
acIB-AMD-6.genome.CDS.910,group01059
acIB-AMD-6.genome.CDS.913,group06733
acIB-AMD-6.genome.CDS.912,group00030
acIB-AMD-6.genome.CDS.915,group00940
acIB-AMD-6.genome.CDS.914,group00614
acIB-AMD-6.genome.CDS.917,group00850
acIB-AMD-6.genome.CDS.916,group12857
acIB-AMD-6.genome.CDS.919,group03988
acIB-AMD-6.genome.CDS.918,group00636
acIB-AMD-6.genome.CDS.793,group00294
acIB-AMD-6.genome.CDS.629,group00716
acIB-AMD-6.genome.CDS.628,group00292
acIB-AMD-6.genome.CDS.1095,group00674
acIB-AMD-6.genome.CDS.623,group07830
acIB-AMD-6.genome.CDS.622,group00413
acIB-AMD-6.genome.CDS.621,group00412
acIB-AMD-6.genome.CDS.620,group04034
acIB-AMD-6.genome.CDS.627,group00080
acIB-AMD-6.genome.CDS.1096,group00830
acIB-AMD-6.genome.CDS.625,group00738
acIB-AMD-6.genome.CDS.624,group00855
acIB-AMD-6.genome.CDS.1097,group07589
acIB-AMD-6.genome.CDS.797,group00116
acIB-AMD-6.genome.CDS.796,group00012
acIB-AMD-6.genome.CDS.1092,group00263
acIB-AMD-6.genome.CDS.1093,group11221
acIB-AMD-6.genome.CDS.648,group00197
acIB-AMD-6.genome.CDS.825,group01854
acIB-AMD-6.genome.CDS.824,group00881
acIB-AMD-6.genome.CDS.827,group00722
acIB-AMD-6.genome.CDS.989,group00100
acIB-AMD-6.genome.CDS.821,group00332
acIB-AMD-6.genome.CDS.820,group00363
acIB-AMD-6.genome.CDS.823,group00440
acIB-AMD-6.genome.CDS.822,group00331
acIB-AMD-6.genome.CDS.982,group00089
acIB-AMD-6.genome.CDS.983,group00917
acIB-AMD-6.genome.CDS.980,group00152
acIB-AMD-6.genome.CDS.981,group08563
acIB-AMD-6.genome.CDS.829,group00207
acIB-AMD-6.genome.CDS.987,group00700
acIB-AMD-6.genome.CDS.984,group09638
acIB-AMD-6.genome.CDS.985,group00209
acIB-AMD-6.genome.CDS.894,group00264
acIB-AMD-6.genome.CDS.828,group07897
acIB-AMD-6.genome.CDS.551,group00829
acIB-AMD-6.genome.CDS.550,group01074
acIB-AMD-6.genome.CDS.553,group01021
acIB-AMD-6.genome.CDS.552,group00686
acIB-AMD-6.genome.CDS.555,group00023
acIB-AMD-6.genome.CDS.554,group09064
acIB-AMD-6.genome.CDS.557,group00577
acIB-AMD-6.genome.CDS.895,group00061
acIB-AMD-6.genome.CDS.559,group00746
acIB-AMD-6.genome.CDS.558,group08480
acIB-AMD-6.genome.CDS.896,group00985
acIB-AMD-6.genome.CDS.1094,group01669
acIB-AMD-6.genome.CDS.792,group00399
acIB-AMD-6.genome.CDS.791,group05234
acIB-AMD-6.genome.CDS.790,group00125
acIB-AMD-6.genome.CDS.1090,group00908
acIB-AMD-6.genome.CDS.1091,group00263
acIB-AMD-6.genome.CDS.795,group00085
acIB-AMD-6.genome.CDS.794,group00041
acIB-AMD-6.genome.CDS.959,group05250
