Attributes {
	id:kb|g.236059
	source:KBase
	gene_subsystem_hash:HASH(0x5371b978)
	source_id:kb|g.236059
	geneAliasHash:HASH(0x4d6fb008)
	scientific_name:GFM TBepimetabat3256
	domain:Bacteria
	genetic_code:11
	dna_size:1750691
	num_contigs:204
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/76/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236059.CDS.1	CDS		kb|g.236059	;	No annotated function	45	933	+	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.2	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236059	none		981	1821	+	TBepi.metabat.3256_1002528	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236059.CDS.3	CDS	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	kb|g.236059	none		2611	1822	-	TBepi.metabat.3256_1002528	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)
kb|g.236059.CDS.4	CDS	Creatinine amidohydrolase (EC 3.5.2.10)	kb|g.236059	none		3282	2607	-	TBepi.metabat.3256_1002528	Creatinine amidohydrolase (EC 3.5.2.10)
kb|g.236059.CDS.5	CDS		kb|g.236059	;	No annotated function	4679	4397	-	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.6	CDS	Mycofactocin radical SAM maturase	kb|g.236059	none		4408	3289	-	TBepi.metabat.3256_1002528	Mycofactocin radical SAM maturase
kb|g.236059.CDS.7	CDS		kb|g.236059	;	No annotated function	4823	4682	-	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.8	CDS		kb|g.236059	;	No annotated function	4883	6368	+	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.9	CDS	Alcohol dehydrogenase (EC 1.1.1.1)	kb|g.236059	none		7484	6335	-	TBepi.metabat.3256_1002528	Alcohol dehydrogenase (EC 1.1.1.1)
kb|g.236059.CDS.10	CDS	Arginyl-tRNA synthetase (EC 6.1.1.19)	kb|g.236059	none		9277	7558	-	TBepi.metabat.3256_1002528	Arginyl-tRNA synthetase (EC 6.1.1.19)
kb|g.236059.CDS.11	CDS		kb|g.236059	;	No annotated function	9705	9273	-	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.12	CDS		kb|g.236059	;	No annotated function	9968	9701	-	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.13	CDS		kb|g.236059	;	No annotated function	11142	10047	-	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.14	CDS		kb|g.236059	;	No annotated function	11368	11170	-	TBepi.metabat.3256_1002528	
kb|g.236059.CDS.15	CDS		kb|g.236059	;	No annotated function	47	185	+	TBepi.metabat.3256_1011534	
kb|g.236059.CDS.16	CDS		kb|g.236059	;	No annotated function	2993	2540	-	TBepi.metabat.3256_1011534	
kb|g.236059.CDS.17	CDS		kb|g.236059	;	No annotated function	3197	3791	+	TBepi.metabat.3256_1011534	
kb|g.236059.CDS.18	CDS		kb|g.236059	;	No annotated function	4083	3786	-	TBepi.metabat.3256_1011534	
kb|g.236059.CDS.19	CDS		kb|g.236059	;	No annotated function	4273	4141	-	TBepi.metabat.3256_1011534	
kb|g.236059.CDS.20	CDS		kb|g.236059	;	No annotated function	133	280	+	TBepi.metabat.3256_1009223	
kb|g.236059.CDS.21	CDS	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)	kb|g.236059	none		1147	250	-	TBepi.metabat.3256_1009223	High-affinity branched-chain amino acid transport system permease protein LivH (TC 3.A.1.4.1)
kb|g.236059.CDS.22	CDS	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)	kb|g.236059	none		2621	1850	-	TBepi.metabat.3256_1009223	Branched-chain amino acid transport ATP-binding protein LivG (TC 3.A.1.4.1)
kb|g.236059.CDS.23	CDS	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)	kb|g.236059	none		1854	1143	-	TBepi.metabat.3256_1009223	Branched-chain amino acid transport ATP-binding protein LivF (TC 3.A.1.4.1)
kb|g.236059.CDS.24	CDS		kb|g.236059	;	No annotated function	3038	2714	-	TBepi.metabat.3256_1009223	
kb|g.236059.CDS.25	CDS		kb|g.236059	;	No annotated function	3852	3210	-	TBepi.metabat.3256_1009223	
kb|g.236059.CDS.26	CDS		kb|g.236059	;	No annotated function	3969	5175	+	TBepi.metabat.3256_1009223	
kb|g.236059.CDS.27	CDS		kb|g.236059	;	No annotated function	5472	5274	-	TBepi.metabat.3256_1009223	
kb|g.236059.CDS.28	CDS		kb|g.236059	;	No annotated function	134	1175	+	TBepi.metabat.3256_1014368	
kb|g.236059.CDS.29	CDS		kb|g.236059	;	No annotated function	2097	1149	-	TBepi.metabat.3256_1014368	
kb|g.236059.CDS.30	CDS		kb|g.236059	;	No annotated function	3209	2093	-	TBepi.metabat.3256_1014368	
kb|g.236059.CDS.31	CDS		kb|g.236059	;	No annotated function	3856	3205	-	TBepi.metabat.3256_1014368	
kb|g.236059.CDS.32	CDS	FAD-binding monooxygenase, PheA/TfdB family, similarity to 2,4-dichlorophenol 6-monooxygenase	kb|g.236059	none		837	72	-	TBepi.metabat.3256_1024303	FAD-binding monooxygenase, PheA/TfdB family, similarity to 2,4-dichlorophenol 6-monooxygenase
kb|g.236059.CDS.33	CDS		kb|g.236059	;	No annotated function	949	1300	+	TBepi.metabat.3256_1024303	
kb|g.236059.CDS.34	CDS		kb|g.236059	;	No annotated function	2630	1331	-	TBepi.metabat.3256_1024303	
