AAA028E20.genome.CDS.1160,group00126
AAA028E20.genome.CDS.1161,group00013
AAA028E20.genome.CDS.1162,group00186
AAA028E20.genome.CDS.1163,group01311
AAA028E20.genome.CDS.1164,group02356
AAA028E20.genome.CDS.1165,group03233
AAA028E20.genome.CDS.1166,group01427
AAA028E20.genome.CDS.1167,group02333
AAA028E20.genome.CDS.1168,group00045
AAA028E20.genome.CDS.1169,group00940
AAA028E20.genome.CDS.1129,group00717
AAA028E20.genome.CDS.1004,group00752
AAA028E20.genome.CDS.1049,group04327
AAA028E20.genome.CDS.1048,group00175
AAA028E20.genome.CDS.1043,group00092
AAA028E20.genome.CDS.1042,group00093
AAA028E20.genome.CDS.1041,group00055
AAA028E20.genome.CDS.1040,group00046
AAA028E20.genome.CDS.1047,group00096
AAA028E20.genome.CDS.1046,group00198
AAA028E20.genome.CDS.1045,group00419
AAA028E20.genome.CDS.1044,group02767
AAA028E20.genome.CDS.1599,group03151
AAA028E20.genome.CDS.1325,group11676
AAA028E20.genome.CDS.1413,group02339
AAA028E20.genome.CDS.1451,group01395
AAA028E20.genome.CDS.1322,group00199
AAA028E20.genome.CDS.1681,group00982
AAA028E20.genome.CDS.723,group00635
AAA028E20.genome.CDS.1683,group00017
AAA028E20.genome.CDS.1682,group03022
AAA028E20.genome.CDS.1685,group00116
AAA028E20.genome.CDS.1684,group02328
AAA028E20.genome.CDS.1687,group00682
AAA028E20.genome.CDS.1686,group01992
AAA028E20.genome.CDS.1689,group10778
AAA028E20.genome.CDS.1688,group02783
AAA028E20.genome.CDS.728,group07127
AAA028E20.genome.CDS.915,group01051
AAA028E20.genome.CDS.914,group00160
AAA028E20.genome.CDS.917,group00503
AAA028E20.genome.CDS.916,group00267
AAA028E20.genome.CDS.913,group00069
AAA028E20.genome.CDS.1459,group00686
AAA028E20.genome.CDS.72,group01404
AAA028E20.genome.CDS.919,group00990
AAA028E20.genome.CDS.918,group00969
AAA028E20.genome.CDS.1766,group00944
AAA028E20.genome.CDS.1767,group00615
AAA028E20.genome.CDS.1764,group00850
AAA028E20.genome.CDS.1765,group00007
AAA028E20.genome.CDS.1762,group12547
AAA028E20.genome.CDS.1763,group00797
AAA028E20.genome.CDS.1760,group08095
AAA028E20.genome.CDS.1448,group00185
AAA028E20.genome.CDS.1447,group11684
AAA028E20.genome.CDS.1446,group00283
AAA028E20.genome.CDS.1445,group04587
AAA028E20.genome.CDS.1444,group01344
AAA028E20.genome.CDS.1443,group01733
AAA028E20.genome.CDS.1442,group07014
AAA028E20.genome.CDS.1441,group00027
AAA028E20.genome.CDS.1440,group04006
AAA028E20.genome.CDS.960,group00474
AAA028E20.genome.CDS.962,group00007
AAA028E20.genome.CDS.963,group00493
AAA028E20.genome.CDS.964,group00326
AAA028E20.genome.CDS.965,group00144
AAA028E20.genome.CDS.966,group00680
AAA028E20.genome.CDS.967,group00472
AAA028E20.genome.CDS.968,group04592
AAA028E20.genome.CDS.969,group00042
AAA028E20.genome.CDS.1750,group00859
AAA028E20.genome.CDS.1752,group01203
AAA028E20.genome.CDS.1618,group00038
AAA028E20.genome.CDS.1619,group01573
AAA028E20.genome.CDS.1612,group02935
AAA028E20.genome.CDS.1613,group13608
AAA028E20.genome.CDS.1610,group06333
AAA028E20.genome.CDS.1611,group06644
AAA028E20.genome.CDS.1616,group00426
AAA028E20.genome.CDS.1617,group02022
AAA028E20.genome.CDS.1614,group00733
AAA028E20.genome.CDS.1615,group08653
AAA028E20.genome.CDS.978,group00544
AAA028E20.genome.CDS.1512,group05283
AAA028E20.genome.CDS.1517,group00562
AAA028E20.genome.CDS.1348,group00375
AAA028E20.genome.CDS.1349,group00891
AAA028E20.genome.CDS.1221,group00129
AAA028E20.genome.CDS.1220,group05289
AAA028E20.genome.CDS.1227,group08240
AAA028E20.genome.CDS.1226,group00270
AAA028E20.genome.CDS.1225,group00208
AAA028E20.genome.CDS.1224,group00151
AAA028E20.genome.CDS.1340,group00759
AAA028E20.genome.CDS.1341,group00953
AAA028E20.genome.CDS.1229,group01299
AAA028E20.genome.CDS.1228,group00275
AAA028E20.genome.CDS.1344,group04166
AAA028E20.genome.CDS.1345,group00880
AAA028E20.genome.CDS.1346,group00766
AAA028E20.genome.CDS.1347,group00044
AAA028E20.genome.CDS.1832,group00500
AAA028E20.genome.CDS.1833,group00505
AAA028E20.genome.CDS.1830,group01925
AAA028E20.genome.CDS.1831,group11221
AAA028E20.genome.CDS.1836,group00383
AAA028E20.genome.CDS.1837,group04138
AAA028E20.genome.CDS.1834,group00943
AAA028E20.genome.CDS.1835,group07148
AAA028E20.genome.CDS.1838,group00512
AAA028E20.genome.CDS.1537,group00457
AAA028E20.genome.CDS.1536,group12370
AAA028E20.genome.CDS.1535,group11690
AAA028E20.genome.CDS.1534,group07796
AAA028E20.genome.CDS.1533,group11691
AAA028E20.genome.CDS.1532,group11692
AAA028E20.genome.CDS.1531,group00125
AAA028E20.genome.CDS.1530,group00335
AAA028E20.genome.CDS.1250,group00545
AAA028E20.genome.CDS.1539,group00581
AAA028E20.genome.CDS.1538,group00523
AAA028E20.genome.CDS.1087,group00892
AAA028E20.genome.CDS.1086,group01252
AAA028E20.genome.CDS.1085,group00903
AAA028E20.genome.CDS.1084,group00813
AAA028E20.genome.CDS.1128,group01235
AAA028E20.genome.CDS.1082,group02765
AAA028E20.genome.CDS.1081,group00345
AAA028E20.genome.CDS.1080,group00346
AAA028E20.genome.CDS.1124,group00685
AAA028E20.genome.CDS.1125,group00708
AAA028E20.genome.CDS.1126,group00324
AAA028E20.genome.CDS.1127,group00563
AAA028E20.genome.CDS.1120,group00586
AAA028E20.genome.CDS.1121,group00390
AAA028E20.genome.CDS.1122,group07168
AAA028E20.genome.CDS.1088,group00720
AAA028E20.genome.CDS.1102,group01343
AAA028E20.genome.CDS.1408,group00992
AAA028E20.genome.CDS.1391,group00821
AAA028E20.genome.CDS.1159,group00146
AAA028E20.genome.CDS.1158,group00065
AAA028E20.genome.CDS.1012,group00067
AAA028E20.genome.CDS.1013,group13753
AAA028E20.genome.CDS.1014,group08086
AAA028E20.genome.CDS.1015,group03616
AAA028E20.genome.CDS.1016,group13629
AAA028E20.genome.CDS.1017,group00807
AAA028E20.genome.CDS.1403,group00862
AAA028E20.genome.CDS.1402,group07818
AAA028E20.genome.CDS.1401,group12974
AAA028E20.genome.CDS.1400,group00854
AAA028E20.genome.CDS.1155,group00066
AAA028E20.genome.CDS.1154,group00147
AAA028E20.genome.CDS.1157,group00331
AAA028E20.genome.CDS.1404,group13582
AAA028E20.genome.CDS.1769,group00647
AAA028E20.genome.CDS.1490,group13086
AAA028E20.genome.CDS.1558,group01112
AAA028E20.genome.CDS.1680,group00113
AAA028E20.genome.CDS.775,group06511
AAA028E20.genome.CDS.928,group09553
AAA028E20.genome.CDS.929,group04661
AAA028E20.genome.CDS.924,group00554
AAA028E20.genome.CDS.925,group00241
AAA028E20.genome.CDS.926,group00223
AAA028E20.genome.CDS.927,group04410
AAA028E20.genome.CDS.920,group02586
AAA028E20.genome.CDS.921,group01016
AAA028E20.genome.CDS.922,group00670
AAA028E20.genome.CDS.1367,group00597
AAA028E20.genome.CDS.1266,group00724
AAA028E20.genome.CDS.1498,group00360
AAA028E20.genome.CDS.1656,group00005
AAA028E20.genome.CDS.1654,group00003
AAA028E20.genome.CDS.1655,group00001
AAA028E20.genome.CDS.1652,group00520
AAA028E20.genome.CDS.1653,group02375
AAA028E20.genome.CDS.1650,group00515
AAA028E20.genome.CDS.1651,group00463
AAA028E20.genome.CDS.1717,group00085
