Attributes {
	id:kb|g.236111
	source:KBase
	gene_subsystem_hash:HASH(0x213046f0)
	source_id:kb|g.236111
	geneAliasHash:HASH(0x2815d0f8)
	scientific_name:GFM MEintmetabat2729
	domain:Bacteria
	genetic_code:11
	dna_size:1671113
	num_contigs:87
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/112/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236111.CDS.1	CDS	Enoyl-CoA hydratase/isomerase family protein	kb|g.236111	none		74	779	+	MEint.metabat.2729_252001837	Enoyl-CoA hydratase/isomerase family protein
kb|g.236111.CDS.2	CDS		kb|g.236111	;	No annotated function	1534	802	-	MEint.metabat.2729_252001837	
kb|g.236111.CDS.3	CDS	Aconitate hydratase (EC 4.2.1.3)	kb|g.236111	none		1606	3874	+	MEint.metabat.2729_252001837	Aconitate hydratase (EC 4.2.1.3)
kb|g.236111.CDS.4	CDS	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	kb|g.236111	none		5334	3909	-	MEint.metabat.2729_252001837	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)
kb|g.236111.CDS.5	CDS	Hydrogen peroxide-inducible genes activator	kb|g.236111	none		5607	6549	+	MEint.metabat.2729_252001837	Hydrogen peroxide-inducible genes activator
kb|g.236111.CDS.6	CDS	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	kb|g.236111	;		6570	7944	+	MEint.metabat.2729_252001837	Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2);Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2);Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)
kb|g.236111.CDS.7	CDS	Citrate synthase (si) (EC 2.3.3.1)	kb|g.236111	none		8056	9325	+	MEint.metabat.2729_252001837	Citrate synthase (si) (EC 2.3.3.1)
kb|g.236111.CDS.8	CDS	Quinone oxidoreductase (EC 1.6.5.5)	kb|g.236111	none		10376	9395	-	MEint.metabat.2729_252001837	Quinone oxidoreductase (EC 1.6.5.5)
kb|g.236111.CDS.9	CDS	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)	kb|g.236111	none		11597	10379	-	MEint.metabat.2729_252001837	Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
kb|g.236111.CDS.10	CDS	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	kb|g.236111	none		11714	12815	+	MEint.metabat.2729_252001837	Butyryl-CoA dehydrogenase (EC 1.3.99.2)
kb|g.236111.CDS.11	CDS		kb|g.236111	;	No annotated function	12847	14173	+	MEint.metabat.2729_252001837	
kb|g.236111.CDS.12	CDS		kb|g.236111	;	No annotated function	15018	14181	-	MEint.metabat.2729_252001837	
kb|g.236111.CDS.13	CDS		kb|g.236111	;	No annotated function	16263	15021	-	MEint.metabat.2729_252001837	
kb|g.236111.CDS.14	CDS	Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	kb|g.236111	none		17309	16394	-	MEint.metabat.2729_252001837	Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type
kb|g.236111.CDS.15	CDS	Phosphoglucosamine mutase (EC 5.4.2.10)	kb|g.236111	none		97	1312	+	MEint.metabat.2729_286002860	Phosphoglucosamine mutase (EC 5.4.2.10)
kb|g.236111.CDS.16	CDS	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)	kb|g.236111	none		1343	4742	+	MEint.metabat.2729_286002860	Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
kb|g.236111.CDS.17	CDS	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	kb|g.236111	none		4747	5113	+	MEint.metabat.2729_286002860	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)
kb|g.236111.CDS.18	CDS	NAD(P)HX epimerase / NAD(P)HX dehydratase	kb|g.236111	none		5138	6530	+	MEint.metabat.2729_286002860	NAD(P)HX epimerase;NAD(P)HX dehydratase
kb|g.236111.CDS.19	CDS	Alanine racemase (EC 5.1.1.1)	kb|g.236111	none		6519	7650	+	MEint.metabat.2729_286002860	Alanine racemase (EC 5.1.1.1)
kb|g.236111.CDS.20	CDS	TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	kb|g.236111	none		7646	8138	+	MEint.metabat.2729_286002860	TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA
kb|g.236111.CDS.21	CDS	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	kb|g.236111	none		8137	8842	+	MEint.metabat.2729_286002860	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA
kb|g.236111.CDS.22	CDS		kb|g.236111	;	No annotated function	8961	8844	-	MEint.metabat.2729_286002860	
kb|g.236111.CDS.23	CDS		kb|g.236111	;	No annotated function	9018	9366	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.24	CDS	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	kb|g.236111	none		9362	10388	+	MEint.metabat.2729_286002860	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA
kb|g.236111.CDS.25	CDS	tRNA dihydrouridine synthase B (EC 1.-.-.-)	kb|g.236111	none		10384	11521	+	MEint.metabat.2729_286002860	tRNA dihydrouridine synthase B (EC 1.-.-.-)
kb|g.236111.CDS.26	CDS	Septum formation protein Maf	kb|g.236111	none		11513	12089	+	MEint.metabat.2729_286002860	Septum formation protein Maf
kb|g.236111.CDS.27	CDS	Heat shock protein 60 family co-chaperone GroES	kb|g.236111	none		12198	12492	+	MEint.metabat.2729_286002860	Heat shock protein 60 family co-chaperone GroES
kb|g.236111.CDS.28	CDS	Heat shock protein 60 family chaperone GroEL	kb|g.236111	none		12500	14135	+	MEint.metabat.2729_286002860	Heat shock protein 60 family chaperone GroEL
kb|g.236111.CDS.29	CDS		kb|g.236111	;	No annotated function	14247	14595	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.30	CDS		kb|g.236111	;	No annotated function	14584	14755	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.31	CDS	Hypothetical nudix hydrolase YeaB	kb|g.236111	none		14751	15435	+	MEint.metabat.2729_286002860	Hypothetical nudix hydrolase YeaB
kb|g.236111.CDS.32	CDS		kb|g.236111	;	No annotated function	15677	15563	-	MEint.metabat.2729_286002860	
kb|g.236111.CDS.33	CDS	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	kb|g.236111	none		16445	15962	-	MEint.metabat.2729_286002860	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)
kb|g.236111.CDS.34	CDS	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)	kb|g.236111	none		17677	16441	-	MEint.metabat.2729_286002860	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12);GTP cyclohydrolase II (EC 3.5.4.25)
kb|g.236111.CDS.35	CDS	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	kb|g.236111	none		18657	17673	-	MEint.metabat.2729_286002860	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26);5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)
kb|g.236111.CDS.36	CDS		kb|g.236111	;	No annotated function	19344	18852	-	MEint.metabat.2729_286002860	
kb|g.236111.CDS.37	CDS		kb|g.236111	;	No annotated function	19555	21493	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.38	CDS		kb|g.236111	;	No annotated function	21485	22025	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.39	CDS		kb|g.236111	;	No annotated function	22036	22570	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.40	CDS		kb|g.236111	;	No annotated function	23402	22541	-	MEint.metabat.2729_286002860	
kb|g.236111.CDS.41	CDS		kb|g.236111	;	No annotated function	23765	23411	-	MEint.metabat.2729_286002860	
kb|g.236111.CDS.42	CDS	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)	kb|g.236111	none		23804	25367	+	MEint.metabat.2729_286002860	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2)
kb|g.236111.CDS.43	CDS		kb|g.236111	;	No annotated function	25551	26565	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.44	CDS		kb|g.236111	;	No annotated function	26580	27600	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.45	CDS		kb|g.236111	;	No annotated function	27605	28340	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.46	CDS	Short-chain dehydrogenase/reductase SDR	kb|g.236111	none		29122	28345	-	MEint.metabat.2729_286002860	Short-chain dehydrogenase/reductase SDR
kb|g.236111.CDS.47	CDS		kb|g.236111	;	No annotated function	29847	29118	-	MEint.metabat.2729_286002860	
kb|g.236111.CDS.48	CDS		kb|g.236111	;	No annotated function	29938	30079	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.49	CDS	putative cytochrome P450 hydroxylase	kb|g.236111	none		30082	31327	+	MEint.metabat.2729_286002860	putative cytochrome P450 hydroxylase
kb|g.236111.CDS.50	CDS	ATP-dependent DNA helicase UvrD/PcrA	kb|g.236111	none		31377	33636	+	MEint.metabat.2729_286002860	ATP-dependent DNA helicase UvrD/PcrA
kb|g.236111.CDS.51	CDS		kb|g.236111	;	No annotated function	33677	34103	+	MEint.metabat.2729_286002860	
kb|g.236111.CDS.52	CDS		kb|g.236111	;	No annotated function	34482	34116	-	MEint.metabat.2729_286002860	
kb|g.236111.CDS.53	CDS	B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)	kb|g.236111	none		34681	35083	+	MEint.metabat.2729_286002860	B12 binding domain of Methylmalonyl-CoA mutase (EC 5.4.99.2)
