Attributes {
	id:kb|g.236116
	source:KBase
	gene_subsystem_hash:HASH(0x4e0d1048)
	source_id:kb|g.236116
	geneAliasHash:HASH(0x9624080)
	scientific_name:GFM MEintmetabat3163
	domain:Bacteria
	genetic_code:11
	dna_size:1785613
	num_contigs:131
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/118/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236116.CDS.1	CDS		kb|g.236116	;	No annotated function	22	409	+	MEint.metabat.3163_312000161	
kb|g.236116.CDS.2	CDS		kb|g.236116	;	No annotated function	405	1089	+	MEint.metabat.3163_312000161	
kb|g.236116.CDS.3	CDS		kb|g.236116	;	No annotated function	1146	2157	+	MEint.metabat.3163_312000161	
kb|g.236116.CDS.4	CDS	Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)	kb|g.236116	none		2169	3048	+	MEint.metabat.3163_312000161	Beta-ketoadipate enol-lactone hydrolase (EC 3.1.1.24)
kb|g.236116.CDS.5	CDS	Alpha-methylacyl-CoA racemase (EC 5.1.99.4)	kb|g.236116	none		3089	4247	+	MEint.metabat.3163_312000161	Alpha-methylacyl-CoA racemase (EC 5.1.99.4)
kb|g.236116.CDS.6	CDS		kb|g.236116	;	No annotated function	4250	5048	+	MEint.metabat.3163_312000161	
kb|g.236116.CDS.7	CDS		kb|g.236116	;	No annotated function	5032	5611	+	MEint.metabat.3163_312000161	
kb|g.236116.CDS.8	CDS		kb|g.236116	;	No annotated function	5633	6002	+	MEint.metabat.3163_312000161	
kb|g.236116.CDS.9	CDS	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)	kb|g.236116	none		7860	6069	-	MEint.metabat.3163_312000161	Phosphoenolpyruvate carboxykinase [GTP] (EC 4.1.1.32)
kb|g.236116.CDS.10	CDS		kb|g.236116	;	No annotated function	8128	7957	-	MEint.metabat.3163_312000161	
kb|g.236116.CDS.11	CDS		kb|g.236116	;	No annotated function	8312	8183	-	MEint.metabat.3163_312000161	
kb|g.236116.CDS.12	CDS	Dihydroxyacetone kinase family protein	kb|g.236116	none		8472	10143	+	MEint.metabat.3163_312000161	Dihydroxyacetone kinase family protein
kb|g.236116.CDS.13	CDS	Cell division inhibitor	kb|g.236116	none		1481	584	-	MEint.metabat.3163_2264001258	Cell division inhibitor
kb|g.236116.CDS.14	CDS		kb|g.236116	;	No annotated function	1555	1984	+	MEint.metabat.3163_2264001258	
kb|g.236116.CDS.15	CDS		kb|g.236116	;	No annotated function	2005	3406	+	MEint.metabat.3163_2264001258	
kb|g.236116.CDS.16	CDS	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)	kb|g.236116	none		3459	4818	+	MEint.metabat.3163_2264001258	Dihydrolipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex (EC 2.3.1.168)
kb|g.236116.CDS.17	CDS	Lipoate synthase	kb|g.236116	none		4832	6530	+	MEint.metabat.3163_2264001258	Lipoate synthase
kb|g.236116.CDS.18	CDS	Pirin-related protein	kb|g.236116	none		6535	7378	+	MEint.metabat.3163_2264001258	Pirin-related protein
kb|g.236116.CDS.19	CDS		kb|g.236116	;	No annotated function	7374	8499	+	MEint.metabat.3163_2264001258	
kb|g.236116.CDS.20	CDS		kb|g.236116	;	No annotated function	8526	10239	+	MEint.metabat.3163_2264001258	
kb|g.236116.CDS.21	CDS		kb|g.236116	;	No annotated function	10299	11034	+	MEint.metabat.3163_2264001258	
kb|g.236116.CDS.22	CDS	Butyryl-CoA dehydrogenase (EC 1.3.99.2)	kb|g.236116	none		11087	12245	+	MEint.metabat.3163_2264001258	Butyryl-CoA dehydrogenase (EC 1.3.99.2)
kb|g.236116.CDS.23	CDS		kb|g.236116	;	No annotated function	13421	12233	-	MEint.metabat.3163_2264001258	
