MEint1953.genome.CDS.3475,group00363
MEint1953.genome.CDS.3474,group00660
MEint1953.genome.CDS.3477,group00620
MEint1953.genome.CDS.3476,group00546
MEint1953.genome.CDS.3471,group00284
MEint1953.genome.CDS.3470,group00306
MEint1953.genome.CDS.3473,group00605
MEint1953.genome.CDS.3472,group00382
MEint1953.genome.CDS.3479,group01837
MEint1953.genome.CDS.2687,group02016
MEint1953.genome.CDS.2686,group02383
MEint1953.genome.CDS.3784,group08061
MEint1953.genome.CDS.2678,group00849
MEint1953.genome.CDS.2679,group01912
MEint1953.genome.CDS.2670,group09500
MEint1953.genome.CDS.2671,group14011
MEint1953.genome.CDS.2672,group00587
MEint1953.genome.CDS.2673,group03602
MEint1953.genome.CDS.2674,group04156
MEint1953.genome.CDS.2675,group01623
MEint1953.genome.CDS.2676,group01075
MEint1953.genome.CDS.2677,group01965
MEint1953.genome.CDS.3509,group02613
MEint1953.genome.CDS.3508,group11059
MEint1953.genome.CDS.3501,group00230
MEint1953.genome.CDS.3776,group01576
MEint1953.genome.CDS.3502,group01978
MEint1953.genome.CDS.3505,group03043
MEint1953.genome.CDS.3504,group02220
MEint1953.genome.CDS.3507,group02200
MEint1953.genome.CDS.3506,group06329
MEint1953.genome.CDS.2292,group00450
MEint1953.genome.CDS.2293,group10929
MEint1953.genome.CDS.4511,group00625
MEint1953.genome.CDS.4510,group00626
MEint1953.genome.CDS.2296,group01603
MEint1953.genome.CDS.2297,group00373
MEint1953.genome.CDS.2294,group07707
MEint1953.genome.CDS.4514,group08550
MEint1953.genome.CDS.4519,group10285
MEint1953.genome.CDS.2299,group10812
MEint1953.genome.CDS.2908,group00894
MEint1953.genome.CDS.2909,group02534
MEint1953.genome.CDS.2458,group00673
MEint1953.genome.CDS.2459,group00161
MEint1953.genome.CDS.2454,group00267
MEint1953.genome.CDS.2455,group07543
MEint1953.genome.CDS.2900,group00862
MEint1953.genome.CDS.2901,group00848
MEint1953.genome.CDS.2906,group00826
MEint1953.genome.CDS.2451,group02604
MEint1953.genome.CDS.2452,group03041
MEint1953.genome.CDS.2453,group08410
MEint1953.genome.CDS.2669,group09627
MEint1953.genome.CDS.2511,group00237
MEint1953.genome.CDS.2510,group07316
MEint1953.genome.CDS.4467,group07798
MEint1953.genome.CDS.4466,group09017
MEint1953.genome.CDS.4465,group09017
MEint1953.genome.CDS.4464,group12648
MEint1953.genome.CDS.4463,group03849
MEint1953.genome.CDS.4462,group00796
MEint1953.genome.CDS.4461,group00724
MEint1953.genome.CDS.4460,group00926
MEint1953.genome.CDS.4468,group02352
MEint1953.genome.CDS.2519,group13149
MEint1953.genome.CDS.2518,group08918
MEint1953.genome.CDS.2172,group13879
MEint1953.genome.CDS.3446,group01632
MEint1953.genome.CDS.3650,group03422
MEint1953.genome.CDS.4081,group08976
MEint1953.genome.CDS.4080,group07127
MEint1953.genome.CDS.4083,group12383
MEint1953.genome.CDS.4082,group00344
MEint1953.genome.CDS.4085,group03143
MEint1953.genome.CDS.4084,group07498
MEint1953.genome.CDS.4087,group00465
MEint1953.genome.CDS.3652,group00670
MEint1953.genome.CDS.4089,group00466
MEint1953.genome.CDS.4088,group00447
MEint1953.genome.CDS.253,group02777
