Attributes {
	id:kb|g.236093
	source:KBase
	gene_subsystem_hash:HASH(0x25a6b858)
	source_id:kb|g.236093
	geneAliasHash:HASH(0x16c35c68)
	scientific_name:GFM MEintmetabat885
	domain:Bacteria
	genetic_code:11
	dna_size:866570
	num_contigs:78
	taxonomy:
	gc_content:
	complete:
	contigset_ref:2603/91/2
}
features (id	type	function	genomeID	delimiter	comment	start	stop	direction	contig	roleList) {
kb|g.236093.CDS.1	CDS		kb|g.236093	;	No annotated function	762	201	-	MEint.metabat.885_600001625	
kb|g.236093.CDS.2	CDS		kb|g.236093	;	No annotated function	878	761	-	MEint.metabat.885_600001625	
kb|g.236093.CDS.3	CDS	Alkyl hydroperoxide reductase subunit C-like protein	kb|g.236093	none		1563	1098	-	MEint.metabat.885_600001625	Alkyl hydroperoxide reductase subunit C-like protein
kb|g.236093.CDS.4	CDS		kb|g.236093	;	No annotated function	1985	1562	-	MEint.metabat.885_600001625	
kb|g.236093.CDS.5	CDS	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	kb|g.236093	none		2137	4876	+	MEint.metabat.885_600001625	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)
kb|g.236093.CDS.6	CDS	Alpha-amylase (EC 3.2.1.1)	kb|g.236093	none		4872	6618	+	MEint.metabat.885_600001625	Alpha-amylase (EC 3.2.1.1)
kb|g.236093.CDS.7	CDS	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)	kb|g.236093	none		6633	8574	+	MEint.metabat.885_600001625	1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)
kb|g.236093.CDS.8	CDS		kb|g.236093	;	No annotated function	9769	8569	-	MEint.metabat.885_600001625	
kb|g.236093.CDS.9	CDS		kb|g.236093	;	No annotated function	10638	9765	-	MEint.metabat.885_600001625	
kb|g.236093.CDS.10	CDS	Chromosome segregation ATPases	kb|g.236093	none		11886	10650	-	MEint.metabat.885_600001625	Chromosome segregation ATPases
